version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T5e,native_range_filter,noG,24,ABEF,6,93.3300922454132,250.52464804398832,145.374674834425
v1-old,T5e,native_range_filter,noG,24,ADHE,6,97.96901771569458,267.2568003808467,151.66882676079322
v1-old,T5e,native_range_filter,noG,24,BCGF,6,138.2915671148975,267.77880589297956,170.6959905978777
v1-old,T5e,native_range_filter,noG,24,CDHG,6,142.72467845394917,212.30439539381905,151.59655586068448
v2,T1+F0,external_position_filter,all8,24,ABEF,6,70.77453248245617,323.6975362487456,174.65825785052604
v2,T1+F0,external_position_filter,all8,24,ADHE,6,93.48770777959763,145.85166714807707,103.16295682302686
v2,T1+F0,external_position_filter,all8,24,BCGF,6,49.26831988248341,222.6767374560864,123.73415158229852
v2,T1+F0,external_position_filter,all8,24,CDHG,6,111.2245731320757,166.82237697384775,119.72749479437161
v2,T1+F0,external_position_filter,noG,24,ABEF,6,87.11787575579251,324.7868617442684,179.90765781217317
v2,T1+F0,external_position_filter,noG,24,ADHE,6,107.98370993579252,220.7088289154276,136.82890367719648
v2,T1+F0,external_position_filter,noG,24,BCGF,6,83.83634171331089,275.54871114885805,156.37878667424815
v2,T1+F0,external_position_filter,noG,24,CDHG,6,108.90290868012961,168.31616218111742,118.14894318816194
v2,T1+F1,external_position_filter,all8,24,ABEF,6,60.66102147289663,321.7039654953621,172.957338459211
v2,T1+F1,external_position_filter,all8,24,ADHE,6,94.73359634466576,142.53745465184022,102.0464434808494
v2,T1+F1,external_position_filter,all8,24,BCGF,6,50.3058413401301,220.55844268327678,122.8406392922984
v2,T1+F1,external_position_filter,all8,24,CDHG,6,106.44930085739125,171.40215450996834,120.71121410003876
v2,T1+F1,external_position_filter,noG,24,ABEF,6,82.74403715938408,322.5274528196707,177.6128320937931
v2,T1+F1,external_position_filter,noG,24,ADHE,6,108.62463898255817,215.219098304948,134.385905068721
v2,T1+F1,external_position_filter,noG,24,BCGF,6,87.96613122348063,269.8653679025384,154.52287779067606
v2,T1+F1,external_position_filter,noG,24,CDHG,6,113.28290535136307,161.5116495906779,115.199000508812
v2,T1+F2,external_position_filter,all8,24,ABEF,6,60.66102147289663,321.7039654953621,172.957338459211
v2,T1+F2,external_position_filter,all8,24,ADHE,6,94.73359634466576,142.53745465184022,102.0464434808494
v2,T1+F2,external_position_filter,all8,24,BCGF,6,50.3058413401301,220.55844268327678,122.8406392922984
v2,T1+F2,external_position_filter,all8,24,CDHG,6,106.44930085739125,171.40215450996834,120.71121410003876
v2,T1+F2,external_position_filter,noG,24,ABEF,6,82.74403715938408,322.5274528196707,177.6128320937931
v2,T1+F2,external_position_filter,noG,24,ADHE,6,108.62463898255817,215.65436917226273,134.55839429678502
v2,T1+F2,external_position_filter,noG,24,BCGF,6,87.96613122348063,269.9020341365161,154.53701504042866
v2,T1+F2,external_position_filter,noG,24,CDHG,6,113.28371600679304,161.5116495906779,115.19926468395099
v2,T1+F3,external_position_filter,all8,24,ABEF,6,61.49213918844514,321.9455374716793,173.2092519857891
v2,T1+F3,external_position_filter,all8,24,ADHE,6,94.59462517744764,143.1908251805159,102.13493189443463
v2,T1+F3,external_position_filter,all8,24,BCGF,6,50.106441624576526,220.51191752786798,122.8550891244469
v2,T1+F3,external_position_filter,all8,24,CDHG,6,106.94808983229956,172.37722856992826,121.23811404894444
v2,T1+F3,external_position_filter,noG,24,ABEF,6,83.41238408394082,323.0607075680901,178.04620310750494
v2,T1+F3,external_position_filter,noG,24,ADHE,6,108.77439091656836,216.38609834986468,134.96594218004967
v2,T1+F3,external_position_filter,noG,24,BCGF,6,87.0817531528662,270.6708304805165,154.72075652953188
v2,T1+F3,external_position_filter,noG,24,CDHG,6,113.61531160521987,162.54461562749597,116.11789634679194
v2,T1+F4,external_position_filter,all8,24,ABEF,6,59.87271996265873,321.29831250984756,172.65261472916222
v2,T1+F4,external_position_filter,all8,24,ADHE,6,95.4264794853479,142.19109684574272,102.22472459716474
v2,T1+F4,external_position_filter,all8,24,BCGF,6,50.52242201770861,220.53957696308913,122.84765408995575
v2,T1+F4,external_position_filter,all8,24,CDHG,6,106.96090362197151,167.96344320848704,119.60080981769825
v2,T1+F4,external_position_filter,noG,24,ABEF,6,82.06959899538893,322.3748547858441,177.38930285652265
v2,T1+F4,external_position_filter,noG,24,ADHE,6,109.06022054047952,218.18958692184083,135.66117065039734
v2,T1+F4,external_position_filter,noG,24,BCGF,6,88.21252033440393,270.5845368987799,154.81453809309528
v2,T1+F4,external_position_filter,noG,24,CDHG,6,113.00819886661759,161.12260612962635,114.92041460909937
v2,T1+F5,external_position_filter,all8,24,ABEF,6,59.9124150484153,320.62127770600983,172.27767605681822
v2,T1+F5,external_position_filter,all8,24,ADHE,6,95.07774594878202,141.7768587987522,101.86749802185417
v2,T1+F5,external_position_filter,all8,24,BCGF,6,50.32112026693185,220.15991498139982,122.63759797090611
v2,T1+F5,external_position_filter,all8,24,CDHG,6,106.33466298666507,166.93129602404798,119.29303894857411
v2,T1+F5,external_position_filter,noG,24,ABEF,6,81.49923537831674,321.94202132654885,177.0240454489388
v2,T1+F5,external_position_filter,noG,24,ADHE,6,109.25142365526855,215.158417291719,134.43616350266743
v2,T1+F5,external_position_filter,noG,24,BCGF,6,88.34131079183362,270.35377329844505,154.71665643154276
v2,T1+F5,external_position_filter,noG,24,CDHG,6,113.25907898922435,161.4547210840663,114.95029613592101
v2,T2+F0,external_position_filter,all8,24,ABEF,6,70.39369110218928,323.7489980089249,174.71406013168203
v2,T2+F0,external_position_filter,all8,24,ADHE,6,93.35908004508337,144.9444072322669,102.3961076692702
v2,T2+F0,external_position_filter,all8,24,BCGF,6,49.8728915677929,221.88244474746065,123.4130064304385
v2,T2+F0,external_position_filter,all8,24,CDHG,6,111.47796013409253,164.905800928035,119.19801292823013
v2,T2+F0,external_position_filter,noG,24,ABEF,6,86.98095013527615,325.1255458777508,180.0347897883173
v2,T2+F0,external_position_filter,noG,24,ADHE,6,108.17009305228305,221.0979224061629,137.05518253602352
v2,T2+F0,external_position_filter,noG,24,BCGF,6,83.97520315452383,275.16491627365394,156.2412538412887
