L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,experiment_short
L14,A0,U4,P0,I6,T2,position_fusion,5,87.19547751597841,153.51438821678107,7.609539919893042,97.43687475173517,231.8021379954777,78.28774977869662,1.0,78.28774977869662,42.366452279590426,130.20805852418624,239.37700797502575,X_A0_U4_P0_L14_I6_T2
L5,A0,U4,P0,I7,T2,position_fusion,5,83.81826940368839,153.56506143110707,4.471541599245414,95.74459298275093,231.8021379954777,78.23707656437061,1.0,78.23707656437061,46.25700899876962,133.14246265775935,260.12270608890407,X_A0_U4_P0_L5_I7_T2
L14,A0,U4,P0,I8,T2,position_fusion,5,87.17042279911794,154.06433559502412,7.455368782872674,96.14438548477999,231.8021379954777,77.7378024004536,1.0,77.7378024004536,43.40240480620575,129.21405684286458,299.92995995476076,X_A0_U4_P0_L14_I8_T2
L1,A0,U4,P3,I8,T2,position_fusion,5,75.87484371927145,122.74605555573298,3.0304235196300207,80.6873229568483,200.2766290041533,77.53057344842031,1.0,109.0560824397447,37.13288072409658,112.92710067321784,317.2052920104276,X_A0_U4_P3_L1_I8_T2
L16,A0,U4,P0,I2,T2,position_fusion,5,86.89962799738583,154.45230177093285,6.71806581761027,97.08509903996364,231.8021379954777,77.34983622454483,1.0,77.34983622454483,46.60212555146697,126.65417064135895,281.3667612107944,X_A0_U4_P0_L16_I2_T2
L0,A0,U4,P2,I6,T2,position_fusion,5,75.94591754453856,114.86351519652116,0.0,79.93360673273187,191.34655064695076,76.48303545042958,1.0,116.93862279895652,19.544525639296356,101.17335718761302,369.4056705504232,X_A0_U4_P2_L0_I6_T2
L19,A0,U4,P0,I7,T2,position_fusion,5,86.53806532196997,155.37901405752646,4.24967008709359,96.6841001749116,231.8021379954777,76.42312393795126,1.0,76.42312393795126,46.02160877914434,133.13589509728894,291.61697146810377,X_A0_U4_P0_L19_I7_T2
L0,A0,U4,P3,I1,T2,position_fusion,5,75.39662428429853,124.04387257788213,0.0,79.11699085729512,200.2766290041533,76.23275642627118,1.0,107.75826541759557,39.36923845214381,110.7114587119609,331.6376533129248,X_A0_U4_P3_L0_I1_T2
L15,A0,U4,P0,I7,T2,position_fusion,5,87.74861394165058,155.741242086064,5.925473897254152,97.38693618064362,231.8021379954777,76.06089590941372,1.0,76.06089590941372,46.8508785544893,126.54868521085193,256.24008756538007,X_A0_U4_P0_L15_I7_T2
L14,A0,U4,P0,I4,T2,position_fusion,5,88.29604829049647,155.74605507620032,3.809089788934685,98.30570235002907,231.8021379954777,76.0560829192774,1.0,76.0560829192774,45.23000805822794,131.12715242971544,249.35343098640791,X_A0_U4_P0_L14_I4_T2
L19,A0,U4,P0,I1,T2,position_fusion,5,86.65822382619795,155.75055880173483,3.1444407097473848,98.44059477001015,231.8021379954777,76.05157919374287,1.0,76.05157919374287,46.79934254967798,131.50712071303406,282.041497833389,X_A0_U4_P0_L19_I1_T2
L13,A0,U4,P0,I8,T2,position_fusion,5,89.31731870919904,156.21179332334142,4.505349183280747,99.8248602175277,231.8021379954777,75.59034467213627,1.0,75.59034467213627,43.92244506116811,133.79547847697376,291.67986232645256,X_A0_U4_P0_L13_I8_T2
L18,A0,U4,P0,I5,T2,position_fusion,5,87.15142095848753,156.30952756728863,6.875678747254916,99.11561885441616,231.8021379954777,75.49261042818907,1.0,75.49261042818907,44.03673881426762,130.78908186152424,250.1633592137137,X_A0_U4_P0_L18_I5_T2
L18,A0,U4,P0,I6,T2,position_fusion,5,89.6407926385208,156.4035096770735,6.169278685699873,99.58576507217612,231.8021379954777,75.39862831840419,1.0,75.39862831840419,46.46026050757618,138.17265407485533,278.76788536729316,X_A0_U4_P0_L18_I6_T2
L5,A0,U4,P0,I2,T2,position_fusion,5,89.26674557407397,156.76758166844516,4.790340487340142,100.65635373705632,231.8021379954777,75.03455632703253,1.0,75.03455632703253,46.680645135450206,135.4878016660004,241.95175936031538,X_A0_U4_P0_L5_I2_T2
L17,A0,U4,P0,I5,T2,position_fusion,5,92.72887315872397,156.76773930633772,6.686114055070234,101.59757070844724,231.8021379954777,75.03439868913998,1.0,75.03439868913998,44.529455079706324,128.95547660024772,243.27719310634453,X_A0_U4_P0_L17_I5_T2
L16,A0,U4,P0,I1,T2,position_fusion,5,84.73388661937443,156.86576046599686,4.116385616980159,94.78796661155128,231.8021379954777,74.93637752948082,1.0,74.93637752948082,46.83765141643613,134.939271258264,267.10391751370514,X_A0_U4_P0_L16_I1_T2
