version,ID,tilt,facing,inner_radius_mm,outer_radius_mm,deltaR_mm,deltaR_error_mm,abs_deltaR_error_mm,inner_radius_bias_mm,outer_radius_bias_mm,inner_outer_center_sep_mm,inner_turn_center_rms_3d_mm,outer_turn_center_rms_3d_mm,inner_turn_center_p95_3d_mm,outer_turn_center_p95_3d_mm,inner_turn_count,outer_turn_count,inner_circle_thickness_rms_diagnostic,outer_circle_thickness_rms_diagnostic
v4-io,ID33,high,ABEF,453.88485179800665,551.4955273464697,97.610675548463,-22.389324451536993,22.389324451536993,13.88485179800665,-8.504472653530343,47.45127031573579,34.49570649309741,20.577395265327542,51.017814543290136,36.38632650296104,45,45,146.74683906087571,119.33493053223526
v4-io,ID34,high,BCGF,480.42420992407426,538.7351522195038,58.31094229542953,-61.68905770457047,61.68905770457047,40.42420992407426,-21.26484778049621,33.85438627935363,25.984969260904222,14.564227845519554,44.8290544988748,23.36315491305444,44,44,89.75765859078518,74.73709276718189
v4-io,ID35,high,CDHG,463.0021760674606,546.199930815062,83.19775474760138,-36.80224525239862,36.80224525239862,23.002176067460596,-13.800069184938025,32.28966072654402,23.83214305223339,19.24699946648116,48.219635318856206,29.820762140272418,45,45,111.29850026374935,98.25788428779408
v4-io,ID36,high,ADHE,462.6213542056542,533.8141019374544,71.19274773180024,-48.80725226819976,48.80725226819976,22.6213542056542,-26.18589806254556,36.03740119817901,21.88237110905284,16.417932537226367,36.78392459769322,25.712456203720137,44,44,88.03347501222176,76.16420407436509
v4-io,ID37,high-extra,suspect,458.48483751211097,537.9711887724194,79.48635126030842,-40.513648739691575,40.513648739691575,18.48483751211097,-22.028811227580604,25.554689778663096,19.01830216604046,28.077740941479508,27.28137739340583,52.40247491665661,43,43,104.1363315934456,108.14587605195676
v4-io,ID38,vertical,ABEF,443.4162805513915,521.4678050459858,78.05152449459428,-41.948475505405725,41.948475505405725,3.4162805513914805,-38.532194954014244,25.966984215661057,16.267117214441242,15.331059044333992,25.36204218653742,26.361902617644628,42,43,72.24605329601695,78.03946072268879
v4-io,ID39,vertical,BCGF,445.20889251389605,542.5189088225296,97.31001630863358,-22.68998369136642,22.68998369136642,5.208892513896046,-17.481091177470375,27.452387726751503,18.366461115956593,16.88210106223777,37.23908577533092,29.548519951815425,43,43,99.7668345755313,93.028640201008
v4-io,ID40,vertical,CDHG,442.5862912180245,526.135277186965,83.54898596894054,-36.45101403105946,36.45101403105946,2.586291218024485,-33.86472281303497,12.79105086299649,15.304925392971217,15.198561971143768,30.87902819645271,24.738068293009455,44,44,70.13833769260346,63.392483397864645
v4-io,ID41,vertical,ADHE,428.978786749298,524.6634781626964,95.68469141339835,-24.315308586601645,24.315308586601645,-11.021213250701976,-35.33652183730362,18.86821675034293,26.72407850746979,18.229613946697015,48.66995369553878,33.85668526959059,43,43,92.79829040392657,96.96510487602306
v4-io-roto,ID25,planar,none,457.71407701178856,589.2822759112461,131.5681988994575,11.568198899457514,11.568198899457514,17.71407701178856,29.282275911246074,48.00498013406615,20.555912669129956,16.93976109040135,34.76948236400929,26.19312938350903,48,47,138.5383988727475,133.2457617137393
v4-io-roto,ID26,small,BCGF,451.6099704338263,577.0365264804893,125.42655604666305,5.426556046663052,5.426556046663052,11.609970433826277,17.03652648048933,13.475584253376297,19.28416591796072,17.105086133581278,32.56289437270059,26.43127453005798,47,48,141.13557511878793,135.79108630073094
