version,ID,radius_BS2DCE,radius_BSDC91,delta_radius,delta_radius_bias_vs_120
v3-lite,ID40,440.37375283969817,522.938957395338,82.56520455563981,-37.43479544436019
v3-lite,ID41,430.6697392373857,526.3565842250056,95.68684498761985,-24.31315501238015
v4-io,ID25,465.12353862777525,595.1753441777324,130.05180554995718,10.05180554995718
v4-io,ID26,461.5953680120262,588.1262585589184,126.53089054689218,6.530890546892181
v4-io,ID27,464.5166564090367,569.3189317418768,104.80227533284005,-15.197724667159946
v4-io,ID28,469.91098739535124,595.2541766627733,125.34318926742202,5.343189267422019
v4-io,ID29,455.7462760382751,577.6734825663794,121.92720652810436,1.9272065281043638
v4-io,ID30,490.2723549846987,564.8570775595693,74.58472257487063,-45.415277425129375
v4-io,ID31,432.44610685355286,549.2979264502276,116.85181959667472,-3.1481804033252843
v4-io,ID32,497.38755951932285,570.8643873358897,73.47682781656681,-46.52317218343319
v4-io,ID33,453.88485179800665,551.4955273464697,97.610675548463,-22.389324451536993
v4-io,ID34,480.42420992407426,538.7351522195038,58.31094229542953,-61.68905770457047
v4-io,ID35,463.0021760674606,546.199930815062,83.19775474760138,-36.80224525239862
v4-io,ID36,462.6213542056542,533.8141019374544,71.19274773180024,-48.80725226819976
v4-io,ID37,458.48483751211097,537.9711887724194,79.48635126030842,-40.513648739691575
v4-io,ID38,443.4162805513915,521.4678050459858,78.05152449459428,-41.948475505405725
v4-io,ID39,445.20889251389605,542.5189088225296,97.31001630863358,-22.68998369136642
v4-io,ID40,442.5862912180245,526.135277186965,83.54898596894054,-36.45101403105946
v4-io,ID41,428.978786749298,524.6634781626964,95.68469141339835,-24.315308586601645
v4-io-roto,ID25,457.71407701178856,589.2822759112461,131.5681988994575,11.568198899457514
v4-io-roto,ID26,451.6099704338263,577.0365264804893,125.42655604666305,5.426556046663052
v4-io-roto,ID27,455.4319801472009,566.1707717154396,110.73879156823875,-9.261208431761247
v4-io-roto,ID28,463.0183231591519,588.4451224428914,125.42679928373946,5.426799283739456
v4-io-roto,ID29,450.2488013140885,576.0200538712077,125.77125255711917,5.771252557119169
v4-io-roto,ID30,470.9347228727146,548.4251074092787,77.49038453656408,-42.50961546343592
v4-io-roto,ID31,422.87148116693817,541.1445457558358,118.27306458889763,-1.7269354111023745
v4-io-roto,ID32,484.0785233924161,561.7574455130941,77.67892212067801,-42.32107787932199
v4-io-roto,ID33,443.79693491855244,547.1241824554413,103.32724753688888,-16.672752463111124
v4-io-roto,ID34,466.8111559559144,526.6625505783239,59.85139462240954,-60.14860537759046
