alpha,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope
0.1,140.0,122.96047568102634,125.85969481350197,179.10710408287312,-98.51365437326392
0.15,0.0,75.92684197392349,114.47557461539813,182.2123245227787,140.28287111192353
0.15,2.0,74.65083423709058,111.99033778628215,177.35584495204827,135.6161725609571
0.15,4.0,73.43034743123394,109.55507294388535,172.61427367184476,130.99401630629555
0.15,6.0,72.27284184420847,107.17199710079542,167.98137516068144,126.41647281210236
0.15,8.0,71.19279446225266,104.84284049971302,163.446711773158,121.88162222036674
0.15,10.0,70.36674496312382,102.5702577727403,158.99740246111804,117.38970137417087
0.15,12.0,70.8197075461778,100.35859934394239,154.66875693168637,112.94286600217934
0.15,14.0,71.2694502447718,98.21418668189077,151.3637990439198,108.54404712402165
0.15,16.0,71.71491330184709,96.14073668272152,148.64363508320986,104.19583303708097
0.15,18.0,71.82595808064477,94.14149120921965,145.9843191247987,99.89749664002655
0.15,20.0,70.70065936796712,92.22095374869087,143.38519395893695,95.64678160270735
0.15,22.0,69.09742571336935,90.38440763356533,140.85145655384943,91.44632281520855
0.15,24.0,67.54390720228992,88.63227037612576,138.3797801586733,87.29712750055555
0.15,26.0,67.69832531056463,86.96873223088517,135.97236106708476,83.19804195913414
0.15,28.0,68.18451963704823,85.397054862245,133.63655841419805,79.14947556126646
0.15,30.0,68.05113619144059,83.91973761834284,131.5173877223417,75.15710666551321
0.15,32.0,67.0135512217038,82.53796239547059,129.65088331934774,71.21670789001135
0.15,34.0,66.0263392746404,81.25546605091425,127.84117448212277,67.32526325269728
0.15,36.0,64.65185667230375,80.07342286121796,126.08919580114448,63.48096497002749
0.15,38.0,63.6134775243518,78.99269745138803,124.38757738079991,59.688765107567015
0.15,40.0,62.46132483917583,78.00990608898911,122.73370710918697,55.94509219901063
0.15,42.0,62.84986908243154,77.12278580237681,121.12823845099702,52.2450504277735
0.15,44.0,62.41010150417166,76.33615471595864,119.57746612297238,48.59331726125208
0.15,46.0,62.28315105380861,75.65153485372792,118.07125173722223,44.98826035906593
0.15,48.0,60.93700152540601,75.06811077309774,116.61494815664132,41.42815737660417
0.15,50.0,58.17276665122641,74.58386927169603,115.8009010293682,37.907721414848346
0.15,52.0,56.365467753849146,74.19734331091152,115.5113887162985,34.42595135685917
0.15,54.0,57.13482564228519,73.90792442378714,115.28461662261093,30.97911358041305
0.15,56.0,57.998267520686696,73.71933884095944,115.11918290211713,27.564066395886606
0.15,58.0,58.163999346884424,73.62609622055533,115.00389453491536,24.180528130660267
0.15,60.0,58.375156364036584,73.62610659008736,115.16945415639184,20.82978819734827
0.15,62.0,58.353314826440666,73.72092128772223,115.74013185170026,17.508353962306526
0.15,64.0,58.42265216080153,73.90786004108772,116.33692940640076,14.210111376531346
0.15,66.0,58.751756304750415,74.18155805859666,116.95140579112942,10.935402527574873
0.15,68.0,59.93457300464343,74.54130083406767,118.26788563107169,7.684549847831355
0.15,70.0,61.14136935868293,74.98418009386043,120.10287015455822,4.455331420020421
0.15,72.0,62.372888241216195,75.50817071971773,121.84327408646816,1.2493487064816264
0.15,74.0,63.629142586283976,76.11546386111333,122.98232323318578,-1.9335772566794414
0.15,76.0,64.90999715734887,76.80047562961369,120.62903191219652,-5.09182253713227
0.15,78.0,66.21638232791068,77.5640779988829,119.65091721938005,-8.225039685142459
0.15,80.0,66.99720096591562,78.40527610486257,120.5466736504367,-11.339647322281165
0.15,82.0,67.44544632202741,79.32323639666441,122.90265048846665,-14.43712686361896
0.15,84.0,68.01321699429926,80.31348808271653,125.2839222291502,-17.51749828779694
0.15,86.0,68.70462976175988,81.37277447786188,127.66930124514626,-20.583322106257505
0.15,88.0,69.52127144927955,82.49650573130528,130.0465472169836,-23.634318338145633
0.15,90.0,70.46785856215479,83.67989231214048,132.41251455371784,-26.67037837120159
0.15,92.0,71.55535883029812,84.92212860003768,134.75748660136765,-29.69147250194568
0.15,94.0,73.10705788818191,86.22190320701068,137.0795773547858,-32.69682279112628
0.15,96.0,74.87606541314427,87.5763362157431,138.41611452799899,-35.68273348616539
0.15,98.0,76.77727889108863,88.98310729582057,139.61396237746845,-38.65502256087717
0.15,100.0,78.78899288999828,90.43661241848208,140.75630853487377,-41.61789653592433
0.15,102.0,80.91108036895818,91.9355596581404,141.85480884118218,-44.56509272808727
0.15,104.0,83.12551479639315,93.47548109350734,142.91650712352467,-47.494965427103146
0.15,106.0,85.44088183252569,95.0538620893068,143.94613668588985,-50.41252262316709
0.15,108.0,87.83692833938427,96.6650805814739,144.93243752113486,-53.31509799485497
0.15,110.0,89.8032085452373,98.3064576583167,145.90160930983993,-56.20351996325459
0.15,112.0,91.23046066754813,99.97818070453097,146.8661502457049,-59.08161853367216
0.15,114.0,93.02842467740068,101.67639463977277,148.23929934435395,-61.95139105925212
0.15,116.0,94.82560160500626,103.39577376539559,150.22827974852882,-64.81058903015368
0.15,118.0,96.63258280675724,105.13267216859286,152.18701682209277,-67.6523520619375
0.15,120.0,98.43573060033088,106.88643375782678,154.4314855567116,-70.47917407567545
0.15,122.0,100.55831544044948,108.65770370146744,156.63296212164084,-73.29506970092848
0.15,124.0,103.13696071682548,110.44428779623455,158.79055904261932,-76.09414126925569
0.15,126.0,105.5856621217361,112.24735957466994,161.0966114016823,-78.87558773539537
0.15,128.0,107.75164342878203,114.06502728997486,163.90023543997196,-81.64069599322613
0.15,130.0,109.98046216525643,115.89316267521244,166.69442867869887,-84.39320827421946
0.15,132.0,112.26470933984277,117.72977820286579,169.47657880777697,-87.13144918314632
0.15,134.0,114.60161001931081,119.57246856950155,172.24782680497123,-89.8531804594311
0.15,136.0,116.98435292106666,121.42304530565394,175.01113634203114,-92.56161064532625
0.15,138.0,119.40960940174043,123.28125051705123,177.76540368524337,-95.25323732402845
0.15,140.0,121.87567376412068,125.14593624466974,179.4496292677592,-97.92832898652115
