version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v3-full,T4+F1,external_position_filter,all8,24,ADHE,6,139.09818009296924,170.1230891294516,132.7325655731726
v3-full,T4+F1,external_position_filter,all8,24,BCGF,6,73.97008759870884,265.70102275801736,152.18307010070313
v3-full,T4+F1,external_position_filter,all8,24,CDHG,6,92.82611793989012,212.27205849086636,128.89901414593533
v3-full,T4+F2,external_position_filter,all8,24,ABEF,6,106.14645620199394,159.4583932040237,116.2275072365729
v3-full,T4+F2,external_position_filter,all8,24,ADHE,6,139.09818009296924,170.1230891294516,132.7325655731726
v3-full,T4+F2,external_position_filter,all8,24,BCGF,6,73.97008759870884,265.70102275801736,152.18307010070313
v3-full,T4+F2,external_position_filter,all8,24,CDHG,6,92.82611793989012,212.27205849086636,128.89901414593533
v3-full,T4+F3,external_position_filter,all8,24,ABEF,6,105.57956776021854,157.3731448762567,115.09392740487891
v3-full,T4+F3,external_position_filter,all8,24,ADHE,6,138.46475846300098,170.12995508252283,132.67946998608036
v3-full,T4+F3,external_position_filter,all8,24,BCGF,6,73.25894418143966,265.6690862893743,152.0823803653189
v3-full,T4+F3,external_position_filter,all8,24,CDHG,6,93.00027531581534,211.9117368438468,128.94746833387256
v3-full,T4+F4,external_position_filter,all8,24,ABEF,6,105.7523388033874,159.4956902644669,116.05175850811648
v3-full,T4+F4,external_position_filter,all8,24,ADHE,6,138.54111892716196,169.61540396146086,132.34616556970462
v3-full,T4+F4,external_position_filter,all8,24,BCGF,6,73.99396954400841,265.5489491498815,152.07515192317308
v3-full,T4+F4,external_position_filter,all8,24,CDHG,6,93.20185753745795,212.67822926407288,129.08136465477938
v3-full,T4+F5,external_position_filter,all8,24,ABEF,6,105.62209132550679,160.68337591153116,116.45783196220663
v3-full,T4+F5,external_position_filter,all8,24,ADHE,6,138.69673276852382,169.57191694204502,132.3350195404785
v3-full,T4+F5,external_position_filter,all8,24,BCGF,6,74.75055056883741,266.13971106505846,152.5043677972304
v3-full,T4+F5,external_position_filter,all8,24,CDHG,6,92.81350161914554,212.37153197022297,128.56206771249643
v3-full,T5a,native_range_filter,all8,24,ABEF,6,128.04592915096976,259.32241651044967,162.38817164879006
v3-full,T5a,native_range_filter,all8,24,ADHE,6,168.12149373149384,246.8900195653826,167.83787809042528
v3-full,T5a,native_range_filter,all8,24,BCGF,6,177.9368530366899,273.5895550672342,184.65810963287282
v3-full,T5a,native_range_filter,all8,24,CDHG,6,166.1629833854341,281.4579281732052,187.61715264944957
v3-full,T5b,native_range_filter,all8,24,ABEF,6,116.86335843163653,280.8212273991601,168.24690519797366
v3-full,T5b,native_range_filter,all8,24,ADHE,6,111.87847925715567,167.73561851477737,122.48490990668289
v3-full,T5b,native_range_filter,all8,24,BCGF,6,84.57127724151655,260.68435562817257,151.86631267939916
v3-full,T5b,native_range_filter,all8,24,CDHG,6,109.07885199231488,209.81849838126294,130.78990381557605
v3-full,T5c,native_range_filter,all8,24,ABEF,6,116.86335843163653,280.8212273991601,168.24690519797366
v3-full,T5c,native_range_filter,all8,24,ADHE,6,111.87847925715567,167.73561851477737,122.48490990668289
v3-full,T5c,native_range_filter,all8,24,BCGF,6,84.57127724151655,260.68435562817257,151.86631267939916
v3-full,T5c,native_range_filter,all8,24,CDHG,6,109.07885199231488,209.81849838126294,130.78990381557605
v3-full,T5d,native_range_filter,all8,24,ABEF,6,127.84713000112485,258.93858741481745,162.1537333950701
v3-full,T5d,native_range_filter,all8,24,ADHE,6,167.7408541013558,246.4016477080367,167.50643531203323
v3-full,T5d,native_range_filter,all8,24,BCGF,6,177.48844803620656,273.0446825447188,184.27093958294563
v3-full,T5d,native_range_filter,all8,24,CDHG,6,165.86276065864368,281.09451760018715,187.3112521355948
v3-full,T5e,native_range_filter,all8,24,ABEF,6,119.08163210970017,223.29456146671708,150.56342475648387
v3-full,T5e,native_range_filter,all8,24,ADHE,6,115.39723130682,221.32874427011086,139.36076166007553
v3-full,T5e,native_range_filter,all8,24,BCGF,6,88.22892502741261,178.83931663917187,113.89094328413763
v3-full,T5e,native_range_filter,all8,24,CDHG,6,94.27063792640448,416.0241391120271,237.121624916903
v3-lite,T1+F0,external_position_filter,all8,24,ABEF,6,82.26570091482928,316.98663083927056,173.16859603751814
v3-lite,T1+F0,external_position_filter,all8,24,ADHE,6,90.33885710966423,144.92678638673323,103.15657676935955
v3-lite,T1+F0,external_position_filter,all8,24,BCGF,6,59.0216908810956,228.70811371840108,126.77846300816607
v3-lite,T1+F0,external_position_filter,all8,24,CDHG,6,110.21412098294502,184.01333245996318,126.68801229499773
v3-lite,T1+F1,external_position_filter,all8,24,ABEF,6,70.7268506416742,315.20050808807406,171.3136954811437
v3-lite,T1+F1,external_position_filter,all8,24,ADHE,6,90.91153944405252,143.36370055900895,102.07352608202596
v3-lite,T1+F1,external_position_filter,all8,24,BCGF,6,59.96002475811549,226.44410805438235,125.73957743631341
v3-lite,T1+F1,external_position_filter,all8,24,CDHG,6,105.618753154958,188.54543219408902,127.44643815565321
v3-lite,T1+F2,external_position_filter,all8,24,ABEF,6,70.7268506416742,315.20050808807406,171.3136954811437
v3-lite,T1+F2,external_position_filter,all8,24,ADHE,6,90.91153944405252,143.36370055900895,102.07352608202596
v3-lite,T1+F2,external_position_filter,all8,24,BCGF,6,59.96002475811549,226.44410805438235,125.73957743631341
v3-lite,T1+F2,external_position_filter,all8,24,CDHG,6,105.618753154958,188.54543219408902,127.44643815565321
v3-lite,T1+F3,external_position_filter,all8,24,ABEF,6,72.52372429400836,315.3497600120832,171.57164243519316
v3-lite,T1+F3,external_position_filter,all8,24,ADHE,6,90.5896138845027,142.93913765795128,102.13319540480596
v3-lite,T1+F3,external_position_filter,all8,24,BCGF,6,59.7734359892319,226.69688129290327,125.87888813388065
v3-lite,T1+F3,external_position_filter,all8,24,CDHG,6,105.46468965214211,189.55149761859687,127.88613587474286
v3-lite,T1+F4,external_position_filter,all8,24,ABEF,6,70.3736897059571,314.9364729269232,171.0835959657727
v3-lite,T1+F4,external_position_filter,all8,24,ADHE,6,91.61177176184653,144.13429574403085,102.32900115113975
v3-lite,T1+F4,external_position_filter,all8,24,BCGF,6,60.19707722537387,226.55548058167818,125.81250763755003
v3-lite,T1+F4,external_position_filter,all8,24,CDHG,6,105.7900045269177,185.12431742758542,126.12308953053949
v3-lite,T1+F5,external_position_filter,all8,24,ABEF,6,69.35259768869872,314.0104770340044,170.55416760964593
v3-lite,T1+F5,external_position_filter,all8,24,ADHE,6,91.22910336460384,143.83593428128043,102.01293962711704
v3-lite,T1+F5,external_position_filter,all8,24,BCGF,6,60.00101160037728,226.2100879737971,125.6219075723114
v3-lite,T1+F5,external_position_filter,all8,24,CDHG,6,104.94780008764639,183.9571339239866,125.65159847086295
v3-lite,T2+F0,external_position_filter,all8,24,ABEF,6,81.99451069228374,316.9740119646355,173.24182288480785
v3-lite,T2+F0,external_position_filter,all8,24,ADHE,6,90.490197243641,143.34674056682013,102.47448304368548
v3-lite,T2+F0,external_position_filter,all8,24,BCGF,6,59.36441520715515,228.14823335338616,126.60166139560056
v3-lite,T2+F0,external_position_filter,all8,24,CDHG,6,110.28093787676957,181.8672254063267,125.90874137316203
v3-lite,T2+F1,external_position_filter,all8,24,ABEF,6,70.33560834339822,315.2241285149113,171.30044833510388
v3-lite,T2+F1,external_position_filter,all8,24,ADHE,6,90.59484912565215,143.196682230509,101.90924830256122
v3-lite,T2+F1,external_position_filter,all8,24,BCGF,6,60.29050987606233,226.19618303216117,125.66702793749856
v3-lite,T2+F1,external_position_filter,all8,24,CDHG,6,105.70143185938866,186.71545198926427,126.89851921015564
v3-lite,T2+F2,external_position_filter,all8,24,ABEF,6,70.33560834339822,315.2241285149113,171.30044833510388
v3-lite,T2+F2,external_position_filter,all8,24,ADHE,6,90.59484912565215,143.196682230509,101.90924830256122
v3-lite,T2+F2,external_position_filter,all8,24,BCGF,6,60.29050987606233,226.19618303216117,125.66702793749856
v3-lite,T2+F2,external_position_filter,all8,24,CDHG,6,105.70143185938866,186.71545198926427,126.89851921015564
v3-lite,T2+F3,external_position_filter,all8,24,ABEF,6,72.70617345114482,315.48798424091706,171.7040836877811
v3-lite,T2+F3,external_position_filter,all8,24,ADHE,6,90.32464933027521,141.5670164770696,101.60877205090866
v3-lite,T2+F3,external_position_filter,all8,24,BCGF,6,59.99435308554942,226.2669627039216,125.66036703353785
v3-lite,T2+F3,external_position_filter,all8,24,CDHG,6,105.57354033120315,186.34537304598305,126.9507128562115
v3-lite,T2+F4,external_position_filter,all8,24,ABEF,6,70.39969827164323,314.9397137597185,171.11432704545925
v3-lite,T2+F4,external_position_filter,all8,24,ADHE,6,90.81985656020545,145.5718160052877,102.5640528141824
v3-lite,T2+F4,external_position_filter,all8,24,BCGF,6,60.2111953149132,226.3042576703401,125.71988094440972
v3-lite,T2+F4,external_position_filter,all8,24,CDHG,6,106.42500962063818,182.27953367183852,125.46222675171263
v3-lite,T2+F5,external_position_filter,all8,24,ABEF,6,69.2796823123378,314.19353594350105,170.60497891314017
v3-lite,T2+F5,external_position_filter,all8,24,ADHE,6,90.91240484861275,145.34798644406305,102.39503181778734
v3-lite,T2+F5,external_position_filter,all8,24,BCGF,6,60.04572669525906,225.65416596614503,125.35965959403673
v3-lite,T2+F5,external_position_filter,all8,24,CDHG,6,105.48857213337197,181.68132030035824,125.10927821893179
v3-lite,T3+F0,external_position_filter,all8,24,ABEF,6,79.36557177479234,133.8198028457994,89.30581416662933
v3-lite,T3+F0,external_position_filter,all8,24,ADHE,6,51.1540699996649,138.9850426262663,82.9399339800437
v3-lite,T3+F0,external_position_filter,all8,24,BCGF,6,58.95469594421562,215.44323963380248,119.06505623570804
v3-lite,T3+F0,external_position_filter,all8,24,CDHG,6,109.3161285533528,197.5141450915519,126.82346456342096
v3-lite,T3+F1,external_position_filter,all8,24,ABEF,6,75.01767970926473,132.45647966453086,86.16969704725405
v3-lite,T3+F1,external_position_filter,all8,24,ADHE,6,49.3569354353186,135.40448044039746,81.15213653618827
v3-lite,T3+F1,external_position_filter,all8,24,BCGF,6,58.34843012556683,216.3070525423277,119.45338697722563
v3-lite,T3+F1,external_position_filter,all8,24,CDHG,6,105.26994852906734,191.6480812960496,123.1239251538826
v3-lite,T3+F2,external_position_filter,all8,24,ABEF,6,75.01767970926473,132.45647966453086,86.16969704725405
v3-lite,T3+F2,external_position_filter,all8,24,ADHE,6,49.3569354353186,135.40448044039746,81.15213653618827
v3-lite,T3+F2,external_position_filter,all8,24,BCGF,6,58.34843012556683,216.3070525423277,119.45338697722563
v3-lite,T3+F2,external_position_filter,all8,24,CDHG,6,105.26994852906734,191.6480812960496,123.1239251538826
v3-lite,T3+F3,external_position_filter,all8,24,ABEF,6,75.12883661578977,131.90087315419893,86.12908747138428
v3-lite,T3+F3,external_position_filter,all8,24,ADHE,6,49.413195271858484,136.20344198016463,81.47562482021877
v3-lite,T3+F3,external_position_filter,all8,24,BCGF,6,58.166812847817155,216.40734781093028,119.46252771664109
v3-lite,T3+F3,external_position_filter,all8,24,CDHG,6,106.87493580719186,192.83190053407975,124.01005019236133
v3-lite,T3+F4,external_position_filter,all8,24,ABEF,6,74.21349161189048,131.1002208758959,85.31568764408787
v3-lite,T3+F4,external_position_filter,all8,24,ADHE,6,48.96884772794972,134.76553508637,80.7886784116384
v3-lite,T3+F4,external_position_filter,all8,24,BCGF,6,58.15934149205026,216.35671744918128,119.38362329559035
v3-lite,T3+F4,external_position_filter,all8,24,CDHG,6,105.23063849175915,191.961577847201,123.26587405478556
v3-lite,T3+F5,external_position_filter,all8,24,ABEF,6,73.22763840018376,130.94186986131598,84.85336236318496
v3-lite,T3+F5,external_position_filter,all8,24,ADHE,6,48.98653354692492,134.8290694960425,80.79660759142931
v3-lite,T3+F5,external_position_filter,all8,24,BCGF,6,58.15514016022088,216.15641083196937,119.30223152766543
v3-lite,T3+F5,external_position_filter,all8,24,CDHG,6,105.15603673977115,192.8822850939051,123.32990981640383
v3-lite,T4+F0,external_position_filter,all8,24,ABEF,6,82.79970309772483,152.6349610726935,102.18661443164946
v3-lite,T4+F0,external_position_filter,all8,24,ADHE,6,76.66244836489247,124.56549782977066,85.3988797278342
v3-lite,T4+F0,external_position_filter,all8,24,BCGF,6,59.06911455332332,211.7152385903051,117.46819121089429
v3-lite,T4+F0,external_position_filter,all8,24,CDHG,6,88.42461566913272,164.87886300093837,111.80603775642305
v3-lite,T4+F1,external_position_filter,all8,24,ABEF,6,71.18747831157266,154.50080128438117,100.62807463121811
v3-lite,T4+F1,external_position_filter,all8,24,ADHE,6,75.9555663085204,123.96184757064607,85.48575184031375
v3-lite,T4+F1,external_position_filter,all8,24,BCGF,6,59.522071016053914,212.27499914996147,117.77525740048887
v3-lite,T4+F1,external_position_filter,all8,24,CDHG,6,85.28408785058821,171.3818958580207,113.38290533537125
v3-lite,T4+F2,external_position_filter,all8,24,ABEF,6,71.18747831157266,154.50080128438117,100.62807463121811
v3-lite,T4+F2,external_position_filter,all8,24,ADHE,6,75.9555663085204,123.96184757064607,85.48575184031375
v3-lite,T4+F2,external_position_filter,all8,24,BCGF,6,59.522071016053914,212.27499914996147,117.77525740048887
v3-lite,T4+F2,external_position_filter,all8,24,CDHG,6,85.28408785058821,171.3818958580207,113.38290533537125
v3-lite,T4+F3,external_position_filter,all8,24,ABEF,6,73.11733632551534,154.34905950453623,101.12965945992603
v3-lite,T4+F3,external_position_filter,all8,24,ADHE,6,76.0877476039945,124.35742149981554,85.50749993396671
