mask,facing,height,n,vdop_median,vdop_p95,gdop_median,radial_p95_median,pct_ge8_median
dropAH,BCGF,high,2,0.8879373967647552,0.974400469660759,1.309498131275177,109.62870113291399,92.75603663613657
dropAH,BCGF,low,2,0.8337365090847015,0.906186220049858,1.2778284549713135,91.98003244102073,93.37461345459269
dropAH,BCGF,mid,2,1.0124696791172028,1.092227926850319,1.3738166093826294,82.58665185358097,91.7116985845129
dropAH,CDHG,high,2,0.9207376539707184,0.9324981480836868,1.3195382952690125,115.29532142575104,93.58867610324731
dropAH,CDHG,low,2,0.8823288679122925,0.8975838243961334,1.3108834028244019,179.82700603813663,90.3413821815154
dropAH,CDHG,mid,2,1.0735998153686523,1.1130533933639526,1.4173572659492493,120.72604325592548,92.9225645295587
dropBC,ABEF,high,2,1.1902912259101868,1.2809867441654206,1.5289613008499146,106.63362100495875,91.7985012489592
dropBC,ABEF,low,2,0.7541104555130005,0.7641493201255798,1.2419925332069397,113.40754186680162,92.12530703146321
dropBC,ABEF,mid,2,1.195778489112854,1.208222222328186,1.511454999446869,115.40944847510812,93.6684707188454
dropBC,ADHE,high,2,1.1283731162548065,1.265442070364952,1.4704702496528625,104.66248926254788,91.96502914238135
dropBC,ADHE,low,2,0.7461660802364349,0.7586365014314651,1.2492163181304932,137.55633401300634,91.09075770191507
dropBC,ADHE,mid,2,1.1254535913467407,1.2344923615455627,1.4635089635849,77.7054933473849,90.7993338884263
dropBC,BCGF,high,2,1.3865248560905457,1.461911827325821,1.6812230944633484,109.62870113291399,92.75603663613657
dropBC,BCGF,low,2,0.746098130941391,0.7717027932405471,1.2766054272651672,91.98003244102073,93.37461345459269
dropBC,BCGF,mid,2,1.2374112606048584,1.2574696779251098,1.5412293672561646,82.58665185358097,91.7116985845129
dropBC,CDHG,high,2,1.294979751110077,1.355846744775772,1.6053932905197144,115.29532142575104,93.58867610324731
dropBC,CDHG,low,2,0.7454083859920502,0.7499861389398574,1.266489565372467,179.82700603813663,90.3413821815154
dropBC,CDHG,mid,2,1.2137073278427124,1.2361493706703186,1.5300827026367188,120.72604325592548,92.9225645295587
dropBD,ABEF,high,2,1.048706978559494,1.1145351737737657,1.4113926887512207,106.63362100495875,91.7985012489592
dropBD,ABEF,low,2,0.7545790374279022,0.7643834501504898,1.3759312629699707,113.40754186680162,92.12530703146321
dropBD,ABEF,mid,2,1.1001607179641724,1.105511724948883,1.4569424986839294,115.40944847510812,93.6684707188454
dropBD,ADHE,high,2,1.131209135055542,1.1396501541137696,1.455673635005951,104.66248926254788,91.96502914238135
dropBD,ADHE,low,2,0.7505114674568176,0.7668839931488037,1.3464036583900452,137.55633401300634,91.09075770191507
dropBD,ADHE,mid,2,1.0992462635040283,1.1210538029670716,1.4447951316833496,77.7054933473849,90.7993338884263
dropBD,BCGF,high,2,1.081551432609558,1.1337193250656128,1.421187400817871,109.62870113291399,92.75603663613657
dropBD,BCGF,low,2,0.7431395053863525,0.7715524673461914,1.366684079170227,91.98003244102073,93.37461345459269
dropBD,BCGF,mid,2,1.0795206427574158,1.1034036219120025,1.4351975321769714,82.58665185358097,91.7116985845129
dropBD,CDHG,high,2,1.1210905313491821,1.1494551062583924,1.4611446261405945,115.29532142575104,93.58867610324731
dropBD,CDHG,low,2,0.7437411546707153,0.7482563853263855,1.3854456543922424,179.82700603813663,90.3413821815154
dropBD,CDHG,mid,2,1.1046032905578613,1.111536157131195,1.460357904434204,120.72604325592548,92.9225645295587
dropBE,ABEF,high,2,0.9376547634601593,0.9611749738454819,1.3528918027877808,106.63362100495875,91.7985012489592
dropBE,ABEF,low,2,0.9466690719127655,0.9532443195581436,1.3548952341079712,113.40754186680162,92.12530703146321
