config,layout_source,correction_source,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope_mm_per_m
L_V4+C_V4,L_V4,C_V4,106.0,89.08029351446439,97.1689341131056,143.60106661537918,-53.042185545636585
L_V4+C_V4,L_V4,C_V4,108.0,91.61444177782764,98.79359514427942,144.64286749669728,-55.87964866794077
L_V4+C_V4,L_V4,C_V4,110.0,92.90766013892907,100.44632325443912,145.86574262369805,-58.71059753245659
L_V4+C_V4,L_V4,C_V4,112.0,94.94095794336648,102.1246069453802,147.88813175373284,-61.53592918086179
L_V4+C_V4,L_V4,C_V4,114.0,97.4977812082454,103.82396912255383,150.12984209196617,-64.35029993204772
L_V4+C_V4,L_V4,C_V4,116.0,99.86715827940372,105.54465848927292,152.40534270041047,-67.15117878759804
L_V4+C_V4,L_V4,C_V4,118.0,101.51910328151796,107.28548905458322,154.85809958502043,-69.93929002425844
L_V4+C_V4,L_V4,C_V4,120.0,103.1797528171277,109.04554330683564,157.6767707386849,-72.71360214852443
L_V5+C_V5,L_V5,C_V5,0.0,109.51537928451556,140.5199951638537,223.85943877996436,196.4196482751764
L_V5+C_V5,L_V5,C_V5,2.0,107.2921941832994,137.5235903605472,217.37993947774544,191.148267009312
L_V5+C_V5,L_V5,C_V5,4.0,105.07034963035235,134.5611401716675,210.9631397812508,185.9030446675304
L_V5+C_V5,L_V5,C_V5,6.0,102.847242858155,131.63719344430524,204.6437322307976,180.6903100334916
L_V5+C_V5,L_V5,C_V5,8.0,100.62065712038827,128.75944937084307,198.45889166933011,175.5200304276745
L_V5+C_V5,L_V5,C_V5,10.0,98.38249073205752,125.92592961251349,194.95221521802316,170.38565098937931
L_V5+C_V5,L_V5,C_V5,12.0,96.13715260616226,123.13509704622687,191.64485636823844,165.28381027613625
L_V5+C_V5,L_V5,C_V5,14.0,93.8783675764188,120.39121438116072,188.6939559615485,160.21898227271967
L_V5+C_V5,L_V5,C_V5,16.0,91.0990404910358,117.69856840950806,185.7281678850353,155.19159389852857
L_V5+C_V5,L_V5,C_V5,18.0,88.79260972362044,115.05929300266274,182.74334120029675,150.20262433297364
L_V5+C_V5,L_V5,C_V5,20.0,86.1237916811437,112.47616761431706,179.7306810096912,145.25433456351263
L_V5+C_V5,L_V5,C_V5,22.0,83.45559279012545,109.95692324208252,176.7125439580731,140.35342558801617
L_V5+C_V5,L_V5,C_V5,24.0,80.13065185991243,107.49756103674474,173.65156877976975,135.4938136335418
L_V5+C_V5,L_V5,C_V5,26.0,76.51539478286759,105.1023662590646,170.74275823294636,130.67574305178414
L_V5+C_V5,L_V5,C_V5,28.0,74.37133007108665,102.77554255021926,168.32800492557573,125.90286098793544
L_V5+C_V5,L_V5,C_V5,30.0,72.60796470109511,100.51914834964876,167.03693942932546,121.17041475862392
L_V5+C_V5,L_V5,C_V5,32.0,71.05095496350063,98.33445438027894,165.76459415237417,116.47925359988668
L_V5+C_V5,L_V5,C_V5,34.0,70.84043297288267,96.22578838884796,164.66411760116284,111.82760248619284
L_V5+C_V5,L_V5,C_V5,36.0,72.10200706546027,94.19949720324998,163.6203653270438,107.21715767598997
L_V5+C_V5,L_V5,C_V5,38.0,73.56654766976482,92.2562363567726,162.59687649407294,102.64869202856696
L_V5+C_V5,L_V5,C_V5,40.0,74.03893722657315,90.40085291619756,161.59445827453075,98.12399470108122
L_V5+C_V5,L_V5,C_V5,42.0,74.44216585155854,88.6369547573812,160.6166845996859,93.64345895744432
L_V5+C_V5,L_V5,C_V5,44.0,73.58578273828434,86.96737600380577,159.65010647029266,89.20487175518994
L_V5+C_V5,L_V5,C_V5,46.0,71.43272660387274,85.39397009182952,158.69555709440448,84.80777648836178
L_V5+C_V5,L_V5,C_V5,48.0,69.31459150053402,83.92008291712185,156.5734009111889,80.44920598257094
L_V5+C_V5,L_V5,C_V5,50.0,68.04692158649715,82.54616474190911,152.95476644283644,76.12653262657957
L_V5+C_V5,L_V5,C_V5,52.0,69.10773451116125,81.2755131777916,149.40471743460512,71.84333131466352
