tag_delay_mm,n_static_cases,n_residuals,raw_rms,raw_p50_abs,raw_p95_abs,norm_rms,case_rms_median,case_rms_p95,status
72.0,23,184,89.94806401296472,43.38973000364604,181.01154647552767,3.432345398518588,81.27060103763134,139.701856148422,ok
73.0,23,184,90.59839238544866,43.65635690502609,181.65244494129792,3.4577635028364773,82.29886735949276,140.66623609342912,ok
74.0,23,184,91.25521317778961,43.899487700646205,182.29305420051162,3.4834156626456303,83.33248333031001,141.63582396344626,ok
75.0,23,184,91.91677104424419,44.14139862367415,182.9335016050332,3.509238432241488,84.37124180618045,142.61053890766053,ok
76.0,23,184,92.58449726268537,44.3833692546084,183.57390904180292,3.535280620076695,85.41494387147661,143.59030118994517,ok
77.0,23,184,93.25829252542681,44.35785936839193,184.37747487337487,3.5615401850106903,86.36148051496347,144.5750321915239,ok
78.0,23,184,93.93814989077376,44.60237068176821,185.40576659810728,3.588023598529609,87.09403772304539,145.56465441208556,ok
79.0,23,184,94.62508872362868,44.83421433171452,186.44374536251675,3.614762889090939,87.8288547578957,146.55909146954303,ok
80.0,23,184,95.3191533125726,45.18005114860239,187.53130377798254,3.641716112429918,88.56590895561078,147.55826809859454,ok
81.0,23,184,96.01893577422713,45.71755774232565,188.6380085448377,3.668880113181655,89.30517818794473,148.5621101482193,ok
82.0,23,184,96.72551799492089,46.13099395828817,189.7753839317222,3.6962820223819297,90.0466408634895,149.5705445782235,ok
83.0,23,184,97.43841106359099,46.40543020208543,190.91348603382295,3.7238894547757027,90.78985262684718,150.58349945492995,ok
