row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L2:I1:T8,simulate_imu_prior,0.5383086810034001,,,,,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I1:T8,cpu_golden,18.588104127004044,,,,,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I1:T8,torch_gpu,1.9967445270012831,0.0,1.0,1.9967445270012831,1.9967445270012831,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I3:T6,simulate_imu_prior,0.6202236340031959,,,,,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I3:T6,cpu_golden,18.8045641839999,,,,,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I3:T6,torch_gpu,1.9929221579950536,0.0,1.0,1.9929221579950536,1.9929221579950536,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I3:T8,simulate_imu_prior,0.5817322780058021,,,,,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I3:T8,cpu_golden,19.193840289997752,,,,,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I3:T8,torch_gpu,1.9356709419953404,0.0,1.0,1.9356709419953404,1.9356709419953404,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I4:T6,simulate_imu_prior,0.5697782390052453,,,,,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I4:T6,cpu_golden,18.763860569000823,,,,,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I4:T6,torch_gpu,1.9585788129916184,0.0,1.0,1.9585788129916184,1.9585788129916184,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I4:T8,simulate_imu_prior,0.6075280840013875,,,,,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I4:T8,cpu_golden,18.72302448299888,,,,,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I4:T8,torch_gpu,1.9256451279943576,0.0,1.0,1.9256451279943576,1.9256451279943576,partial_raw_0009,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0009_cuda0
R2:L2:I7:T6,simulate_imu_prior,0.5172038070013514,,,,,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I7:T6,cpu_golden,18.156845561999944,,,,,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I7:T6,torch_gpu,2.104915574993356,0.0,1.0,2.104915574993356,2.104915574993356,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I7:T8,simulate_imu_prior,0.6041636699956143,,,,,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I7:T8,cpu_golden,18.79739806499856,,,,,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I7:T8,torch_gpu,1.900924405999831,0.0,1.0,1.900924405999831,1.900924405999831,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I8:T6,simulate_imu_prior,0.5162390689947642,,,,,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I8:T6,cpu_golden,17.989911903001484,,,,,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I8:T6,torch_gpu,1.864267052005744,0.0,1.0,1.864267052005744,1.864267052005744,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I8:T8,simulate_imu_prior,0.5131300270004431,,,,,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I8:T8,cpu_golden,19.79602416799753,,,,,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I8:T8,torch_gpu,1.911083425002289,0.0,1.0,1.911083425002289,1.911083425002289,partial_raw_0010,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0010_cuda0
R2:L2:I1+I3+I7:T6,simulate_imu_prior,0.5453966360073537,,,,,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I3+I7:T6,cpu_golden,18.73578385700239,,,,,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I3+I7:T6,torch_gpu,2.0664411110046785,0.0,1.0,2.0664411110046785,2.0664411110046785,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I3+I7:T8,simulate_imu_prior,0.5411550290009473,,,,,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I3+I7:T8,cpu_golden,18.761011889000656,,,,,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I3+I7:T8,torch_gpu,1.9650740490033056,0.0,1.0,1.9650740490033056,1.9650740490033056,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I2+I3+I8:T6,simulate_imu_prior,0.5488505559915211,,,,,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I2+I3+I8:T6,cpu_golden,18.92707656598941,,,,,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I2+I3+I8:T6,torch_gpu,1.9897218300029635,0.0,1.0,1.9897218300029635,1.9897218300029635,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
R2:L2:I1+I2+I3+I8:T8,simulate_imu_prior,0.5430173880013172,,,,,partial_raw_0011,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0011_cuda1
