L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,accuracy_rank,rescue_rank
L20,A0,U4,P2,I2,T3,position_fusion,5,93.87735127228032,173.70476565000834,0.6368705677228639,105.66134661409494,131.7867970598201,128.95472228502823,191.34655064695076,17.64178499694242,1.0,58.09737234546935,48.594512625360565,137.65257243186088,226.17896084313375,L20 Xsens MTi-3,X_A0_U4_P2_L20_I2_T3,453,306
L2,A0,U4,P1,I2,T5,position_fusion,5,89.39556965779893,173.86869481385924,0.5835605970768346,105.47895114736052,133.44462855184645,127.14387606922348,179.58127537090328,5.712580557044066,1.0,57.93344318161847,51.77567559275859,133.9671429999022,245.54480027091236,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I2_T5,454,489
L16,A0,U4,P2,I2,T3,position_fusion,5,93.76678670264731,173.95519611516,1.4666250427346177,106.06266623831554,133.45648951762809,128.98832181090233,191.34655064695076,17.39135453179076,1.0,57.846941880317694,48.76328950532512,138.37534795648043,225.00469147669327,L16 ICM-45686,X_A0_U4_P2_L16_I2_T3,455,311
L2,A0,U4,P3,I7,T2,position_fusion,5,96.24785951301013,174.04008486810105,5.685101728816585,108.52966802285157,136.0124560495347,122.70003681063713,200.2766290041533,26.23654413605226,1.0,57.762053127376646,48.06660674341833,140.89065049645654,211.4302028828296,L2 MPU6050/JY61P-like,X_A0_U4_P3_L2_I7_T2,456,200
L2,A0,U4,P2,I4,T4,position_fusion,5,94.56801732004425,174.14902714122684,3.3839845625099536,107.09775079942008,133.23473065952948,130.36034478705346,191.34655064695076,17.197523505723915,1.0,57.65311085425085,48.69575741078502,138.67288489217887,215.18710243256646,L2 MPU6050/JY61P-like,X_A0_U4_P2_L2_I4_T4,457,316
L2,A0,U4,P0,I3,T2,position_fusion,5,92.9773342886165,174.18598450680278,3.8578554949986037,106.99302526055074,126.71570036838042,132.548322434426,231.8021379954777,57.616153488674925,1.0,57.616153488674925,50.19213690958681,145.36087793019811,275.8847562367804,L2 MPU6050/JY61P-like,X_A0_U4_P0_L2_I3_T2,458,39
L2,A0,U4,P3,I8,T3,position_fusion,5,90.74051462185749,174.22470173692312,1.9568462817540104,105.37045577783738,134.33261955386837,125.80562418957236,200.2766290041533,26.051927267230173,1.0,57.577436258554556,51.175699411814094,142.67336091491666,188.66413630439672,L2 MPU6050/JY61P-like,X_A0_U4_P3_L2_I8_T3,459,202
L16,A0,U4,P2,I1,T3,position_fusion,5,94.05980789818383,174.27624169739275,1.3880727155285093,106.16885099400193,133.7118084065216,130.04715352983726,191.34655064695076,17.07030894955801,1.0,57.525896298084945,48.87172414504649,138.59816882268177,223.52066704606577,L16 ICM-45686,X_A0_U4_P2_L16_I1_T3,460,318
L2,A0,U4,P3,I3,T4,position_fusion,5,89.74412740710758,174.36722572784032,1.260829128518098,105.78990329219694,133.90969362855623,130.27990796339188,200.2766290041533,25.909403276312975,1.0,57.43491226763736,51.131988554471086,142.8745805540528,194.33031383060802,L2 MPU6050/JY61P-like,X_A0_U4_P3_L2_I3_T4,461,205
L16,A0,U4,P2,I7,T3,position_fusion,5,93.8778182344223,174.37035221765103,0.9027678374645649,105.90102166782421,133.37880636456995,129.44397628647025,191.34655064695076,16.97619842929972,1.0,57.431785777826654,48.71843026604032,138.45402157781672,224.23147424622738,L16 ICM-45686,X_A0_U4_P2_L16_I7_T3,462,321
