d_tag_mm,n_positions,n_frames,frames_input_total,median_3d_mm,p75_3d_mm,p95_3d_mm,rmse_3d_mm,median_horiz_mm,rmse_horiz_mm,median_vert_mm,rmse_vert_mm,signed_vertical_slope_mm_per_m,signed_vertical_slope_r2,fail_rate,residual_rms_median_mm,d3_std_median_mm,distance_to_centroid_slope_mm_per_m,distance_to_centroid_slope_r2
20.0,24,28818,28818,86.1237916811437,141.6815739715795,179.7306810096912,112.47616761431706,34.61780862430445,43.65431127240877,79.48448450155911,103.65900534220648,145.25433456351263,0.6893638439072791,0.0,82.12970535264266,68.0395753176893,120.39023534467165,0.32921185953237464
22.0,24,28818,28818,83.45559279012545,138.2899746161621,176.7125439580731,109.95692324208251,34.84118778133669,43.16980698429631,78.67164251817883,101.12810061404213,140.35342558801617,0.6779339523917611,0.0,81.84910896985174,67.5139445877717,116.6513872105938,0.31989488842111813
24.0,24,28818,28818,80.13065185991243,134.91037807049247,173.65156877976975,107.49756103674474,35.215103007690715,42.71229517816511,76.2901523429025,98.64778491918588,135.4938136335418,0.6656863778710662,0.0,81.68568587550783,66.68753304156462,112.9371507401578,0.3106395232063075
26.0,24,28818,28818,76.51539478286759,131.551584781149,170.74275823294636,105.10236625906461,35.60906041768807,42.2856340086191,73.27430125019555,96.2207490603959,130.67574305178414,0.6525514205853895,0.0,81.53233885173799,65.92660522888968,109.2361662358221,0.30152419408620956
28.0,24,28818,28818,74.37133007108665,128.22046949169857,168.32800492557573,102.77554255021926,35.85378315760224,41.89409710177686,69.64660238595742,93.84933017618624,125.90286098793545,0.638501335820632,0.0,81.45982675605862,65.24084449079467,105.53542592479855,0.2926045643077849
30.0,24,28818,28818,72.60796470109511,124.91354288711446,167.03693942932546,100.51914834964876,35.57661897119543,41.54057359626213,66.07809274104612,91.53403700390487,121.17041475862393,0.6234506385444579,0.0,81.69768182387622,63.98340896691372,101.81586022780864,0.28384354569147907
32.0,24,28818,28818,71.05095496350063,121.63927386286655,165.76459415237417,98.33445438027894,35.31153802674207,41.22548909237999,62.57063627522575,89.2755507816178,116.47925359988669,0.6073701042852525,0.0,81.79754838876326,63.468389945094785,98.07424386846616,0.2751017183759906
34.0,24,28818,28818,70.84043297288267,118.39876763235185,164.66411760116284,96.22578838884795,35.80384812880207,40.948565399482135,60.293590784932576,87.07822542277535,111.82760248619284,0.5901569877687638,0.0,81.84865198786932,63.25423564514062,94.28983481707199,0.26603264687343375
36.0,24,28818,28818,72.10200706546027,115.09661188605587,163.6203653270438,94.19949720324998,35.728513810851624,40.71300895734596,59.68535742002189,84.94701981225809,107.21715767598995,0.5717524578604682,0.0,81.8933431880365,63.07619617190734,90.46076144651616,0.2564009859126366
38.0,24,28818,28818,73.56654766976482,111.38994094289275,162.59687649407294,92.25623635677259,35.663201053522656,40.51701221475975,59.06629815080805,82.88295885105512,102.64869202856696,0.5521270486803715,0.0,82.04622075851952,62.92339744673916,86.59521455746314,0.2461202590734164
40.0,24,28818,28818,74.03893722657315,107.45762186325636,161.59445827453075,90.40085291619755,35.83231948664154,40.36203413813563,58.446806154534215,80.89017497946186,98.12399470108122,0.5312540381502964,0.0,82.17157288101474,62.446952284002435,82.68801306655786,0.23505748176719898
42.0,24,28818,28818,74.44216585155854,103.37641417235943,160.6166845996859,88.6369547573812,34.84384447912645,40.24720697079361,57.83581051342753,78.97260334895985,93.64345895744431,0.5091198463207658,0.0,82.19244919852245,62.33966155450158,78.73606765897394,0.223141022327895
