series,material,distance_cm,pos_err_p95_m,failure_gt_0p5m_ratio
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,245,0.06260907649993896,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,250,0.06245415285229683,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,255,0.06278626620769501,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,260,0.062363289296627045,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,265,0.06278875470161438,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,270,0.062718465924263,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,275,0.06261764466762543,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,280,0.06263334304094315,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,285,0.06263500452041626,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,290,0.06267647445201874,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,295,0.06226542219519615,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,300,0.06262067705392838,0.0
