sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-05T12:45:33.679088+00:00,0,0.0,822.0,11264.0,49.0,60.66
2026-06-05T12:45:33.679108+00:00,1,0.0,10.0,11264.0,49.0,52.55
2026-06-05T12:45:48.713658+00:00,0,0.0,822.0,11264.0,49.0,57.42
2026-06-05T12:45:48.713678+00:00,1,0.0,682.0,11264.0,50.0,58.08
2026-06-05T12:46:03.746694+00:00,0,30.0,822.0,11264.0,46.0,62.59
2026-06-05T12:46:03.746713+00:00,1,0.0,682.0,11264.0,50.0,54.27
2026-06-05T12:46:18.778194+00:00,0,0.0,374.0,11264.0,51.0,80.87
2026-06-05T12:46:18.778215+00:00,1,0.0,458.0,11264.0,49.0,54.84
2026-06-05T12:46:33.814573+00:00,0,0.0,374.0,11264.0,53.0,80.21
2026-06-05T12:46:33.814594+00:00,1,0.0,234.0,11264.0,52.0,74.07
2026-06-05T12:46:48.848556+00:00,0,0.0,374.0,11264.0,47.0,10.77
2026-06-05T12:46:48.848576+00:00,1,0.0,234.0,11264.0,53.0,75.14
2026-06-05T12:47:03.880931+00:00,0,19.0,822.0,11264.0,53.0,83.72
2026-06-05T12:47:03.880952+00:00,1,0.0,458.0,11264.0,54.0,75.79
2026-06-05T12:47:18.915341+00:00,0,0.0,822.0,11264.0,54.0,80.85
2026-06-05T12:47:18.915363+00:00,1,0.0,682.0,11264.0,55.0,75.79
2026-06-05T12:47:33.948811+00:00,0,0.0,822.0,11264.0,51.0,15.09
2026-06-05T12:47:33.948832+00:00,1,28.0,682.0,11264.0,55.0,80.42
2026-06-05T12:47:48.981761+00:00,0,0.0,598.0,11264.0,54.0,80.97
2026-06-05T12:47:48.981783+00:00,1,17.0,458.0,11264.0,55.0,91.83
2026-06-05T12:48:04.013044+00:00,0,0.0,374.0,11264.0,55.0,80.96
2026-06-05T12:48:04.013064+00:00,1,0.0,234.0,11264.0,54.0,59.15
2026-06-05T12:48:19.049826+00:00,0,0.0,514.0,11264.0,56.0,81.47
2026-06-05T12:48:19.049847+00:00,1,0.0,234.0,11264.0,49.0,9.61
2026-06-05T12:48:34.080956+00:00,0,100.0,1046.0,11264.0,54.0,88.62
2026-06-05T12:48:34.080978+00:00,1,0.0,422.0,11264.0,52.0,58.58
2026-06-05T12:48:49.111486+00:00,0,0.0,822.0,11264.0,56.0,81.33
2026-06-05T12:48:49.111508+00:00,1,0.0,682.0,11264.0,54.0,75.51
2026-06-05T12:49:04.142329+00:00,0,26.0,822.0,11264.0,56.0,86.6
2026-06-05T12:49:04.142351+00:00,1,0.0,682.0,11264.0,54.0,75.41
2026-06-05T12:49:19.187641+00:00,0,0.0,374.0,11264.0,50.0,51.37
