node,sensor_axis,segment_start_s,segment_end_s,frequency_hz,psd
BSF3C79,acc_x_g,1,484,59.5703125,3.16743966521e-09
BSF3C79,acc_x_g,1,484,59.765625,2.83158877285e-09
BSF3C79,acc_x_g,1,484,59.9609375,3.02582360316e-09
BSF3C79,acc_x_g,1,484,60.15625,2.83971105349e-09
BSF3C79,acc_x_g,1,484,60.3515625,2.64420366169e-09
BSF3C79,acc_x_g,1,484,60.546875,2.70255887282e-09
BSF3C79,acc_x_g,1,484,60.7421875,2.80813552373e-09
BSF3C79,acc_x_g,1,484,60.9375,2.94057349852e-09
BSF3C79,acc_x_g,1,484,61.1328125,2.95469877134e-09
BSF3C79,acc_x_g,1,484,61.328125,3.11073874604e-09
BSF3C79,acc_x_g,1,484,61.5234375,2.94646539227e-09
BSF3C79,acc_x_g,1,484,61.71875,3.02883451952e-09
BSF3C79,acc_x_g,1,484,61.9140625,2.80657640035e-09
BSF3C79,acc_x_g,1,484,62.109375,2.66864962249e-09
BSF3C79,acc_x_g,1,484,62.3046875,2.9128063523e-09
BSF3C79,acc_x_g,1,484,62.5,2.68890596179e-09
BSF3C79,acc_x_g,1,484,62.6953125,2.75688830819e-09
BSF3C79,acc_x_g,1,484,62.890625,2.88201972121e-09
BSF3C79,acc_x_g,1,484,63.0859375,2.77781930125e-09
BSF3C79,acc_x_g,1,484,63.28125,2.90741060376e-09
BSF3C79,acc_x_g,1,484,63.4765625,2.91159478721e-09
BSF3C79,acc_x_g,1,484,63.671875,2.66402523045e-09
BSF3C79,acc_x_g,1,484,63.8671875,3.03875402269e-09
BSF3C79,acc_x_g,1,484,64.0625,2.98637970989e-09
BSF3C79,acc_x_g,1,484,64.2578125,2.80614439564e-09
BSF3C79,acc_x_g,1,484,64.453125,2.8762542845e-09
BSF3C79,acc_x_g,1,484,64.6484375,3.24778126037e-09
BSF3C79,acc_x_g,1,484,64.84375,2.68040437456e-09
BSF3C79,acc_x_g,1,484,65.0390625,2.35860720392e-09
BSF3C79,acc_x_g,1,484,65.234375,2.6225233146e-09
BSF3C79,acc_x_g,1,484,65.4296875,2.63949682754e-09
BSF3C79,acc_x_g,1,484,65.625,2.72156427126e-09
BSF3C79,acc_x_g,1,484,65.8203125,2.76251448846e-09
BSF3C79,acc_x_g,1,484,66.015625,2.91125772826e-09
BSF3C79,acc_x_g,1,484,66.2109375,2.89382977996e-09
BSF3C79,acc_x_g,1,484,66.40625,2.80411948468e-09
BSF3C79,acc_x_g,1,484,66.6015625,2.92982474319e-09
BSF3C79,acc_x_g,1,484,66.796875,2.94532549608e-09
BSF3C79,acc_x_g,1,484,66.9921875,2.73887913486e-09
BSF3C79,acc_x_g,1,484,67.1875,2.74117657457e-09
BSF3C79,acc_x_g,1,484,67.3828125,2.50374654467e-09
BSF3C79,acc_x_g,1,484,67.578125,2.52011094868e-09
BSF3C79,acc_x_g,1,484,67.7734375,2.73683550297e-09
BSF3C79,acc_x_g,1,484,67.96875,2.7401880181e-09
BSF3C79,acc_x_g,1,484,68.1640625,2.53486344963e-09
BSF3C79,acc_x_g,1,484,68.359375,2.51016515504e-09
BSF3C79,acc_x_g,1,484,68.5546875,2.76555060695e-09
BSF3C79,acc_x_g,1,484,68.75,3.03234036598e-09
BSF3C79,acc_x_g,1,484,68.9453125,2.92688452782e-09
BSF3C79,acc_x_g,1,484,69.140625,2.68928742975e-09
BSF3C79,acc_x_g,1,484,69.3359375,2.66617206131e-09
BSF3C79,acc_x_g,1,484,69.53125,2.68402983464e-09
BSF3C79,acc_x_g,1,484,69.7265625,2.61464787557e-09
BSF3C79,acc_x_g,1,484,69.921875,2.88088362722e-09
BSF3C79,acc_x_g,1,484,70.1171875,2.69774201144e-09
