experiment,layout_solver,layout_variant,delay_mode,tag_method,tracks_ok,captures_ok,n_overlap_total,err3d_p50_track_median_mm,err3d_p95_track_median_mm,err3d_rmse_track_median_mm,err_horizontal_xz_p50_track_median_mm,err_horizontal_xz_p95_track_median_mm,err_vertical_y_p50_track_median_mm,err_vertical_y_p95_track_median_mm,turn_center_abs_error_3d_track_median_mm,turn_center_abs_error_3d_track_p95_mm,radius_error_abs_track_median_mm,radius_error_abs_track_p95_mm,axis_angle_abs_track_median_deg,residual_rms_track_median_mm,sample_weighted_err3d_p50_mm,sample_weighted_err3d_p95_mm,sample_weighted_err3d_rmse_mm,sample_weighted_horizontal_xz_p50_mm,sample_weighted_horizontal_xz_p95_mm,sample_weighted_vertical_y_p50_mm,sample_weighted_vertical_y_p95_mm,scale_source,baseline_pair,scale_factor
one_baseline,v3-full,one_baseline_scale,solver_delay,T3,34,17,40661,258.37333434041864,501.41906525229854,293.7503470394422,138.80874843106432,291.2895772332242,188.42679457771774,421.457232829659,81.82625107363336,262.3857685326222,166.07319109198988,251.45649643784526,7.41370476345798,169.6189302299254,,,,,,,,D-E,D-E,0.9596743181663339
one_baseline,v3-full,one_baseline_scale,solver_delay,T4,34,17,40661,235.7116123868741,400.8203045690866,255.31103491238252,111.67801612457282,254.26803185230727,162.57204397660087,350.90624221235066,74.36485436057946,114.9178012957777,160.15339488723967,205.75381170548033,8.003613981273883,157.8726938896853,,,,,,,,D-E,D-E,0.9596743181663339
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T1,34,17,40661,113.30786016352172,213.30188185523528,132.7323332020972,65.72206218749227,149.65094406509272,74.62959943194451,186.32013163640363,78.8074061611638,114.37901574107067,20.749828641770478,45.56835673394671,2.5656037778741694,87.93814445569865,,,,,,,,D-F,D-F,0.9406266459915468
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T2,34,17,40661,113.31293484022295,213.34140487012803,132.7496549526794,65.71225000556836,149.44837385908448,74.3458135956048,186.3606596055006,78.81916890226147,114.39143807489785,20.686951416174878,45.551722774869404,2.56809089437298,88.03149412939057,,,,,,,,D-F,D-F,0.9406266459915468
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T3,34,17,40661,117.26388934929,210.3504669709527,130.61813900308056,67.77483133372337,149.39329936613973,75.6166539052835,185.7980839902612,80.20328515145727,110.59170234134291,18.997201560580265,42.56044741747223,2.644368210770896,88.79932948150444,,,,,,,,D-F,D-F,0.9406266459915468
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T4,34,17,40661,114.17339729957203,210.64958797703844,133.89293722485226,65.63351671401378,147.8835895917237,74.44505371081843,185.3994761098694,79.37801498139578,115.99555676212618,18.533210142633834,45.18319570804937,2.8529747951022895,88.0865069414789,,,,,,,,D-F,D-F,0.9406266459915468
one_baseline,v3-full,one_baseline_scale,solver_delay,T1,34,17,40661,315.54495680091753,512.0583399270374,340.9284797622049,149.99196693799814,305.6247947511713,266.0480148847095,448.0218084220726,87.45373549902519,197.54287612616207,254.77490749030505,329.64917845793406,9.467938322418473,190.40476001835287,,,,,,,,D-F,D-F,0.9406266459915468
one_baseline,v3-full,one_baseline_scale,solver_delay,T2,34,17,40661,314.70222551674715,511.68036385400467,340.7264666442517,150.33608326523228,305.49968640395605,266.13418289545154,448.82820727187834,88.02469120884072,197.90167233105458,254.59452314639213,329.4927155326322,9.396146960990354,190.31287759465474,,,,,,,,D-F,D-F,0.9406266459915468
one_baseline,v3-full,one_baseline_scale,solver_delay,T3,34,17,40661,338.015133615418,631.489166279973,392.72604099046373,158.49698870766895,341.00887189740126,275.0691820621933,558.8788217315472,118.19369970859535,338.84780271067666,198.0599646102999,278.25986663406565,8.428905717849762,209.70408281679258,,,,,,,,D-F,D-F,0.9406266459915468
one_baseline,v3-full,one_baseline_scale,solver_delay,T4,34,17,40661,298.5976875310973,460.16681999125547,311.6355333914918,132.22513780793662,290.4347028045484,232.1429683342816,411.9900347685153,94.89783063229147,124.19755975146033,203.4049728223686,253.86962179377923,8.846651563300755,186.23907675732278,,,,,,,,D-F,D-F,0.9406266459915468
