capture_id,uwb_time_s,uwb_relative_distance_mm,opti_relative_distance_mm,signed_relative_distance_error_mm,abs_relative_distance_error_mm
R05,53.94125,1028.8561815864266,980.0156173080968,48.84056427832979,48.84056427832979
R05,54.045892,1037.4398321711558,979.518877707386,57.92095446376982,57.92095446376982
R05,54.128311,1169.6945623765482,979.945410477022,189.74915189952617,189.74915189952617
R05,54.248327,1143.3106331978495,979.6205646844902,163.69006851335928,163.69006851335928
R05,54.338408,1186.3948562244911,979.4019888363638,206.99286738812737,206.99286738812737
R05,54.490516,1200.9022616528455,979.9770466475679,220.92521500527755,220.92521500527755
R05,54.540685,1341.6638652501101,979.9786944439089,361.6851708062012,361.6851708062012
R05,54.645833,1100.416815359462,979.7270345084269,120.68978085103504,120.68978085103504
R05,54.728374,1068.819126587763,980.1414751267531,88.67765146100999,88.67765146100999
R05,54.840382,1047.662077039388,979.973814802931,67.68826223645692,67.68826223645692
R05,54.968253,1121.1912079849824,980.0412285303963,141.14997945458606,141.14997945458606
R05,55.035802,1089.1966392896154,979.9952820014212,109.20135728819423,109.20135728819423
R05,55.140757,981.7947778934074,979.8042707937516,1.9905070996558152,1.9905070996558152
R05,55.245941,627.1495185242027,980.0785163808445,-352.9289978566418,352.9289978566418
R05,55.33907,1312.4088091283368,980.3756754785121,332.03313364982466,332.03313364982466
R05,55.503039,1127.3889590294948,980.1677125950936,147.22124643440122,147.22124643440122
R05,55.538239,1041.6654473885808,979.6274254867711,62.03802190180966,62.03802190180966
R05,55.635763,1117.1879331513587,979.552528349528,137.63540480183076,137.63540480183076
R05,55.740816,1081.6054047456485,979.5331139395674,102.07229080608101,102.07229080608101
R05,55.854158,1010.3855584038749,979.7254733027208,30.660085101154095,30.660085101154095
R05,55.928309,1058.0176128081189,979.7693765835667,78.24823622455222,78.24823622455222
R05,56.048358,1126.4022304255666,979.6851855895662,146.71704483600035,146.71704483600035
R05,56.138238,1107.1210929131407,979.3945938681563,127.7264990449844,127.7264990449844
R05,56.258414,1048.5437126073768,979.8793337238928,68.664378883484,68.664378883484
R05,56.340761,1163.8382549945466,979.4658082818818,184.37244671266478,184.37244671266478
R05,56.500546,1257.012858848929,980.109391932274,276.903466916655,276.903466916655
R05,56.528149,877.8072880359089,979.9619406154166,-102.15465257950768,102.15465257950768
R05,56.633279,1260.5637874294532,979.8623800330059,280.7014073964473,280.7014073964473
R05,56.768384,1124.5339412328399,980.1347149948831,144.39922623795678,144.39922623795678
R05,56.835737,1172.2029611354562,979.995136893505,192.20782424195124,192.20782424195124
R05,56.94065,1083.8718514256554,980.0214533133967,103.85039811225874,103.85039811225874
R05,57.045666,1047.2256440744904,979.8312799331284,67.39436414136208,67.39436414136208
R05,57.128203,1189.9603086920602,980.5768498657371,209.38345882632302,209.38345882632302
R05,57.248251,1008.7762038003294,980.2155055732024,28.560698227126977,28.560698227126977
R05,57.338254,1177.5305730332748,980.3661221769606,197.16445085631415,197.16445085631415
R05,57.521391,1141.064461855593,980.4338910468214,160.6305708087716,160.6305708087716
R05,57.526425,1206.8200500213313,980.4282545794799,226.3917954418514,226.3917954418514
R05,57.645775,1254.1528319163613,979.9161270038691,274.2367049124922,274.2367049124922
