host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
114.244477,60045,,BS2DCE,,cal_roto,5,success,100,4,4,153,223,0
114.476391,60046,,BS2DCE,,cal_roto,5,success,100,4,4,228,324,0
114.653714,60047,,BS2DCE,,cal_roto,5,success,100,4,4,161,187,0
114.815977,60048,,BS2DCE,,cal_roto,5,success,100,4,4,176,220,0
115.046173,60049,,BS2DCE,,cal_roto,5,success,100,4,4,102,122,0
115.223841,60050,,BS2DCE,,cal_roto,5,success,100,4,4,150,179,0
115.427108,60051,,BS2DCE,,cal_roto,5,success,100,4,4,200,280,0
115.630976,60052,,BS2DCE,,cal_roto,5,success,100,4,4,229,313,0
115.838762,60053,,BS2DCE,,cal_roto,5,success,100,4,4,258,370,0
116.041206,60054,,BS2DCE,,cal_roto,5,success,100,4,4,308,442,0
116.223583,60055,,BS2DCE,,cal_roto,5,success,100,4,4,232,348,0
116.40615,60056,,BS2DCE,,cal_roto,5,success,100,4,4,255,377,0
116.633746,60057,,BS2DCE,,cal_roto,5,success,100,4,4,126,194,0
116.846782,60058,,BS2DCE,,cal_roto,5,success,100,4,4,1,2,0
117.024251,60059,,BS2DCE,,cal_roto,5,success,100,4,4,77,120,0
117.230765,60060,,BS2DCE,,cal_roto,5,success,100,4,4,80,125,0
117.431296,60061,,BS2DCE,,cal_roto,5,success,100,4,4,170,262,0
117.588763,60062,,BS2DCE,,cal_roto,5,pending,99,4,3,0,0,0
117.713757,60063,,BS2DCE,,cal_roto,5,success,99,4,4,201,286,0
117.841358,60064,,BS2DCE,,cal_roto,5,success,100,4,4,230,340,0
118.02667,60065,,BS2DCE,,cal_roto,5,success,100,4,4,233,328,0
118.254002,60066,,BS2DCE,,cal_roto,5,success,100,4,4,172,258,0
118.436218,60067,,BS2DCE,,cal_roto,5,success,100,4,4,165,234,0
118.644187,60068,,BS2DCE,,cal_roto,5,success,100,4,4,238,336,0
118.823913,60069,,BS2DCE,,cal_roto,5,success,100,4,4,159,205,0
119.029011,60070,,BS2DCE,,cal_roto,5,success,100,4,4,159,205,0
119.229403,60071,,BS2DCE,,cal_roto,5,success,100,4,4,98,125,0
119.443229,60072,,BS2DCE,,cal_roto,5,success,100,4,4,156,186,0
119.643428,60073,,BS2DCE,,cal_roto,5,success,100,4,4,148,203,0
119.82141,60074,,BS2DCE,,cal_roto,5,success,100,4,4,261,374,0
120.054021,60075,,BS2DCE,,cal_roto,5,success,100,4,4,277,407,0
120.236287,60076,,BS2DCE,,cal_roto,5,success,100,4,4,227,338,0
120.444075,60077,,BS2DCE,,cal_roto,5,success,100,4,4,265,349,0
120.623978,60078,,BS2DCE,,cal_roto,5,success,100,4,4,158,246,0
120.828523,60079,,BS2DCE,,cal_roto,5,success,100,4,4,51,76,0
121.011645,60080,,BS2DCE,,cal_roto,5,success,100,4,4,119,185,0
121.23902,60081,,BS2DCE,,cal_roto,5,success,100,4,4,58,91,0
121.443805,60082,,BS2DCE,,cal_roto,5,success,100,4,4,188,294,0
121.621963,60083,,BS2DCE,,cal_roto,5,success,100,4,4,212,298,0
121.858153,60084,,BS2DCE,,cal_roto,5,success,100,4,4,199,286,0
122.035771,60085,,BS2DCE,,cal_roto,5,success,100,4,4,222,319,0
122.244137,60086,,BS2DCE,,cal_roto,5,success,100,4,4,164,244,0
122.428213,60087,,BS2DCE,,cal_roto,5,success,100,4,4,136,202,0
122.606169,60088,,BS2DCE,,cal_roto,5,pending,99,4,3,0,0,0
122.758212,60089,,BS2DCE,,cal_roto,5,success,99,4,4,187,267,0
122.828909,60090,,BS2DCE,,cal_roto,5,success,99,4,4,226,320,0
123.041189,60091,,BS2DCE,,cal_roto,5,success,99,4,4,166,229,0
123.293917,60092,,BS2DCE,,cal_roto,5,success,99,4,4,158,191,0
123.421741,60093,,BS2DCE,,cal_roto,5,success,99,4,4,127,163,0
123.657154,60094,,BS2DCE,,cal_roto,5,success,99,4,4,143,194,0
123.834616,60095,,BS2DCE,,cal_roto,5,success,99,4,4,166,202,0
124.018946,60096,,BS2DCE,,cal_roto,5,success,100,4,4,156,201,0
124.226259,60097,,BS2DCE,,cal_roto,5,success,100,4,4,303,429,0
124.426615,60098,,BS2DCE,,cal_roto,5,success,100,4,4,276,406,0
124.629017,60099,,BS2DCE,,cal_roto,5,success,100,4,4,227,345,0
124.811221,60100,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
124.913945,60101,,BS2DCE,,cal_roto,5,success,98,4,4,169,260,0
125.041579,60102,,BS2DCE,,cal_roto,5,success,98,4,4,109,167,0
125.223338,60103,,BS2DCE,,cal_roto,5,success,98,4,4,82,125,0
125.406246,60104,,BS2DCE,,cal_roto,5,success,99,4,4,104,162,0
125.636007,60105,,BS2DCE,,cal_roto,5,success,99,4,4,111,172,0
125.84674,60106,,BS2DCE,,cal_roto,5,success,99,4,4,225,323,0
126.045861,60107,,BS2DCE,,cal_roto,5,success,99,4,4,190,274,0
126.226717,60108,,BS2DCE,,cal_roto,5,success,99,4,4,209,312,0
126.431146,60109,,BS2DCE,,cal_roto,5,success,99,4,4,202,299,0
126.661666,60110,,BS2DCE,,cal_roto,5,success,99,4,4,122,182,0
126.820525,60111,,BS2DCE,,cal_roto,5,success,99,4,4,226,284,0
127.022601,60112,,BS2DCE,,cal_roto,5,success,100,4,4,208,251,0
127.254564,60113,,BS2DCE,,cal_roto,5,success,100,4,4,155,195,0
127.438389,60114,,BS2DCE,,cal_roto,5,success,100,4,4,156,174,0
127.616557,60115,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
127.719821,60116,,BS2DCE,,cal_roto,5,success,98,4,4,141,175,0
127.824167,60117,,BS2DCE,,cal_roto,5,success,98,4,4,188,251,0
128.028838,60118,,BS2DCE,,cal_roto,5,success,98,4,4,237,343,0
128.22927,60119,,BS2DCE,,cal_roto,5,success,98,4,4,258,383,0
128.413935,60120,,BS2DCE,,cal_roto,5,success,99,4,4,276,368,0
128.693297,60121,,BS2DCE,,cal_roto,5,success,99,4,4,225,339,0
128.822217,60122,,BS2DCE,,cal_roto,5,success,99,4,4,165,254,0
129.084201,60123,,BS2DCE,,cal_roto,5,success,99,4,4,90,140,0
129.23607,60124,,BS2DCE,,cal_roto,5,success,99,4,4,45,69,0
129.466789,60125,,BS2DCE,,cal_roto,5,success,99,4,4,66,104,0
129.624355,60126,,BS2DCE,,cal_roto,5,success,99,4,4,135,207,0
129.828655,60127,,BS2DCE,,cal_roto,5,success,99,4,4,225,340,0
130.011956,60128,,BS2DCE,,cal_roto,5,success,100,4,4,204,298,0
130.239971,60129,,BS2DCE,,cal_roto,5,success,100,4,4,226,332,0
130.443562,60130,,BS2DCE,,cal_roto,5,success,100,4,4,205,304,0
130.622494,60131,,BS2DCE,,cal_roto,5,success,100,4,4,128,187,0
130.857603,60132,,BS2DCE,,cal_roto,5,success,100,4,4,238,267,0
131.036399,60133,,BS2DCE,,cal_roto,5,success,100,4,4,179,208,0
131.244279,60134,,BS2DCE,,cal_roto,5,success,100,4,4,136,179,0
131.424559,60135,,BS2DCE,,cal_roto,5,success,100,4,4,118,153,0
131.626842,60136,,BS2DCE,,cal_roto,5,success,100,4,4,139,189,0
131.829436,60137,,BS2DCE,,cal_roto,5,success,100,4,4,174,233,0
132.061652,60138,,BS2DCE,,cal_roto,5,success,100,4,4,207,294,0
132.221724,60139,,BS2DCE,,cal_roto,5,success,100,4,4,292,429,0
132.421816,60140,,BS2DCE,,cal_roto,5,success,100,4,4,224,327,0
132.654252,60141,,BS2DCE,,cal_roto,5,success,100,4,4,236,317,0
132.836205,60142,,BS2DCE,,cal_roto,5,success,100,4,4,99,154,0
133.044627,60143,,BS2DCE,,cal_roto,5,success,100,4,4,105,161,0
133.199725,60144,,BS2DCE,,cal_roto,5,success,100,4,4,58,87,0
133.429621,60145,,BS2DCE,,cal_roto,5,success,100,4,4,92,144,0
133.629685,60146,,BS2DCE,,cal_roto,5,success,100,4,4,101,158,0
133.839459,60147,,BS2DCE,,cal_roto,5,success,100,4,4,235,328,0
134.021508,60148,,BS2DCE,,cal_roto,5,success,100,4,4,191,276,0
134.222073,60149,,BS2DCE,,cal_roto,5,success,100,4,4,220,314,0
134.454404,60150,,BS2DCE,,cal_roto,5,success,100,4,4,172,259,0
134.636641,60151,,BS2DCE,,cal_roto,5,success,100,4,4,166,232,0
134.819898,60152,,BS2DCE,,cal_roto,5,success,100,4,4,227,326,0
135.024354,60153,,BS2DCE,,cal_roto,5,success,100,4,4,184,262,0
135.229213,60154,,BS2DCE,,cal_roto,5,success,100,4,4,153,207,0
135.42959,60155,,BS2DCE,,cal_roto,5,success,100,4,4,148,181,0
135.639434,60156,,BS2DCE,,cal_roto,5,success,100,4,4,185,231,0
135.844724,60157,,BS2DCE,,cal_roto,5,success,100,4,4,251,367,0
136.051726,60158,,BS2DCE,,cal_roto,5,success,100,4,4,276,346,0
136.254583,60159,,BS2DCE,,cal_roto,5,success,100,4,4,279,411,0
