host_elapsed_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
38.821463,59658,,BS2DCE,,2,ok,3103,3103,100,188,0
38.821463,59658,,BS2DCE,,5,ok,2696,2696,100,188,0
38.821463,59658,,BS2DCE,,7,ok,2892,2892,100,187,1
38.999448,59659,,BS2DCE,,0,ok,2652,2652,100,189,0
38.999448,59659,,BS2DCE,,2,ok,3015,3015,100,189,0
38.999448,59659,,BS2DCE,,5,ok,2790,2790,100,189,0
39.209188,59660,,BS2DCE,,0,ok,2719,2719,100,190,0
39.209188,59660,,BS2DCE,,2,ok,2857,2857,100,190,0
39.411561,59661,,BS2DCE,,0,ok,2810,2810,100,191,0
39.414445,59661,,BS2DCE,,2,ok,2929,2929,100,191,0
39.414445,59661,,BS2DCE,,5,ok,2823,2823,100,191,0
39.414445,59661,,BS2DCE,,7,ok,2732,2732,100,190,1
39.621819,59662,,BS2DCE,,0,ok,2818,2818,100,192,0
39.621819,59662,,BS2DCE,,2,ok,2922,2922,100,192,0
39.621819,59662,,BS2DCE,,5,ok,2826,2826,100,192,0
39.771938,59663,,BS2DCE,,0,ok,2995,2995,100,193,0
39.771938,59663,,BS2DCE,,2,ok,2910,2910,100,193,0
40.004019,59664,,BS2DCE,,0,ok,3000,3000,100,194,0
40.006365,59664,,BS2DCE,,2,ok,2940,2940,100,194,0
40.006365,59664,,BS2DCE,,5,ok,3060,3060,100,194,0
40.006365,59664,,BS2DCE,,7,ok,2870,2870,100,193,1
40.206722,59665,,BS2DCE,,0,ok,3104,3104,100,195,0
40.206722,59665,,BS2DCE,,2,ok,2746,2746,100,195,0
40.206722,59665,,BS2DCE,,7,ok,2931,2931,100,194,1
40.416903,59666,,BS2DCE,,0,ok,3166,3166,100,196,0
40.416903,59666,,BS2DCE,,2,ok,2719,2719,100,196,0
40.619044,59667,,BS2DCE,,2,ok,2675,2675,100,197,0
40.621281,59667,,BS2DCE,,0,ok,3308,3308,100,197,0
40.621281,59667,,BS2DCE,,5,ok,2393,2393,100,197,0
40.621281,59667,,BS2DCE,,7,ok,3286,3286,100,196,1
40.800159,59668,,BS2DCE,,0,ok,3684,3684,100,198,0
40.800159,59668,,BS2DCE,,2,ok,2721,2721,100,198,0
40.800159,59668,,BS2DCE,,5,ok,2210,2210,100,198,0
41.00915,59669,,BS2DCE,,0,ok,3197,3197,100,199,0
41.00915,59669,,BS2DCE,,2,ok,2911,2911,100,199,0
41.241141,59670,,BS2DCE,,0,ok,3280,3280,100,200,0
41.243343,59670,,BS2DCE,,2,ok,2868,2868,100,200,0
41.243343,59670,,BS2DCE,,5,ok,2034,2034,100,200,0
41.243343,59670,,BS2DCE,,7,ok,3608,3608,100,199,1
41.369332,59671,,BS2DCE,,0,ok,3048,3048,100,201,0
41.369332,59671,,BS2DCE,,2,ok,3146,3146,100,201,0
41.369332,59671,,BS2DCE,,5,ok,2032,2032,100,201,0
41.601878,59672,,BS2DCE,,0,ok,2956,2956,100,202,0
41.601878,59672,,BS2DCE,,2,ok,2998,2998,100,202,0
41.80407,59673,,BS2DCE,,0,ok,3000,3000,100,203,0
41.806664,59673,,BS2DCE,,2,ok,3004,3004,100,203,0
41.806664,59673,,BS2DCE,,5,ok,2389,2389,100,203,0
41.806664,59673,,BS2DCE,,7,ok,3675,3675,100,202,1
42.006856,59674,,BS2DCE,,0,ok,2784,2784,100,204,0
42.006856,59674,,BS2DCE,,2,ok,3077,3077,100,204,0
42.006856,59674,,BS2DCE,,5,ok,2657,2657,100,204,0
42.238766,59675,,BS2DCE,,0,ok,2527,2527,100,205,0
42.238766,59675,,BS2DCE,,2,ok,3255,3255,100,205,0
42.419199,59676,,BS2DCE,,2,ok,3129,3129,100,206,0
42.421653,59676,,BS2DCE,,0,ok,2516,2516,100,206,0
42.421653,59676,,BS2DCE,,5,ok,2181,2181,100,206,0
42.421653,59676,,BS2DCE,,7,ok,3391,3391,100,205,1
42.599958,59677,,BS2DCE,,0,ok,2609,2609,100,207,0
