experiment_id,wall_time_s,status
X_A0_U4_P0_L1_I1+I2+I3+I8_T2,6.089232763988548,ok
X_A0_U4_P0_L1_I1+I2+I3+I8_T3,5.79754858299566,ok
X_A0_U4_P0_L1_I1+I2+I3+I8_T5,6.113074264998431,ok
X_A0_U4_P0_L2_I0_T2,5.9081492770055775,ok
X_A0_U4_P0_L2_I0_T3,5.9359867079911055,ok
X_A0_U4_P0_L2_I0_T5,5.829726003998076,ok
X_A0_U4_P0_L2_I1_T2,5.333411068000714,ok
X_A0_U4_P0_L2_I1_T3,5.913431731009041,ok
X_A0_U4_P0_L2_I1_T5,5.954661153999041,ok
X_A0_U4_P0_L2_I3_T2,5.69832525899983,ok
X_A0_U4_P0_L2_I3_T3,6.062189744989155,ok
X_A0_U4_P0_L2_I3_T5,5.966212939005345,ok
X_A0_U4_P0_L2_I4_T2,5.896004858994274,ok
X_A0_U4_P0_L2_I4_T3,5.711871457999223,ok
X_A0_U4_P0_L2_I4_T5,6.193421176998527,ok
X_A0_U4_P0_L2_I7_T2,5.942769467001199,ok
X_A0_U4_P0_L2_I7_T3,5.4343446340062656,ok
X_A0_U4_P0_L2_I7_T5,5.956660257012118,ok
X_A0_U4_P0_L2_I8_T2,5.326916927995626,ok
X_A0_U4_P0_L2_I8_T3,5.444277925998904,ok
X_A0_U4_P0_L2_I8_T5,6.048421946994495,ok
X_A0_U4_P0_L2_I1+I3+I7_T2,5.92361327400431,ok
X_A0_U4_P0_L2_I1+I3+I7_T3,5.730681209010072,ok
X_A0_U4_P0_L2_I1+I3+I7_T5,5.432046852991334,ok
X_A0_U4_P0_L2_I1+I2+I3+I8_T2,5.92177840101067,ok
X_A0_U4_P0_L2_I1+I2+I3+I8_T3,6.1779600769950775,ok
X_A0_U4_P0_L2_I1+I2+I3+I8_T5,6.05067037200206,ok
X_A0_U4_P0_L3_I0_T2,5.809440880999318,ok
X_A0_U4_P0_L3_I0_T3,5.992539849001332,ok
X_A0_U4_P0_L3_I0_T5,5.9914879410061985,ok
X_A0_U4_P0_L3_I1_T2,6.238542381994193,ok
X_A0_U4_P0_L3_I1_T3,5.806696735002333,ok
X_A0_U4_P0_L3_I1_T5,5.905349159002071,ok
X_A0_U4_P0_L3_I3_T2,6.177367133001098,ok
X_A0_U4_P0_L3_I3_T3,6.312245073000668,ok
X_A0_U4_P0_L3_I3_T5,5.77267424800084,ok
X_A0_U4_P0_L3_I4_T2,6.158678666004562,ok
X_A0_U4_P0_L3_I4_T3,5.502228912009741,ok
X_A0_U4_P0_L3_I4_T5,5.972227367004962,ok
X_A0_U4_P0_L3_I7_T2,5.701426977990195,ok
X_A0_U4_P0_L3_I7_T3,5.781040458008647,ok
X_A0_U4_P0_L3_I7_T5,5.934024553003837,ok
X_A0_U4_P0_L3_I8_T2,5.8748588529997505,ok
X_A0_U4_P0_L3_I8_T3,5.577950650011189,ok
X_A0_U4_P0_L3_I8_T5,5.885221984004602,ok
X_A0_U4_P0_L3_I1+I3+I7_T2,5.9579290850088,ok
X_A0_U4_P0_L3_I1+I3+I7_T3,5.841589251009282,ok
X_A0_U4_P0_L3_I1+I3+I7_T5,6.144399294003961,ok
X_A0_U4_P0_L3_I1+I2+I3+I8_T2,5.501405293005519,ok
