peer_name,sweep,host_elapsed_s,x_mm,y_mm,z_mm,used_anchors
BS9336,11233,71.142451,845.0463532984555,1889.115747953819,2106.218286309994,8
BS9336,11234,71.175417,746.0447300680578,2168.584053026495,1851.1263482929558,8
BS9336,11235,71.28059,688.9010808188353,2292.2134516019782,1375.4796893937437,8
BS9336,11236,71.378049,611.0268353590968,2355.9798073842053,1211.3289052753669,8
BS9336,11237,71.482962,768.2768379801063,2266.8995356364812,831.0022437519592,7
BS9336,11238,71.63895,1067.8132817413868,2224.4617479700014,-98.85955601200828,8
BS9336,11239,71.685627,1716.9797930792754,2027.7065013435779,160.25309948185395,8
BS9336,11240,71.790228,1921.7344304884807,2081.2447679677816,623.4197573938743,8
BS9336,11241,71.895497,2182.656380314761,2199.2783006820628,1256.8262795944888,8
BS9336,11242,72.000447,2180.9867900732843,2366.4907458453636,1268.8706641071758,8
BS9336,11243,72.124867,2147.7574194303747,2507.31336396393,1195.3906790631718,8
BS9336,11244,72.20294,1892.6287905025213,2573.54501504763,1116.6777689864462,8
BS9336,11245,72.278041,1494.5821434722952,2524.202464868815,993.4413350678071,8
BS9336,11246,72.383016,1236.1548188438258,2451.617788906533,640.5301069531592,8
BS9336,11247,72.48797,1211.1022227362691,2126.9869663636055,762.7433520235384,8
BS9336,11248,72.719061,1231.0608528410694,1835.9113939290307,849.7753058437643,8
BS9336,11249,72.738653,1251.2740345645793,1678.9518256551132,1199.5923536308424,8
BS9336,11250,72.795678,1162.1407612968821,1620.031556250653,1305.0771214968095,8
BS9336,11251,72.922812,1080.2767026108897,1597.6305443270678,1397.1920983967302,8
BS9336,11252,72.975417,885.1901354621435,1819.2028806204694,1610.0019879905344,8
BS9336,11253,73.122479,890.1386974094056,1788.1602512381942,1150.3071823980906,8
BS9336,11254,73.178012,1001.409498263496,1852.0668022361785,1891.4463247765161,7
BS9336,11255,73.282955,993.2462507798579,2259.248466209302,1554.1640111410952,8
BS9336,11256,73.387982,1104.7660376348279,2540.567655763029,1397.6202048935475,8
BS9336,11257,73.485568,1323.3946635060563,2680.5001034056627,1155.1066042928287,8
BS9336,11258,73.663924,1647.562768770982,2891.6023893733563,670.0601471703646,8
BS9336,11259,73.6954,2072.568482692683,2720.7004587991337,548.2280169388332,8
BS9336,11260,73.800593,2422.851609486694,2565.443739920364,706.6931329296597,8
BS9336,11261,73.913353,2509.5778959530508,2452.234861723905,821.956361565093,8
BS9336,11262,74.002977,2518.438272752915,2435.9616732598606,1148.3309988788337,8
BS9336,11263,74.127396,2694.3324171943123,2487.3972059452076,1128.2637540055744,8
BS9336,11264,74.182853,2610.9665814764417,2640.6257399817664,1707.8548808778469,8
BS9336,11265,74.287806,2530.9157024412893,2913.8760832266375,1692.498852045498,8
BS9336,11266,74.385588,2602.1112642090366,3180.292414443379,1318.5222459717397,8
BS9336,11267,74.490455,2351.612250446119,3189.8319165687803,1320.4622123385434,8
BS9336,11268,74.674544,2203.7710792901225,3217.4869858575903,1287.7779317458765,8
BS9336,11269,74.722822,1883.7654716691345,3201.1745129403753,948.2125900280954,8
BS9336,11270,74.847184,1704.869250731812,3013.726750649722,1017.7582224752407,8
BS9336,11271,74.880261,1551.8300847656542,2798.706880002464,819.2195504647373,8
BS9336,11272,74.98293,1355.4144163857004,2671.5061526026493,795.8849640871889,8
BS9336,11273,75.132325,1306.8301388700545,2482.42871480517,938.6206276671221,8
BS9336,11274,75.187945,1661.0887662868738,2633.9481083782607,1169.0836290016694,7
BS9336,11275,75.285437,1234.9078492463248,2544.3338370177016,1780.8407097601757,8
BS9336,11276,75.390377,1331.9840509005485,2827.2016947387065,1776.5448678629123,8
BS9336,11277,75.495285,1503.7378141270417,3098.7664551399976,1562.0937613992023,8
BS9336,11278,75.643875,1676.2916164731398,3141.446530275843,1084.8508378501049,8
BS9336,11279,75.697862,1491.816217688019,3062.6931411084624,1208.5115551459005,8
BS9336,11280,75.802801,1546.0302353660172,2961.050107607416,898.807191877047,8
BS9336,11281,75.877849,1447.7371194676377,2878.8364311411633,857.0241202406276,7
BS9336,11282,76.000023,1502.550578500059,2747.665704946317,1013.4393484485612,8
BS9336,11283,76.159231,1512.7001410931443,2604.7251384471087,929.2788644020345,8
BS9336,11284,76.18519,1413.1193216615877,2606.862004452178,1106.9980338513087,8
BS9336,11285,76.290694,1254.221660209711,2617.6096307848975,1179.2695111910853,8
BS9336,11286,76.395428,1244.7016523672692,2579.372960162094,1398.2115610064689,8
BS9336,11287,76.522888,1410.2276955314385,2521.871794918907,1445.6430143524162,8
BS9336,11288,76.678546,1263.5552184537353,2465.195355493658,1233.0509107870103,8
BS9336,11289,76.699274,1152.5348804530297,2593.847500806966,1167.366567991718,8
BS9336,11290,76.807912,1260.511873678459,2756.552894146332,652.5881635864516,8
BS9336,11291,76.882667,1197.829620425918,2991.3193586053762,860.6515177259985,8
BS9336,11292,77.024756,1084.3147055022696,3142.496182545869,1245.3004845487444,8
BS9336,11293,77.134379,1153.0613991252458,3257.0754562616908,1337.2734418982652,8
BS9336,11294,77.238617,1318.179961161255,3295.658426679961,1018.6130232072406,8
BS9336,11295,77.317968,1399.53789371049,3369.10564529418,1204.7254542427982,8
BS9336,11296,77.400439,1369.3532321898992,3389.8272407812897,1166.5530996005605,8
BS9336,11297,77.497902,1244.968561504571,3382.1857977081795,1266.2395688992328,8
BS9336,11298,77.660982,1294.7448168771614,3271.5149637608906,1136.3307911664488,8
BS9336,11299,77.677524,1407.9907103757555,3033.568710245349,1082.0558418342446,6
BS9336,11300,77.805011,1441.3726004416162,2657.181993492626,941.8820032288019,8
BS9336,11301,77.88766,1626.8268449861955,2579.5580319043884,1558.2586268620394,7
BS9336,11302,77.986224,1804.5774149629094,2702.472757228447,1667.7116152983908,8
BS9336,11303,78.116953,1630.914735492251,2799.106388305109,2071.432318979763,8
BS9336,11304,78.195243,1365.0340246552053,3036.042114389827,1804.2858506506554,8
BS9336,11305,78.322586,1219.4806723075549,3164.1358156098468,1519.332167266642,8
BS9336,11306,78.399706,1282.0312210263842,3205.3496129757154,1148.2563884368947,8
BS9336,11307,78.480198,1428.994174184608,3142.5955329560225,986.9165230273017,8
BS9336,11308,78.681014,1511.8373097919325,3056.8452831356885,649.2815073662757,8
BS9336,11309,78.703922,1425.1332456363853,3013.0528957874603,491.5468741322008,8
BS9336,11310,78.787967,1346.6654145393277,3010.154984445784,691.8445456870456,8
BS9336,11311,78.885308,1161.1295951589796,3053.3689602137097,520.3549404003555,8
BS9336,11312,78.990372,1025.7641735548518,2895.444432830429,957.6091040344835,8
BS9336,11313,79.114727,1099.8381592616981,2794.134665667923,1280.9127404390838,8
BS9336,11314,79.200137,1398.5592351085045,2745.2874390578922,1775.867640138542,8
BS9336,11315,79.297786,1295.4436972900558,2751.109340404726,1451.106780965435,8
BS9336,11316,79.402746,1341.174424952466,2680.6723435895105,1346.8506073765354,8
BS9336,11317,79.477827,1484.5358427240367,2741.570973566071,1000.7906327158724,8
BS9336,11318,79.63361,1292.7877357046434,2939.8013755452093,806.4997264799388,8
BS9336,11319,79.687712,1138.3131478459227,3191.7471824461213,1043.358255540013,7
BS9336,11320,79.815,1038.9189803722677,3246.5316896130003,798.2422966147269,8
BS9336,11321,79.890238,980.3536613980635,3307.397419549182,1179.847194931952,8
BS9336,11322,79.995139,920.6816605354912,3308.4455595127965,1088.868272536266,8
BS9336,11323,80.142115,884.1886312515189,3324.703982631543,1064.4320769237888,8
BS9336,11324,80.197782,868.4163208837206,3349.1471004990067,1174.2224537022096,8
BS9336,11325,80.280154,836.7136622578228,3336.354097306468,1030.2211476573248,8
BS9336,11326,80.377581,1195.196749552386,3249.271855716004,1034.0433339996946,8
BS9336,11327,80.482672,1503.7289642673738,3069.8429226998683,1014.592627841653,8
BS9336,11328,80.587587,1763.6731233615994,2893.4924350431884,1388.948262508433,8
BS9336,11329,80.736161,1941.6934572095922,2980.7412613363117,1774.0140335206274,8
BS9336,11330,80.790126,1875.6969208362302,3103.964196616264,1789.5064383776198,8
BS9336,11331,80.895172,1703.0245011134282,3185.3323808486766,1922.0863014112442,8
BS9336,11332,81.000171,1377.1782453529122,3202.9852047297927,1844.8947256600027,8
BS9336,11333,81.124587,1235.6627526383872,2982.9287880531706,1735.34783931836,8
BS9336,11334,81.202658,1110.4561227449913,2924.0029938393072,1412.1775731814778,8
BS9336,11335,81.277739,1085.6353760741733,2770.039452265639,1089.4983340628546,8
BS9336,11336,81.382757,1293.1931474471796,2893.595155852137,791.0202018830383,8
BS9336,11337,81.487621,1438.1801006438268,2804.7618505036958,704.0767611403726,8
BS9336,11338,81.585243,1376.1071864081662,2852.0989100479405,594.7298136269303,8
BS9336,11339,81.741121,1475.3363674801362,2915.53204951093,930.1615190123031,8
BS9336,11340,81.794894,1781.5024161345477,2718.994771072627,698.6921871560013,8
BS9336,11341,81.922653,1894.139827378259,2675.3148860455044,772.9551657305049,8
BS9336,11342,81.997723,2079.348928191205,2645.033122262528,1271.8099456501627,8
BS9336,11343,82.121571,2301.6612338298783,2698.8410890546616,1531.3141771602686,8
BS9336,11344,82.177579,2441.9204770351425,2962.5948621092775,1313.5478764371717,8
BS9336,11345,82.282647,2304.938579532563,3101.252525501646,1311.0790165727162,8
BS9336,11346,82.387576,2334.866193261616,3097.3208535820995,1493.3575583081179,8
BS9336,11347,82.485174,1953.782327744406,3114.54726581203,833.5106063239152,8
BS9336,11348,82.590307,1684.222415324616,2828.356854038413,555.2873912710905,8
BS9336,11349,82.746053,1651.894089373817,2800.644573401165,747.789415234351,8
BS9336,11350,82.800119,1751.7211538433771,2785.471870970775,723.323928015312,8
BS9336,11351,82.897757,1448.5472125381616,2584.6489438837793,1335.044428398776,8
BS9336,11352,83.002554,1311.2447468835344,2555.748501928175,1318.4066124019075,8
BS9336,11353,83.127141,1269.348768243985,2571.1576619001494,1312.6828384231994,8
BS9336,11354,83.205123,1414.1812519249104,2695.2071735211366,852.9380788085286,8
BS9336,11355,83.29628,1585.9955977270286,2608.9290626266784,1159.0342114718844,8
BS9336,11356,83.385164,1678.014368483204,2644.31466340795,1124.9365051987681,8
BS9336,11357,83.490219,2006.3822475037275,2706.56525450099,1358.4549135014754,8
BS9336,11358,83.59512,1948.4314365463179,2898.072386804631,1673.7827521489003,8
BS9336,11359,83.74362,2091.0717853038745,2821.07060508302,1683.5842721567624,8
BS9336,11360,83.797582,1926.6129578417201,2713.5197172243193,1792.832986706584,8
BS9336,11361,83.880158,1718.4333996774576,2538.983837480268,1956.371376668037,8
BS9336,11362,83.977805,1572.5911107501981,2272.337876913464,1772.0680917981022,8
BS9336,11363,84.132013,1437.8896911120162,2136.0410912944203,1587.9615671976148,8
BS9336,11364,84.188642,1414.8177553778978,2015.589459957165,1307.25320053226,7
BS9336,11365,84.285066,1410.241749528382,1970.5043151969674,1312.7252122226662,8
BS9336,11366,84.390173,1648.3943154048116,1920.8501990410923,1392.5569979282673,8
BS9336,11367,84.495042,1823.0775231933612,2016.5610063617487,708.78984833194,8
BS9336,11368,84.599925,2166.6504023228713,2279.425184120485,741.1484863287768,8
BS9336,11369,84.748519,1918.0150147827874,2466.1867631494138,848.8959432091302,8
BS9336,11370,84.802499,1631.129074958024,2648.945012812206,431.97918920090115,8
BS9336,11371,84.877467,1634.9999413369655,2541.8147454232835,943.9500288481521,8
BS9336,11372,84.982562,2188.987852489274,2367.350483006126,400.05305515648666,8
BS9336,11373,85.159522,1746.7958544420117,2395.398072529094,1231.2928869039433,8
BS9336,11374,85.185141,1699.5727862901822,2886.8073777389095,1757.6462619087456,8
BS9336,11375,85.290163,2049.475815623835,3024.20902343855,1744.5683964451232,8
BS9336,11376,85.402161,1808.027399545609,3283.203495902281,1451.7996576734772,8
BS9336,11377,85.522437,1402.4716084513989,3473.1176723732797,1345.4050330882253,8
BS9336,11378,85.597528,1299.1374520947104,3596.5781531460325,1255.8689874009942,8
BS9336,11379,85.753391,931.7263312280711,3587.869472808469,1090.2992069153413,8
BS9336,11380,85.80744,580.0411367751723,3558.282659362973,1218.85005623201,7
BS9336,11381,85.905025,538.5783380405111,3471.3801710591874,1298.4841020415722,8
BS9336,11382,86.040074,548.6972168909996,3421.692323678811,1399.6133349536349,8
BS9336,11383,86.134466,465.73156509772224,3478.8488761445237,1375.8493879631442,8
BS9336,11384,86.189855,690.296752859635,3605.860974591206,1592.5270446206896,8
BS9336,11385,86.295032,836.7789021603256,3770.668711953548,1539.8136038653452,8
BS9336,11386,86.400023,825.810387837477,3908.5689382922083,1137.1227157008616,8
BS9336,11387,86.497565,808.6316170743862,3820.5271640942983,661.1785403530072,8
BS9336,11388,86.602398,529.351065527437,3566.773810403865,789.3227810579285,8
BS9336,11389,86.757384,931.0376735731836,3420.3587270582925,451.0694980716534,8
BS9336,11390,86.804866,1335.669443725969,3417.1764179490874,533.2861849077174,8
BS9336,11391,86.887406,1514.2516273926276,3330.221720884426,1032.6279890866685,7
BS9336,11392,86.98483,1566.0244240584434,3212.1789125122355,1128.9160654974544,8
BS9336,11393,87.161948,1640.9927413706398,3250.787253477286,1089.627851854265,8
BS9336,11394,87.194979,1727.661051960114,3384.859439281398,1224.1508020708457,8
BS9336,11395,87.345008,1709.4907326415953,3445.976004067701,1395.2298942836148,8
BS9336,11396,87.397457,1774.7512355077909,3524.007568443968,1264.0754379375562,8
BS9336,11397,87.480951,1641.9916648656595,3648.2300989581104,898.3137105454823,8
BS9336,11398,87.577706,1647.6818049403755,3785.5085523027137,1204.8339064833347,8
BS9336,11399,87.733432,1324.1162293300606,3734.3522019919765,1436.2896149371522,8
BS9336,11400,87.789629,1294.505960997766,3785.4379235826946,1528.8524409386996,7
BS9336,11401,87.884961,1165.6147342154304,3699.761870478222,1408.5043162597844,8
BS9336,11402,87.989867,890.2540199352122,3770.1693376786448,1445.0787300999104,8
BS9336,11403,88.114298,873.8962083834272,3857.709786834651,1454.7736038716266,8
BS9336,11404,88.199959,871.963494650432,3798.8365735148586,1483.277736027008,8
BS9336,11405,88.274898,848.7703991043032,3787.447587235798,1558.6611811889443,8
BS9336,11406,88.402409,962.9408063408778,3858.5930604101836,1371.9716511391753,8
BS9336,11407,88.477683,1109.575467268293,3669.649696181326,1148.8395670616242,8
BS9336,11408,88.582246,1406.4620472677893,3588.4285020963803,1105.6525318274857,8
BS9336,11409,88.760876,1578.1863951502316,3474.43178105528,1289.579057314967,8
BS9336,11410,88.814836,1480.5470402426427,3444.5165786136677,1267.1819714455644,8
BS9336,11411,88.890017,1520.3533323886693,3410.321192372307,1169.7730332938895,8
BS9336,11412,88.996229,1465.3781813664555,3525.286989874206,1049.7288055905765,8
BS9336,11413,89.141906,1330.2782505162677,3594.928432038337,1010.8796364975078,8
BS9336,11414,89.197512,1229.4982747717497,3700.755670976183,1036.5571550447344,8
BS9336,11415,89.279795,1103.3482429656303,3616.0092854511518,1210.514761520321,8
BS9336,11416,89.377489,1135.2043641398127,3727.093243525309,1548.318591814765,7
BS9336,11417,89.482412,1285.7269741395833,3799.7413483170517,1549.6405033298115,8
BS9336,11418,89.587389,1458.466807016028,3766.2407382681745,1418.6936314281606,8
BS9336,11419,89.735789,1547.5334517400008,3781.479681743847,1429.3665123551068,8
BS9336,11420,89.789737,1648.656071768184,3777.7078661010632,1234.8623215322748,8
BS9336,11421,89.894802,1402.148408036792,3785.6235445537422,1486.4264043654393,8
BS9336,11422,89.999812,1311.1187005130316,3718.1566034709526,1515.5494084245615,8
BS9336,11423,90.125187,1436.5041419677812,3488.9697945436396,2176.7757504423603,8
BS9336,11424,90.202366,1259.2294309871963,3557.8668908055092,1779.5317324364078,8
BS9336,11425,90.277466,1483.2801401185345,3373.790379592193,1792.5096116534978,8
BS9336,11426,90.382342,1473.864391310836,3360.926178776596,2008.615988304572,8
BS9336,11427,90.487364,1566.3892018683919,3324.880019625304,1192.2424646317195,8
BS9336,11428,90.592309,1387.6314555564074,3416.3917969131653,958.9518753090916,8
BS9336,11429,90.747501,1461.8016365892147,3350.6440399307685,677.075519713791,8
BS9336,11430,90.794605,992.7881170681794,3144.5789071068043,671.3912921118858,8
BS9336,11431,90.922296,830.0097890125405,3118.0187819891207,1199.9198692115103,8
BS9336,11432,90.997381,709.6434629850603,3076.0509135601387,1200.1149098314177,8
BS9336,11433,91.122589,753.177691312833,3082.212932803671,1319.577804429989,8
BS9336,11434,91.177472,741.3927586707127,3148.9928131204097,1307.3259126890557,8
BS9336,11435,91.282263,947.4379162803895,3063.783560034375,1274.5787263352672,8
BS9336,11436,91.387383,1146.3484245676432,3095.4810055334106,1272.8729234615835,8
BS9336,11437,91.484946,1629.7779922910606,3130.963689842777,1533.3158855203428,8
BS9336,11438,91.589918,1819.485402276475,2934.804767503062,1282.6745153007546,7
BS9336,11439,91.745725,2038.364078932893,2664.3541374857823,1224.4502970660822,8
BS9336,11440,91.800156,2019.1038635716934,2302.365921407882,1029.9027788202266,8
BS9336,11441,91.897375,1764.861408864915,2118.285740739796,1017.8828757171408,8
BS9336,11442,92.002289,1607.9247677339592,2015.6411156250283,832.4093994990347,8
BS9336,11443,92.126926,1224.1494230910405,1980.8718544733522,811.4846918871019,8
BS9336,11444,92.182439,1027.2566827968458,2090.832652052939,1018.5179209427475,8
BS9336,11445,92.287453,897.9706579497291,2189.933478037126,1251.1718657365502,8
BS9336,11446,92.384933,703.2593110218194,2093.8049969676745,1630.993045532924,8
BS9336,11447,92.490139,662.8942163717205,1958.1035724804456,1696.8327635798687,8
BS9336,11448,92.594975,766.808877754526,1633.7590092028142,1850.073261531495,8
BS9336,11449,92.744057,1122.7994052723582,1491.7866112253794,1552.1781770258735,8
BS9336,11450,92.797257,1304.4513131362116,1614.5088055938752,1110.6129720621734,8
BS9336,11451,92.87993,1172.745476384201,1727.3863288969997,612.3696074121443,8
BS9336,11452,92.977481,921.8149707444684,2130.708591974598,1499.1216098468703,8
BS9336,11453,93.131711,1516.3771788124516,2239.840860654523,380.8068891817439,7
BS9336,11454,93.187399,1362.6924876963965,2615.8327732593852,1394.367909343759,8
BS9336,11455,93.284981,1424.9516750325554,2650.423890214322,1338.8242799528525,8
BS9336,11456,93.389948,1564.5990460153155,2650.9521032723396,1563.2427111659626,8
BS9336,11457,93.494879,1751.7670774302715,2615.476038684282,1698.86609542198,8
BS9336,11458,93.599907,1759.5893782376734,2496.6828679887813,1556.5020206572758,8
BS9336,11459,93.773653,1758.372439617796,2212.44937823043,1676.386983611952,8
BS9336,11460,93.80239,1941.3965386704897,1940.8726828060053,1596.5686447958064,8
BS9336,11461,93.878015,1963.3624607394672,1666.1246350652823,1305.027999488429,7
BS9336,11462,93.982391,1788.2972866639996,1523.4761407362716,742.3838895258249,8
BS9336,11463,94.159366,1932.5075820034006,1482.0577521000655,251.00834270561833,8
BS9336,11464,94.1849,1472.7618545892392,1421.8202382943368,429.6697828451119,8
BS9336,11465,94.319973,1096.8976124872568,1253.349143466589,408.81612985112696,8
BS9336,11466,94.417477,926.2136027671578,1369.3135381063955,1010.1904842397752,8
BS9336,11467,94.522505,840.8399159964766,1324.0894827687168,1049.0677206645507,8
BS9336,11468,94.597492,661.2675898176909,1292.6395979785157,1163.7471998471015,8
