version,solver,solver_family,eval_set,ID,center_distance_mm,radial_signed_error_mm,tangential_error_mm,radially_outward
v2,T2+F1,external_position_filter,all8,ID11,770.8923252279794,45.011694315014516,48.84934003830756,True
v2,T2+F1,external_position_filter,all8,ID12,972.8722083943702,111.05305634365047,84.63781180013603,True
v2,T2+F1,external_position_filter,all8,ID13,164.33330797041327,-71.68620049099314,18.584329886341166,False
v2,T2+F1,external_position_filter,all8,ID14,160.68776077464324,-64.94580358726535,30.201624265533802,False
v2,T2+F1,external_position_filter,all8,ID15,161.88022524167178,-85.04581485115564,21.22595998455025,False
v2,T2+F1,external_position_filter,all8,ID16,147.9126953292345,-5.8201625088818325,14.816816953512784,False
v2,T2+F1,external_position_filter,all8,ID17,780.0403542483501,60.86272340414683,23.621801543648843,True
v2,T2+F1,external_position_filter,all8,ID18,785.9969931308584,17.403567800548846,41.443094522392904,True
v2,T2+F1,external_position_filter,all8,ID19,779.8893538325998,153.68554305167888,53.05820259704593,True
v2,T2+F1,external_position_filter,all8,ID20,780.296291419316,142.9066317167078,12.06599360786513,True
v2,T2+F1,external_position_filter,all8,ID21,622.457440757399,36.10014817097641,33.77495859817401,True
v2,T2+F1,external_position_filter,all8,ID22,625.807129330668,-10.557224221666248,21.27967186082862,False
v2,T2+F1,external_position_filter,all8,ID23,625.4677339212478,102.42867195632233,67.2540221642205,True
v2,T2+F1,external_position_filter,all8,ID24,623.9880940820714,63.1642362205884,29.739412491621984,True
v2,T2+F2,external_position_filter,all8,ID01,904.8581057484208,90.57938849057189,118.17876326458517,True
v2,T2+F2,external_position_filter,all8,ID02,414.80151183802343,-38.3477820518065,53.13667734537338,False
v2,T2+F2,external_position_filter,all8,ID03,762.7501078007356,326.3410671212199,175.29140256561354,True
v2,T2+F2,external_position_filter,all8,ID04,1065.811558067375,182.96481235121456,176.55701898650392,True
v2,T2+F2,external_position_filter,all8,ID05,692.4979819346567,40.85001479911659,26.161633331177345,True
v2,T2+F2,external_position_filter,all8,ID06,983.0246745750289,110.63102510373983,87.80589201321361,True
v2,T2+F2,external_position_filter,all8,ID07,954.6549679640887,151.34021912089483,121.49865467485166,True
v2,T2+F2,external_position_filter,all8,ID08,580.6086421076762,54.850982355368515,45.79826678951921,True
v2,T2+F2,external_position_filter,all8,ID09,825.5734294328124,4.0987028114704955,62.47498557993743,True
v2,T2+F2,external_position_filter,all8,ID10,1063.4564290726642,104.88204443041067,35.65780504342152,True
v2,T2+F2,external_position_filter,all8,ID11,770.8923252279794,45.011694315014516,48.84934003830756,True
v2,T2+F2,external_position_filter,all8,ID12,972.8722083943702,111.05305634365047,84.63781180013603,True
v2,T2+F2,external_position_filter,all8,ID13,164.33330797041327,-71.68620049099314,18.584329886341166,False
v2,T2+F2,external_position_filter,all8,ID14,160.68776077464324,-64.94580358726535,30.201624265533802,False
v2,T2+F2,external_position_filter,all8,ID15,161.88022524167178,-85.04581485115564,21.22595998455025,False
v2,T2+F2,external_position_filter,all8,ID16,147.9126953292345,-5.8201625088818325,14.816816953512784,False
v2,T2+F2,external_position_filter,all8,ID17,780.0403542483501,60.86272340414683,23.621801543648843,True
v2,T2+F2,external_position_filter,all8,ID18,785.9969931308584,17.403567800548846,41.443094522392904,True
v2,T2+F2,external_position_filter,all8,ID19,779.8893538325998,153.68554305167888,53.05820259704593,True
v2,T2+F2,external_position_filter,all8,ID20,780.296291419316,142.9066317167078,12.06599360786513,True
v2,T2+F2,external_position_filter,all8,ID21,622.457440757399,36.10014817097641,33.77495859817401,True
v2,T2+F2,external_position_filter,all8,ID22,625.807129330668,-10.557224221666248,21.27967186082862,False
v2,T2+F2,external_position_filter,all8,ID23,625.4677339212478,102.42867195632233,67.2540221642205,True
v2,T2+F2,external_position_filter,all8,ID24,623.9880940820714,63.1642362205884,29.739412491621984,True
v2,T2+F3,external_position_filter,all8,ID01,904.8581057484208,90.89728464335853,118.20303445499236,True
v2,T2+F3,external_position_filter,all8,ID02,414.80151183802343,-40.557433036496185,53.99310763239148,False
v2,T2+F3,external_position_filter,all8,ID03,762.7501078007356,326.44784057003045,175.26420313725262,True
v2,T2+F3,external_position_filter,all8,ID04,1065.811558067375,182.55613460049128,176.93145595391303,True
v2,T2+F3,external_position_filter,all8,ID05,692.4979819346567,40.57031427000109,25.639329616009075,True
v2,T2+F3,external_position_filter,all8,ID06,983.0246745750289,110.86800833524462,87.31412337186084,True
v2,T2+F3,external_position_filter,all8,ID07,954.6549679640887,150.67766745281045,121.32451594443803,True
v2,T2+F3,external_position_filter,all8,ID08,580.6086421076762,53.842942690728066,46.5236380145716,True
v2,T2+F3,external_position_filter,all8,ID09,825.5734294328124,3.901602852950912,63.33711611495193,True
v2,T2+F3,external_position_filter,all8,ID10,1063.4564290726642,105.32516068678406,35.56702519650475,True
v2,T2+F3,external_position_filter,all8,ID11,770.8923252279794,45.18620272795051,49.51107539662163,True
v2,T2+F3,external_position_filter,all8,ID12,972.8722083943702,112.26395848726492,84.99402899723066,True
v2,T2+F3,external_position_filter,all8,ID13,164.33330797041327,-73.97361374367838,18.426460395617383,False
v2,T2+F3,external_position_filter,all8,ID14,160.68776077464324,-64.74629889342215,30.315278270051415,False
v2,T2+F3,external_position_filter,all8,ID15,161.88022524167178,-86.31220420644287,21.636609335433292,False
v2,T2+F3,external_position_filter,all8,ID16,147.9126953292345,-6.1931815476746115,14.553414661044817,False
v2,T2+F3,external_position_filter,all8,ID17,780.0403542483501,59.226510083530265,22.980142018537098,True
v2,T2+F3,external_position_filter,all8,ID18,785.9969931308584,17.08393801822639,41.24150933160995,True
v2,T2+F3,external_position_filter,all8,ID19,779.8893538325998,156.00440783488216,52.93556323196577,True
v2,T2+F3,external_position_filter,all8,ID20,780.296291419316,140.42594272584873,12.987989438194923,True
v2,T2+F3,external_position_filter,all8,ID21,622.457440757399,35.472468805310974,34.88755049288286,True
v2,T2+F3,external_position_filter,all8,ID22,625.807129330668,-11.193649681965995,20.900843249204957,False
v2,T2+F3,external_position_filter,all8,ID23,625.4677339212478,100.92080582125469,66.53105148143548,True
v2,T2+F3,external_position_filter,all8,ID24,623.9880940820714,62.44057356512494,30.0442481215875,True
v2,T2+F4,external_position_filter,all8,ID01,904.8581057484208,90.28640705080754,117.635062990191,True
v2,T2+F4,external_position_filter,all8,ID02,414.80151183802343,-37.995640182145145,53.602890992903994,False
v2,T2+F4,external_position_filter,all8,ID03,762.7501078007356,325.8151381223082,175.85451191249444,True
v2,T2+F4,external_position_filter,all8,ID04,1065.811558067375,182.81747225601183,176.49089930547694,True
v2,T2+F4,external_position_filter,all8,ID05,692.4979819346567,40.61564992821513,25.842025042746727,True
v2,T2+F4,external_position_filter,all8,ID06,983.0246745750289,111.08952941961093,88.23943344516344,True
v2,T2+F4,external_position_filter,all8,ID07,954.6549679640887,146.32995916000715,119.88464797401768,True
v2,T2+F4,external_position_filter,all8,ID08,580.6086421076762,54.45893332995578,46.18265727431441,True
v2,T2+F4,external_position_filter,all8,ID09,825.5734294328124,4.585065021509094,62.453311173311796,True
v2,T2+F4,external_position_filter,all8,ID10,1063.4564290726642,104.12650891337853,36.07203106355605,True
v2,T2+F4,external_position_filter,all8,ID11,770.8923252279794,45.00584521982266,48.95330171483976,True
v2,T2+F4,external_position_filter,all8,ID12,972.8722083943702,110.45151064871845,84.12034169559993,True
v2,T2+F4,external_position_filter,all8,ID13,164.33330797041327,-71.7058062192332,17.614367442074382,False
v2,T2+F4,external_position_filter,all8,ID14,160.68776077464324,-65.15576636085042,30.32941394120765,False
v2,T2+F4,external_position_filter,all8,ID15,161.88022524167178,-84.87187087931856,20.84737262140447,False
v2,T2+F4,external_position_filter,all8,ID16,147.9126953292345,-7.171599902691682,14.503121286990694,False
v2,T2+F4,external_position_filter,all8,ID17,780.0403542483501,60.66343505827125,23.002511352824797,True
v2,T2+F4,external_position_filter,all8,ID18,785.9969931308584,16.82896994763764,41.2955702429181,True
v2,T2+F4,external_position_filter,all8,ID19,779.8893538325998,152.30475043678715,53.01920961975974,True
v2,T2+F4,external_position_filter,all8,ID20,780.296291419316,146.25964818985872,11.641768025923573,True
v2,T2+F4,external_position_filter,all8,ID21,622.457440757399,35.94505943113763,33.25320237430288,True
v2,T2+F4,external_position_filter,all8,ID22,625.807129330668,-10.66968475628624,21.018535657852528,False
v2,T2+F4,external_position_filter,all8,ID23,625.4677339212478,104.31339325113176,66.49829709699927,True
v2,T2+F4,external_position_filter,all8,ID24,623.9880940820714,64.27730559926974,30.71021859410833,True
v2,T2+F5,external_position_filter,all8,ID01,904.8581057484208,90.8670936303389,117.81414504759722,True
v2,T2+F5,external_position_filter,all8,ID02,414.80151183802343,-36.84139676840359,53.17428578255808,False
v2,T2+F5,external_position_filter,all8,ID03,762.7501078007356,324.49285054186237,175.50742086588798,True
v2,T2+F5,external_position_filter,all8,ID04,1065.811558067375,182.58078707451355,175.98658139577418,True
v2,T2+F5,external_position_filter,all8,ID05,692.4979819346567,39.99404237004872,26.00918870113615,True
v2,T2+F5,external_position_filter,all8,ID06,983.0246745750289,110.71274662951055,87.68360663058381,True
