peer_name,sweep,x_mm,y_mm,z_mm,used_anchors,median_abs_residual_mm,p80_abs_residual_mm,rms_residual_mm,median_quality_percent
BSCCF4,10736,1507.6317519114953,2315.0034811996125,1657.2667426689368,8,34.56776848969048,60.3240680645744,44.93533489951651,100.0
BSCCF4,10737,1518.8157743258414,2315.685232234674,1629.993856607774,8,38.0496259953336,41.12126291963077,51.26365423453745,100.0
BSCCF4,10738,1525.50952993101,2325.8224177237894,1630.2339980484585,8,29.446716694463476,53.252699226839376,38.814653141271705,100.0
BSCCF4,10739,1536.1182627440746,2323.85057548314,1665.3170081422468,8,50.77136242936626,58.49806927977525,49.46033454471695,100.0
BSCCF4,10740,1514.9114032308403,2320.4400990097315,1589.6010660051197,8,29.635112807412042,77.87509987925378,51.42726595497866,100.0
BSCCF4,10741,1509.8846530793387,2281.9398136677146,1645.1906882895637,8,29.57804207029085,53.37030670723461,44.24603875277096,100.0
BSCCF4,10742,1508.506660189456,2308.004302443669,1655.4065505108551,8,18.650902862008707,28.144622679538685,21.278364013172016,100.0
BSCCF4,10743,1549.8605289068432,2330.724412201898,1638.8278379331095,7,51.70840971328789,91.14631525432105,76.71489755911958,100.0
BSCCF4,10744,1532.9606865656733,2311.062344680482,1648.4596776905096,8,43.13886931962156,72.37845718827813,54.347523431556056,100.0
BSCCF4,10745,1528.73568280701,2324.477260136005,1621.3434176877158,8,19.18909267044296,49.3307429449218,44.85724513223083,100.0
BSCCF4,10746,1517.0326998502815,2311.08122885292,1672.8963539394686,8,34.700905217492846,61.45034293867166,43.93055588657128,100.0
BSCCF4,10747,1540.1836437620036,2317.5133244996046,1678.7437561367574,8,20.839407466845614,32.73631013797222,23.844076802797314,100.0
BSCCF4,10748,1544.0069398408955,2305.8637056324874,1607.6089745341656,8,37.45424686952401,41.750037464942395,46.912798324733544,100.0
BSCCF4,10749,1508.665097876261,2331.6038009105223,1673.2899113486524,7,45.4443834229869,73.1275294520253,55.151967570234625,100.0
BSCCF4,10750,1538.488736304765,2313.3660116971346,1609.1081678754508,8,51.695231288135346,60.51787475750507,49.508203075109925,100.0
BSCCF4,10751,1520.6096239871954,2320.527098428207,1635.6218204254083,8,20.96499299725656,48.030354383317814,35.419246134603405,100.0
BSCCF4,10752,1514.749496605852,2313.3966079844763,1689.6845215435292,7,32.21357974824559,42.65557866858845,36.719883347124785,100.0
BSCCF4,10753,1572.7314089907197,2308.45316501067,1642.614190682174,8,28.495900371450034,60.55412367501376,51.0854708858991,100.0
BSCCF4,10754,1540.3015435419034,2305.1404061622584,1632.2614694418285,8,27.64548175422192,49.34485926204489,35.52237163429209,100.0
BSCCF4,10755,1543.0426998068988,2300.3223087299225,1612.587140457068,7,32.76661257672822,41.382070399433815,44.333126083720046,100.0
BSCCF4,10756,1523.4782362571568,2336.54251777995,1648.322832447473,8,43.72296146637541,53.202898279730654,52.32850958163822,100.0
BSCCF4,10757,1557.480348550343,2321.8900905392875,1636.1897065685712,7,35.5900878524717,53.02953996241159,38.069408350823444,100.0
BSCCF4,10758,1565.253821815025,2313.74316310828,1550.6473333187769,8,38.37993287826794,119.9417709401427,126.52389938573994,100.0
BSCCF4,10759,1475.0519515772748,2317.2161976528823,1601.6566374761646,8,29.858413099945665,42.08416688377147,34.423912431579765,100.0
BSCCF4,10760,1580.2796046700487,2309.550791029842,1673.6755617148115,8,39.58849988819975,50.40273416442333,47.33628051715553,100.0
BSCCF4,10761,1532.2069328960044,2327.4125476447484,1679.2528556132725,8,32.496135333207576,61.63268980681734,45.26484763940095,100.0
BSCCF4,10762,1520.6808530177268,2305.2932283008545,1746.0891268708633,8,17.142206702204476,25.00979727522463,19.313668170381987,100.0
BSCCF4,10763,1533.856774577267,2294.8950271336926,1711.6712491024196,8,33.23533128478357,56.90037230473391,41.970059439387974,100.0
BSCCF4,10764,1521.9189182131777,2283.0818888479675,1763.2889655045265,8,28.739687150069813,49.21445796841135,43.14975044965116,100.0
BSCCF4,10765,1622.87156743927,2236.3402898871122,1799.6833854265442,7,31.896584049798548,61.24685595748298,41.41228946730762,100.0
BSCCF4,10766,1592.2949100069784,2153.8108432655613,1874.8866894318899,8,22.922073075716753,40.16319582273828,33.501778640700145,100.0
BSCCF4,10767,1462.4364256358258,1976.0996829221272,2063.7850461500952,8,29.387823993655502,60.074904737902955,50.554522449652644,100.0
BSCCF4,10768,1099.344196111763,1901.9848241904972,2128.705900928303,7,33.43236965845381,70.31893421196449,58.68070845277675,100.0
BSCCF4,10769,973.2612688808912,1876.6308820947297,2116.9571605956426,8,44.40759139862075,70.201303462132,73.51191816112697,100.0
BSCCF4,10770,824.3876719059471,1905.7768018732002,1999.4956716410402,8,38.28501529940036,86.0588597561453,75.49262312153357,100.0
BSCCF4,10771,799.6144336916642,1905.7792393684308,2034.4959438996866,8,45.151643906466006,100.83098386076426,101.16611111833646,100.0
BSCCF4,10772,757.6095144726299,1895.2394938669422,2119.0226296165843,8,79.33384630704313,186.4477507149276,144.5046769322855,100.0
BSCCF4,10773,837.8578059053232,1903.467895512355,2017.2606209952155,8,39.836037169666724,96.2658717162609,72.40484891923452,100.0
BSCCF4,10774,1128.3099260498457,1996.5470228647907,2144.4320625689734,7,64.28551324237105,95.94083448766098,71.13244751406555,100.0
BSCCF4,10775,1256.0710832915556,1980.1312223328916,2116.5812264948927,8,23.21309494709226,37.142720374291734,29.679353111071613,100.0
BSCCF4,10776,1498.8959421153286,1946.422991123518,2153.704365047554,8,34.93071709922697,70.38208518242065,155.52710845768962,100.0
