experiment_id,seed_id,wall_time_s,status,backend,device
X_A1_U4_P0_L19_I0_T2,S02,1.3825650889993994,ok,,
X_A1_U4_P0_L19_I0_T3,S02,1.3800539459989523,ok,,
X_A1_U4_P0_L19_I0_T4,S02,2.3539877380026155,ok,,
X_A1_U4_P0_L19_I0_T5,S02,2.255096657994727,ok,,
X_A1_U4_P0_L19_I1_T1,S02,0.073902210999222,ok,,
X_A1_U4_P0_L19_I1_T2,S02,2.349250161998498,ok,,
X_A1_U4_P0_L19_I1_T3,S02,2.266220624995185,ok,,
X_A1_U4_P0_L19_I1_T4,S02,2.3551599779966637,ok,,
X_A1_U4_P0_L19_I1_T5,S02,1.380209050999838,ok,,
X_A1_U4_P0_L19_I2_T1,S02,0.0713593039981788,ok,,
X_A1_U4_P0_L19_I2_T2,S02,2.25803864000045,ok,,
X_A1_U4_P0_L19_I2_T3,S02,1.3931098059983924,ok,,
X_A1_U4_P0_L19_I2_T4,S02,1.3697282900029677,ok,,
X_A1_U4_P0_L19_I2_T5,S02,2.35449571099889,ok,,
X_A1_U4_P0_L19_I3_T1,S02,0.07040659699850949,ok,,
X_A1_U4_P0_L19_I3_T2,S02,2.245896722000907,ok,,
X_A1_U4_P0_L19_I3_T3,S02,1.4805202649949933,ok,,
X_A1_U4_P0_L19_I3_T4,S02,2.2661949369939975,ok,,
X_A1_U4_P0_L19_I3_T5,S02,2.342108207005367,ok,,
X_A1_U4_P0_L19_I4_T1,S02,0.07344994499726454,ok,,
X_A1_U4_P0_L19_I4_T2,S02,2.251623443000426,ok,,
X_A1_U4_P0_L19_I4_T3,S02,2.3486339150040294,ok,,
X_A1_U4_P0_L19_I4_T4,S02,1.3775368970018462,ok,,
X_A1_U4_P0_L19_I4_T5,S02,1.392825343995355,ok,,
X_A1_U4_P0_L19_I5_T1,S02,0.044628473006014246,ok,,
X_A1_U4_P0_L19_I5_T2,S02,1.5062382550022448,ok,,
X_A1_U4_P0_L19_I5_T3,S02,2.3416754889985896,ok,,
X_A1_U4_P0_L19_I5_T4,S02,2.2519288929979666,ok,,
