L,A,R,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,b0_uwb_p95_mean,b0_delta_p95_mean,b0_improved_seed_fraction,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short
L16,A0,R3,I1,T8,range_fusion,5,661.1915810031611,981.8968470495095,15.68744117632532,684.4466458219767,916.5807354193284,539.6949610748549,231.8021379954777,-750.0947090540318,0.0,141.10206488966077,189.0906261795472,76.26033286962954,L16 ICM-45686,X_A0_R3_L16_I1_T8
L20,A0,R2,I1,T8,range_fusion,5,662.274995383891,981.9324172828608,13.595563510284755,690.2505852412255,927.9518063090549,537.8084232093013,231.8021379954777,-750.1302792873831,0.0,143.39733450729622,188.88004326117522,78.17805016040334,L20 Xsens MTi-3,X_A0_R2_L20_I1_T8
L2,A0,R2,I3,T6,range_fusion,5,646.8833141490029,984.5722670189152,22.087736121761072,679.2572158756147,909.8128401473214,537.4957920764407,231.8021379954777,-752.7701290234376,0.0,147.1757827727866,213.18519983937585,52.9557019527555,L2 MPU6050/JY61P-like,X_A0_R2_L2_I3_T6
L2,A0,R3,I7,T6,range_fusion,5,652.1599693995806,984.6176004523389,22.3380448394242,684.7916495694724,921.2443216907456,536.417984546727,231.8021379954777,-752.8154624568613,0.0,145.99524565934365,206.79205549546236,58.969453256335825,L2 MPU6050/JY61P-like,X_A0_R3_L2_I7_T6
L20,A0,R2,I2,T8,range_fusion,5,658.6366346405845,984.672350783412,20.696377671278693,688.1209000478838,920.3854627131075,531.3205090749841,231.8021379954777,-752.8702127879344,0.0,143.8556238147167,192.51606644403395,71.85285550252065,L20 Xsens MTi-3,X_A0_R2_L20_I2_T8
L16,A0,R4,I0,T7,range_fusion,5,658.8963415072405,985.3290833578125,28.023429237996524,688.5915082899,926.7757487002475,539.8984030607292,231.8021379954777,-753.5269453623348,0.0,141.8762926858335,194.70209627443523,71.52130365257953,L16 ICM-45686,X_A0_R4_L16_I0_T7
L2,A0,R2,I2,T7,range_fusion,5,632.960230814162,985.4458753018574,30.25144324808488,675.2969427439772,913.3460064877967,550.9278172454547,231.8021379954777,-753.6437373063799,0.0,141.2271319931946,219.7678899518528,72.16277042100178,L2 MPU6050/JY61P-like,X_A0_R2_L2_I2_T7
L16,A0,R2,I0,T9,range_fusion,5,660.7721615749821,988.7966334340675,27.46864811793219,690.9789762121225,931.494508272515,540.1111454727095,231.8021379954777,-756.9944954385899,0.0,141.21953003605003,189.87021383580722,72.92021842172541,L16 ICM-45686,X_A0_R2_L16_I0_T9
L2,A0,R3,I1,T6,range_fusion,5,659.6432619723649,994.3630246237105,9.028370563430025,701.5294936487138,946.153056190883,549.2757451057616,231.8021379954777,-762.560886628233,0.0,145.17430263922265,206.67850691581103,73.56170364799505,L2 MPU6050/JY61P-like,X_A0_R3_L2_I1_T6
L2,A0,R3,I6,T8,range_fusion,5,657.2904850225235,994.6433705264947,27.023531868639804,685.2221840926182,938.2479959933341,535.622694632381,231.8021379954777,-762.8412325310169,0.0,144.203336681883,198.38477233140554,74.20409207254798,L2 MPU6050/JY61P-like,X_A0_R3_L2_I6_T8
L2,A0,R4,I4,T8,range_fusion,5,645.0433625316234,995.4562416663481,23.316797882223963,685.4400284368282,912.9567429472442,538.8745855736101,231.8021379954777,-763.6541036708705,0.0,142.43920022754665,213.44880112705542,66.77090225978725,L2 MPU6050/JY61P-like,X_A0_R4_L2_I4_T8
L16,A0,R2,I7,T8,range_fusion,5,665.5996508737633,996.6537120395427,16.733142958777766,690.3364699643722,941.9001153189835,542.260690022674,231.8021379954777,-764.851574044065,0.0,142.44158766016352,187.94329431035735,72.88918300183586,L16 ICM-45686,X_A0_R2_L16_I7_T8
L16,A0,R2,I2,T8,range_fusion,5,665.5617154624385,1000.1474774613947,12.474731263994636,690.0253148013373,928.5338953912978,535.8861448134361,231.8021379954777,-768.345339465917,0.0,142.3417784257453,189.0045236107152,83.72364506317483,L16 ICM-45686,X_A0_R2_L16_I2_T8
L2,A0,R3,I2,T6,range_fusion,5,652.2030549217376,1000.2992920198442,25.961670086102867,688.1012152374931,939.3274847381235,553.1088392150626,231.8021379954777,-768.4971540243664,0.0,137.98558982739422,218.05411078723665,79.89613522219437,L2 MPU6050/JY61P-like,X_A0_R3_L2_I2_T6
L2,A0,R2,I7,T6,range_fusion,5,661.346415221605,1000.5474972137168,20.403087927045053,691.8784073831062,935.8184229308214,540.9721992219296,231.8021379954777,-768.7453592182392,0.0,142.80690498161397,206.02914434382984,67.57333804932462,L2 MPU6050/JY61P-like,X_A0_R2_L2_I7_T6
L2,A0,R2,I1,T6,range_fusion,5,668.4049522499738,1001.3166782496828,10.165925042553827,707.4349933430342,956.6433634692982,551.8396579685444,231.8021379954777,-769.5145402542051,0.0,141.96394805539597,208.23261623123554,78.59496860173452,L2 MPU6050/JY61P-like,X_A0_R2_L2_I1_T6
L2,A0,R4,I3,T8,range_fusion,5,658.7345743708478,1002.6943304042422,26.395959597960754,690.4323593900183,925.9126179038049,541.8868359788939,231.8021379954777,-770.8921924087647,0.0,146.68029353305093,204.93001751071506,64.45994941143599,L2 MPU6050/JY61P-like,X_A0_R4_L2_I3_T8
L20,A0,R4,I0,T6,range_fusion,5,669.7974760842204,1004.9169380184683,16.474994680235156,702.0075231039804,946.7778553306016,542.8502836939875,231.8021379954777,-773.1148000229907,0.0,138.09778253052735,199.63588349724907,86.13396941919798,L20 Xsens MTi-3,X_A0_R4_L20_I0_T6
L2,A0,R3,I8,T8,range_fusion,5,667.4277726293084,1005.1530695663392,25.338854289801745,688.5019124536195,945.252073868331,539.0815384249223,231.8021379954777,-773.3509315708616,0.0,139.11399778178873,197.63800319518344,78.52866519483435,L2 MPU6050/JY61P-like,X_A0_R3_L2_I8_T8
L16,A0,R2,I1,T8,range_fusion,5,668.2920712394092,1005.2424236883486,13.189671566412652,690.5729850887084,935.2775229367347,542.6104173885317,231.8021379954777,-773.4402856928709,0.0,136.42122210250446,190.8878894433521,84.95136497535077,L16 ICM-45686,X_A0_R2_L16_I1_T8
L2,A0,R2,I2,T6,range_fusion,5,663.4645377362582,1007.0729174884651,23.748609465191105,695.9314024277762,952.0280773598328,556.0510610235235,231.8021379954777,-775.2707794929876,0.0,131.92566718550978,218.52061191672232,80.79477789030355,L2 MPU6050/JY61P-like,X_A0_R2_L2_I2_T6
L2,A0,R2,I6,T8,range_fusion,5,665.3590202552335,1012.2561344396388,27.377169055731,692.2488205755733,954.3109278605992,539.5948792397506,231.8021379954777,-780.4539964441612,0.0,140.87108659317528,197.7608997069261,81.9510664448167,L2 MPU6050/JY61P-like,X_A0_R2_L2_I6_T8
L2,A0,R4,I1,T8,range_fusion,5,678.5522150565594,1018.7058041172766,11.203058933147682,713.4881518197719,971.8357440298417,554.8454202405185,231.8021379954777,-786.9036661217989,0.0,136.6805414600878,215.2606504214773,86.13126878776123,L2 MPU6050/JY61P-like,X_A0_R4_L2_I1_T8
L2,A0,R2,I8,T8,range_fusion,5,672.72108978249,1020.2953526109422,23.761374555701387,694.5094304857415,958.9011174771019,541.7560191424378,231.8021379954777,-788.4932146154645,0.0,136.31594870758818,202.02668391761614,83.4669234693711,L2 MPU6050/JY61P-like,X_A0_R2_L2_I8_T8
L2,A0,R4,I0,T10,range_fusion,5,661.504092739636,1021.6322238727229,34.31836299788995,707.9579402137181,936.1780195635313,553.1054215140026,231.8021379954777,-789.8300858772452,0.0,131.39519822196752,231.09650000297535,86.89451565619228,L2 MPU6050/JY61P-like,X_A0_R4_L2_I0_T10
L2,A0,R4,I7,T8,range_fusion,5,674.0266072162545,1021.8362455578477,22.020314209677984,701.3809990690354,959.4930530617381,544.7753014710618,231.8021379954777,-790.0341075623701,0.0,138.56280725004342,203.5183536999268,77.21348442313044,L2 MPU6050/JY61P-like,X_A0_R4_L2_I7_T8
L2,A0,R4,I2,T8,range_fusion,5,674.0856319570988,1024.200689012925,16.327901812122807,705.3540157768042,966.8001815510868,558.5353973362173,231.8021379954777,-792.3985510174473,0.0,131.6477085722409,218.7894066755226,84.83523955175085,L2 MPU6050/JY61P-like,X_A0_R4_L2_I2_T8
L20,A0,R3,I0,T7,range_fusion,5,683.7157340510962,1040.4245825820103,22.371551824791513,711.2048948050704,976.943283507874,548.401781551706,231.8021379954777,-808.6224445865325,0.0,135.7675838920864,198.07014899359618,94.42897684293419,L20 Xsens MTi-3,X_A0_R3_L20_I0_T7
L16,A0,R4,I0,T6,range_fusion,5,679.7248792837241,1044.2016213499828,29.96530843243867,712.6492228849767,987.2524904255897,549.6701122607572,231.8021379954777,-812.3994833545052,0.0,128.80768015437297,196.98899560571698,92.36303332397901,L16 ICM-45686,X_A0_R4_L16_I0_T6
L2,A0,R3,I0,T10,range_fusion,5,690.0905996074194,1063.2622269815624,20.600881520991976,737.7622600131415,962.4705614453635,550.9870549225182,231.8021379954777,-831.4600889860849,0.0,127.39223881986268,221.12007981387168,102.80519293478297,L2 MPU6050/JY61P-like,X_A0_R3_L2_I0_T10
L20,A0,R2,I0,T7,range_fusion,5,687.2458027116602,1064.359671002218,23.3375509491846,717.430354692942,992.8200954480853,552.4102064975301,231.8021379954777,-832.5575330067402,0.0,133.31586784702864,202.63809533732905,83.54572456497337,L20 Xsens MTi-3,X_A0_R2_L20_I0_T7
L2,A0,R3,I3,T8,range_fusion,5,691.363079111673,1074.3289013279295,38.67548624901699,718.5751266643902,997.1954367157647,553.6990680383278,231.8021379954777,-842.526763332452,0.0,134.5617359428809,208.54989212091132,88.00841787888146,L2 MPU6050/JY61P-like,X_A0_R3_L2_I3_T8
L2,A0,R2,I0,T10,range_fusion,5,691.9707089240097,1074.7494765563085,19.96290292537802,739.3118486629817,973.6504954128235,552.5624073389334,231.8021379954777,-842.947338560831,0.0,125.09393182890285,222.54437761767173,103.62487124773489,L2 MPU6050/JY61P-like,X_A0_R2_L2_I0_T10
L2,A0,R3,I4,T8,range_fusion,5,686.4427558366838,1075.4097070319197,13.091804156083393,720.9777258872218,997.8814034509093,555.1892265907766,231.8021379954777,-843.607569036442,0.0,134.16658396284865,209.1444536243208,95.48490018646676,L2 MPU6050/JY61P-like,X_A0_R3_L2_I4_T8
L16,A0,R3,I0,T7,range_fusion,5,692.66344771189,1078.9760448335612,24.28655103600912,722.9973785535461,1014.8028770412031,552.1681779730046,231.8021379954777,-847.1739068380836,0.0,128.9309450488212,196.264855262499,97.56575781085611,L16 ICM-45686,X_A0_R3_L16_I0_T7
L2,A0,R4,I0,T9,range_fusion,5,697.7041866874386,1087.492182425624,23.283148811527376,745.7745235827423,989.7851681446791,559.1922657179138,231.8021379954777,-855.6900444301464,0.0,119.31529831070615,231.41907132669675,99.52155727473892,L2 MPU6050/JY61P-like,X_A0_R4_L2_I0_T9
L2,A0,R2,I4,T8,range_fusion,5,693.2702693457144,1090.9964019291733,18.89446965148841,727.3983745412695,1019.578118551477,556.5315209334618,231.8021379954777,-859.1942639336955,0.0,133.58239927553728,209.9361231018119,92.32343363797801,L2 MPU6050/JY61P-like,X_A0_R2_L2_I4_T8
L2,A0,R2,I3,T8,range_fusion,5,696.9628255035344,1091.480176181986,35.321058123960626,725.3018425085052,1010.0352841184198,556.0529319008892,231.8021379954777,-859.6780381865085,0.0,133.19925411114045,212.10277132936835,82.33346354628276,L2 MPU6050/JY61P-like,X_A0_R2_L2_I3_T8
L16,A0,R2,I0,T7,range_fusion,5,698.7115215273163,1098.439283417752,21.760329215087427,730.0203834400367,1019.0922927344291,553.9255387140252,231.8021379954777,-866.6371454222744,0.0,126.94370202441253,207.53794848135394,85.25244943078812,L16 ICM-45686,X_A0_R2_L16_I0_T7
L20,A0,R3,I0,T6,range_fusion,5,701.1069354444334,1102.6925575850516,18.61494276642251,730.0417701281618,1018.347511146616,558.8934556615692,231.8021379954777,-870.8904195895741,0.0,128.17772337809566,217.89196900338774,77.98799466572413,L20 Xsens MTi-3,X_A0_R3_L20_I0_T6
L2,A0,R3,I1,T8,range_fusion,5,711.3060454793665,1107.235386798016,20.37252777673543,741.7009360897548,1022.988291404303,566.0063329066676,231.8021379954777,-875.4332488025384,0.0,128.978878370169,225.24182034796735,77.25925049339948,L2 MPU6050/JY61P-like,X_A0_R3_L2_I1_T8
L2,A0,R3,I2,T8,range_fusion,5,705.4136838325106,1114.2270197721468,25.332534852480393,736.5360312715834,1019.1570308360458,565.7211311137787,231.8021379954777,-882.424881776669,0.0,127.07557766486327,225.8074613517806,71.74214884423232,L2 MPU6050/JY61P-like,X_A0_R3_L2_I2_T8
L2,A0,R3,I7,T8,range_fusion,5,703.0495200385167,1115.8931718775777,20.324672709404883,731.9653375262435,1020.100655479612,557.2519223454141,231.8021379954777,-884.0910338821001,0.0,127.75146582264611,224.4414961164016,79.96904525102181,L2 MPU6050/JY61P-like,X_A0_R3_L2_I7_T8
L20,A0,R2,I0,T6,range_fusion,5,709.4613926704745,1117.877837957669,14.614718858441844,736.8392238510727,1026.571441672036,561.9256453525416,231.8021379954777,-886.0756999621914,0.0,122.43020402945164,220.94571965891063,66.28254316054749,L20 Xsens MTi-3,X_A0_R2_L20_I0_T6
L2,A0,R2,I1,T8,range_fusion,5,717.0220563290793,1123.297330044174,18.98353350478675,747.001217241741,1034.2049625780082,568.068297312795,231.8021379954777,-891.4951920486965,0.0,127.95503427106414,227.613328686046,72.64598496367587,L2 MPU6050/JY61P-like,X_A0_R2_L2_I1_T8
L2,A0,R3,I0,T9,range_fusion,5,727.3576230092349,1123.4611388464666,27.464072221977045,762.2984011406361,1037.8371263789918,564.2233998256318,231.8021379954777,-891.6590008509887,0.0,123.6593898458481,244.95706250726226,82.51063876228933,L2 MPU6050/JY61P-like,X_A0_R3_L2_I0_T9
L16,A0,R3,I0,T6,range_fusion,5,715.1636316954042,1128.435932965539,9.571358338260419,744.9127692468654,1039.7037580815247,558.8240946287086,231.8021379954777,-896.6337949700613,0.0,123.25829371977633,222.2613903213009,79.03696805123859,L16 ICM-45686,X_A0_R3_L16_I0_T6
L2,A0,R2,I7,T8,range_fusion,5,709.2111575936768,1129.071724651031,21.57641659625727,738.6854878300691,1029.567297484539,559.1316196685917,231.8021379954777,-897.2695866555534,0.0,125.305948729284,224.01038490247916,75.61971508655297,L2 MPU6050/JY61P-like,X_A0_R2_L2_I7_T8
L2,A0,R2,I2,T8,range_fusion,5,711.4351745643039,1131.7674116630456,24.4185390644767,742.7520175538614,1030.6683474368551,567.2283701736823,231.8021379954777,-899.9652736675678,0.0,125.59187715006028,229.47632498703302,66.48341682416893,L2 MPU6050/JY61P-like,X_A0_R2_L2_I2_T8
L2,A0,R4,I0,T7,range_fusion,5,731.853740108482,1131.8291110878959,25.53051857689485,765.708605022587,1049.5118037329007,567.5179041870696,231.8021379954777,-900.0269730924181,0.0,119.7007829309759,249.15336233886313,76.26989292614006,L2 MPU6050/JY61P-like,X_A0_R4_L2_I0_T7
L2,A0,R2,I0,T9,range_fusion,5,732.2528545922944,1132.4630994611655,24.270691642756436,763.9047012848872,1047.0899988639662,565.7820464251403,231.8021379954777,-900.6609614656878,0.0,121.48329899869945,246.24284783691013,78.41586027737894,L2 MPU6050/JY61P-like,X_A0_R2_L2_I0_T9
L20,A0,R4,I0,T8,range_fusion,5,722.5468918593122,1135.4920213801574,8.9708248049966,747.8531177304122,1041.5301325163177,564.4529223605707,231.8021379954777,-903.6898833846799,0.0,127.93246434256727,227.75214335748865,63.572049350802196,L20 Xsens MTi-3,X_A0_R4_L20_I0_T8
L16,A0,R2,I0,T6,range_fusion,5,721.5501656071604,1139.7589494744975,9.396408663109046,752.0579616144059,1046.076319318917,561.4548746597118,231.8021379954777,-907.9568114790197,0.0,122.83054774384023,223.57401668070383,67.05513597287752,L16 ICM-45686,X_A0_R2_L16_I0_T6
L16,A0,R4,I0,T8,range_fusion,5,729.1862612684494,1153.0827173838948,7.607680594885681,763.4191495755967,1055.773801352697,565.5309714602951,231.8021379954777,-921.2805793884172,0.0,132.26344199918077,235.03684507461116,64.35381043550959,L16 ICM-45686,X_A0_R4_L16_I0_T8
L2,A0,R4,I0,T6,range_fusion,5,745.3476813913564,1160.3833972497941,18.723088204988887,775.4484237127394,1073.4370513276335,570.7165616660027,231.8021379954777,-928.5812592543165,0.0,120.52080163534617,255.14597298112935,63.653451049148586,L2 MPU6050/JY61P-like,X_A0_R4_L2_I0_T6
L2,A0,R3,I0,T7,range_fusion,5,749.3952021579837,1168.6197964323032,18.778811587116053,783.3591641875719,1078.1918560109493,569.8432768729164,231.8021379954777,-936.8176584368255,0.0,127.07834667173452,259.2311666477509,61.59660282566038,L2 MPU6050/JY61P-like,X_A0_R3_L2_I0_T7
L2,A0,R2,I0,T7,range_fusion,5,752.3751991265708,1173.5496375881653,18.273327148560824,788.7036103838434,1082.666670880223,570.942452019706,231.8021379954777,-941.7474995926875,0.0,129.79739735157864,262.61326578981425,57.49367169717416,L2 MPU6050/JY61P-like,X_A0_R2_L2_I0_T7
L20,A0,R3,I0,T8,range_fusion,5,744.8740806886115,1173.5725878053534,4.6724558310656175,782.3314205964268,1063.3745592580083,575.2871343360482,231.8021379954777,-941.7704498098756,0.0,130.21197135842635,249.3995460958757,54.5115554013499,L20 Xsens MTi-3,X_A0_R3_L20_I0_T8
L20,A0,R2,I0,T8,range_fusion,5,746.7207515957592,1178.8930915334136,4.001230061113537,788.5175063147369,1067.7823897360013,576.391439066075,231.8021379954777,-947.0909535379358,0.0,130.8773752512505,254.12137031708113,53.87373784376469,L20 Xsens MTi-3,X_A0_R2_L20_I0_T8
L16,A0,R3,I0,T8,range_fusion,5,747.2952832610665,1181.778360836563,4.501299237626825,795.5226495158381,1080.7810986055154,575.5472586689714,231.8021379954777,-949.9762228410855,0.0,132.2258812975394,256.3993767085908,55.99132090049901,L16 ICM-45686,X_A0_R3_L16_I0_T8
L2,A0,R3,I0,T6,range_fusion,5,758.8966497151506,1183.5972780042364,17.51602559900144,799.2422389671124,1094.2536844959286,574.2709179860994,231.8021379954777,-951.7951400087588,0.0,132.95831091990286,271.49360318371225,55.93698438572726,L2 MPU6050/JY61P-like,X_A0_R3_L2_I0_T6
L16,A0,R2,I0,T8,range_fusion,5,749.2832327730648,1185.1736421075725,4.4952453107116614,800.8847479853541,1084.656457092125,577.1088976095065,231.8021379954777,-953.371504112095,0.0,134.54634996395959,261.94987011153387,54.445585616850664,L16 ICM-45686,X_A0_R2_L16_I0_T8
L2,A0,R2,I0,T6,range_fusion,5,761.7726607529759,1187.1371276797513,17.258358816498543,804.2148349841589,1096.7766589097926,575.4665832059633,231.8021379954777,-955.3349896842735,0.0,137.72316071965406,275.7326662018638,51.796474497359306,L2 MPU6050/JY61P-like,X_A0_R2_L2_I0_T6
L2,A0,R4,I0,T8,range_fusion,5,764.8736576108521,1191.4961841119818,17.28846812883728,810.4850777676029,1099.4206777957181,576.516810870684,231.8021379954777,-959.6940461165043,0.0,139.91726946800844,276.91560585864704,51.77109842702616,L2 MPU6050/JY61P-like,X_A0_R4_L2_I0_T8
L2,A0,R3,I0,T8,range_fusion,5,770.6794807309418,1203.0978861060742,17.21300077002174,826.2662365815474,1105.9617318129146,578.1008349781157,231.8021379954777,-971.2957481105965,0.0,152.42677657576562,284.67523150618854,51.379118966268415,L2 MPU6050/JY61P-like,X_A0_R3_L2_I0_T8
L2,A0,R2,I0,T8,range_fusion,5,771.123691242747,1204.699105022096,16.30240115844326,828.7598733523613,1107.040756249296,578.8723639735379,231.8021379954777,-972.8969670266182,0.0,154.332140107515,285.60537687077317,52.251227136439276,L2 MPU6050/JY61P-like,X_A0_R2_L2_I0_T8
L20,A0,R0,I5,T10,range_fusion,5,1988.992116723693,2261.7411569839082,11.709231589931427,1983.3105988023788,2244.8672595177964,384.6095312646113,231.8021379954777,-2029.9390189884302,0.0,162.75868238138713,214.379238586555,328.38866965189936,L20 Xsens MTi-3,X_A0_R0_L20_I5_T10
L16,A0,R0,I5,T10,range_fusion,5,1977.8830220691768,2269.079936521703,33.18243348909508,1968.5212084158134,2253.542543847639,393.8651939912453,231.8021379954777,-2037.277798526225,0.0,180.8562505361602,215.41511108394025,337.3894284618702,L16 ICM-45686,X_A0_R0_L16_I5_T10
L16,A0,R1,I5,T10,range_fusion,5,2005.3030559224985,2280.151462623293,14.539705302904222,2002.7371377793556,2265.859925859792,431.97970345404957,231.8021379954777,-2048.3493246278153,0.0,333.39436431317927,216.7646333198667,467.87550834511313,L16 ICM-45686,X_A0_R1_L16_I5_T10
L20,A0,R1,I5,T10,range_fusion,5,2002.2905241563378,2280.8203069294423,18.91415855054233,1995.267962233734,2266.067939651699,412.3157456059336,231.8021379954777,-2049.0181689339647,0.0,346.65950517018155,213.0137404726419,468.5790624085068,L20 Xsens MTi-3,X_A0_R1_L20_I5_T10
L20,A0,R1,I6,T10,range_fusion,5,2007.3780937807303,2286.231410903075,16.43985478596597,2005.2960113434492,2269.4325780741865,456.4804595046946,231.8021379954777,-2054.429272907598,0.0,349.7264002233002,204.00031124134915,509.7609409225097,L20 Xsens MTi-3,X_A0_R1_L20_I6_T10
L20,A0,R0,I6,T10,range_fusion,5,1993.815534613288,2290.549693619422,8.47318680252518,1982.9037491936972,2273.8690731836805,431.66598524189374,231.8021379954777,-2058.7475556239447,0.0,203.03170801332558,215.3066887503597,373.49163043551516,L20 Xsens MTi-3,X_A0_R0_L20_I6_T10
L16,A0,R1,I6,T10,range_fusion,5,2014.3982052662432,2297.0945470814822,10.305208836256345,2014.8943712771259,2282.0963857504794,451.65417803532034,231.8021379954777,-2065.2924090860047,0.0,374.47575316140325,210.99719089470938,517.3781854442695,L16 ICM-45686,X_A0_R1_L16_I6_T10
L16,A0,R0,I6,T10,range_fusion,5,1998.9389573172405,2301.1306965341128,17.11455565601333,1993.7114611482452,2288.0193752668933,428.17735969289424,231.8021379954777,-2069.3285585386357,0.0,199.4565214209626,215.59171339680333,347.4980027192838,L16 ICM-45686,X_A0_R0_L16_I6_T10
L20,A0,R0,I8,T10,range_fusion,5,2000.286624565207,2309.4173899927937,18.84628962475897,1991.387027123946,2296.138532268903,431.797445114479,231.8021379954777,-2077.615251997316,0.0,223.72944419392047,210.75772810569387,399.9999745443737,L20 Xsens MTi-3,X_A0_R0_L20_I8_T10
L16,A0,R1,I8,T10,range_fusion,5,2021.9239152384955,2310.2842747599607,12.23534930388881,2020.4123650346824,2289.6295933089073,464.7573537763957,231.8021379954777,-2078.482136764483,0.0,380.1763218288317,214.36637547934114,537.2436291980405,L16 ICM-45686,X_A0_R1_L16_I8_T10
L20,A0,R1,I8,T10,range_fusion,5,2018.9866808950926,2311.823303330825,8.607862613995254,2018.1312771837886,2289.638618070282,459.4097265797888,231.8021379954777,-2080.0211653353476,0.0,382.4355673735168,211.4101321351879,535.3467891819297,L20 Xsens MTi-3,X_A0_R1_L20_I8_T10
L16,A0,R0,I8,T10,range_fusion,5,1994.0445088320175,2311.8779996940057,16.422633022949544,1984.6323130692533,2292.5310374430437,447.7856046935352,231.8021379954777,-2080.075861698528,0.0,230.20653510581755,204.94605007104775,371.27349818760956,L16 ICM-45686,X_A0_R0_L16_I8_T10
L20,A0,R0,I4,T10,range_fusion,5,2006.7648893250728,2315.360943090621,11.51218523305673,1994.3378253118656,2296.466493912493,446.6354766749665,231.8021379954777,-2083.5588050951433,0.0,232.47063765381913,201.57556647783022,371.522634483904,L20 Xsens MTi-3,X_A0_R0_L20_I4_T10
L16,A0,R0,I4,T10,range_fusion,5,2010.3969135265938,2315.422324669364,17.680358726461684,1997.9710032707383,2292.315860708636,450.68679022629385,231.8021379954777,-2083.620186673886,0.0,223.16042478743316,201.1183329541919,346.2201276913832,L16 ICM-45686,X_A0_R0_L16_I4_T10
L20,A0,R0,I5,T9,range_fusion,5,2010.9021403402185,2321.387401506402,7.2436839336457375,2004.6202844078239,2304.0432054027106,469.03703443309234,231.8021379954777,-2089.5852635109245,0.0,218.81302492033674,198.23308157182322,360.33150516669474,L20 Xsens MTi-3,X_A0_R0_L20_I5_T9
L20,A0,R1,I4,T10,range_fusion,5,2022.433430263852,2321.4148021096553,5.763884439880019,2028.0347751796376,2300.8852181341185,481.3280705784588,231.8021379954777,-2089.6126641141777,0.0,426.28915917773304,217.317485073243,569.2241932577101,L20 Xsens MTi-3,X_A0_R1_L20_I4_T10
L2,A0,R1,I5,T10,range_fusion,5,2026.209585882465,2329.6844483269015,15.867443868377158,2022.4966607460756,2312.655809403699,522.0733048610584,231.8021379954777,-2097.882310331424,0.0,389.45193279489223,243.06119177446527,523.9214701911735,L2 MPU6050/JY61P-like,X_A0_R1_L2_I5_T10
L20,A0,R0,I3,T10,range_fusion,5,2007.2629473420347,2331.329804706923,13.022043666442729,2002.2893808158108,2312.3708163667807,465.5301580229519,231.8021379954777,-2099.527666711445,0.0,224.67909403917693,196.36045672582287,400.6130736894048,L20 Xsens MTi-3,X_A0_R0_L20_I3_T10
L16,A0,R0,I5,T9,range_fusion,5,2005.6184213961212,2334.7878510480123,27.535908689596177,1992.1641020004695,2317.9874560901662,476.6864532788559,231.8021379954777,-2102.9857130525347,0.0,215.36672812055775,197.14071258392005,384.1266783005203,L16 ICM-45686,X_A0_R0_L16_I5_T9
L16,A0,R1,I3,T10,range_fusion,5,2036.0028650382435,2339.80243228041,10.829284776186322,2039.6812298884997,2319.3803039797835,518.2284630279495,231.8021379954777,-2108.0002942849324,0.0,444.36086886404036,226.5894320019785,612.3282091882472,L16 ICM-45686,X_A0_R1_L16_I3_T10
L16,A0,R1,I4,T10,range_fusion,5,2018.8548604876173,2340.5892387564973,4.886264596275165,2013.586558414551,2319.8803332140583,500.029683360871,231.8021379954777,-2108.78710076102,0.0,442.23319273504677,223.59938665965188,575.406411056937,L16 ICM-45686,X_A0_R1_L16_I4_T10
L16,A0,R1,I5,T9,range_fusion,5,2031.3847706991128,2341.148958706036,9.191090999487171,2031.070143101352,2319.626257671246,509.6987557207556,231.8021379954777,-2109.346820710559,0.0,449.0967046341548,226.90050040937362,603.4177334383515,L16 ICM-45686,X_A0_R1_L16_I5_T9
L20,A0,R0,I1,T10,range_fusion,5,2008.5693372022483,2341.229821840908,17.594890248852195,2001.2272158481242,2319.0522633652436,490.91090964423074,231.8021379954777,-2109.4276838454302,0.0,230.21652533341165,200.80654636801083,411.6510596187053,L20 Xsens MTi-3,X_A0_R0_L20_I1_T10
L20,A0,R1,I5,T9,range_fusion,5,2029.2683179305513,2342.580489179595,12.748822741672972,2023.7893470384583,2320.150613383497,497.09829398254897,231.8021379954777,-2110.7783511841176,0.0,450.46990996403065,229.24530813942675,600.0519525509096,L20 Xsens MTi-3,X_A0_R1_L20_I5_T9
L2,A0,R0,I5,T10,range_fusion,5,2025.6275253809988,2343.116019571261,35.917305973657484,2014.7668760673557,2330.691767673641,498.6003504699653,231.8021379954777,-2111.313881575784,0.0,211.03906589257969,240.9401026647369,418.1990930411419,L2 MPU6050/JY61P-like,X_A0_R0_L2_I5_T10
L20,A0,R0,I7,T10,range_fusion,5,2013.4057230004491,2343.9756082231083,16.43667310381058,2005.689910175565,2323.523135680215,482.0436909377797,231.8021379954777,-2112.173470227631,0.0,225.39381697762252,198.6615489527125,413.2607109798939,L20 Xsens MTi-3,X_A0_R0_L20_I7_T10
L16,A0,R0,I7,T10,range_fusion,5,2018.5564276207988,2344.1548388895244,12.32672594651462,2006.4675039653223,2326.0565525857223,486.9382167153619,231.8021379954777,-2112.3527008940464,0.0,229.7589062614191,206.68741804651717,401.96978628306783,L16 ICM-45686,X_A0_R0_L16_I7_T10
