event_id,node,mode,status,onset_s,end_s,state_classification,lock_release,max_position_excursion_m,max_velocity_mps,recovery_settling_s,false_persistent_platform_transition,post_event_shift_m,reinitializations
E008,BSFC2CC,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,82.0286050717,,,,
E008,BSFC2CC,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.00545202647759,,,,
E008,BSFC2CC,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFC2CC,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFC2CC,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFC2CC,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.0869647716085,0.397179202718,0.0,0,0.170122476167,0
E008,BSF44AD,B0,INPUT_RESPONSE,599.0,600.0,,,0.167794176677,,,,,
E008,BSF44AD,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,40.7006830557,,,,
E008,BSF44AD,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.00174077965344,,,,
E008,BSF44AD,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF44AD,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF44AD,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF44AD,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.00878921014898,9.28751083269e-05,0.0,0,0.0248374343892,0
E008,BSF6C53,B0,INPUT_RESPONSE,599.0,600.0,,,0.296275964076,,,,,
E008,BSF6C53,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,46.6693545174,,,,
E008,BSF6C53,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.00148334943945,,,,
E008,BSF6C53,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF6C53,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF6C53,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF6C53,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.0165247495427,0.00101879134168,0.0,0,0.0207077811286,0
E008,BSF8BC4,B0,INPUT_RESPONSE,599.0,600.0,,,0.0570550011443,,,,,
E008,BSF8BC4,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,56.460355029,,,,
E008,BSF8BC4,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.00243040851817,,,,
E008,BSF8BC4,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF8BC4,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF8BC4,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF8BC4,S1,OK,599.0,600.0,STATIONARY_LOCK,0,8.91175447203e-06,4.6419178879e-06,0.0,0,0.0144440573988,0
E008,BSF1120,B0,INPUT_RESPONSE,599.0,600.0,,,0.0811449620884,,,,,
E008,BSF1120,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,47.2409513713,,,,
E008,BSF1120,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.00237871150719,,,,
E008,BSF1120,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF1120,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF1120,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF1120,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.0131684429297,0.000371725910371,0.0,0,0.0143722877742,0
E008,BSF31CC,B0,INPUT_RESPONSE,599.0,600.0,,,0.452828783162,,,,,
E008,BSF31CC,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,34.9947614099,,,,
E008,BSF31CC,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.00152504447113,,,,
E008,BSF31CC,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF31CC,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF31CC,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF31CC,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.640645285561,1.50928560626,0.0,0,0.242752282765,0
E008,BSFAA61,B0,INPUT_RESPONSE,599.0,600.0,,,0.132459303705,,,,,
E008,BSFAA61,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,77.1904105654,,,,
E008,BSFAA61,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.00183494767953,,,,
E008,BSFAA61,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFAA61,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFAA61,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFAA61,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.0137966002674,0.00416302534321,0.0,0,0.0423655220989,0
E008,BSFB165,B0,INPUT_RESPONSE,599.0,600.0,,,0.0856277121539,,,,,
E008,BSFB165,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,71.7269133145,,,,
E008,BSFB165,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.0027825458564,,,,
E008,BSFB165,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFB165,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFB165,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFB165,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.0036801487654,3.88090526484e-06,0.0,0,0.0166081513681,0
E008,BSFEC35,B0,INPUT_RESPONSE,599.0,600.0,,,0.125019176559,,,,,
E008,BSFEC35,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,182.035038715,,,,
E008,BSFEC35,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.0020324059743,,,,
E008,BSFEC35,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFEC35,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFEC35,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSFEC35,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.00504000653781,0.000568121296902,0.0,0,0.0199380855386,0
E009,BSF3C79,B0,INPUT_RESPONSE,614.0,616.0,,,0.217336496521,,,,,
E009,BSF3C79,I0,LOCAL_FRAME_CONTROL,614.0,616.0,,,,82.1177319125,,,,
E009,BSF3C79,I1,LOCAL_FRAME_CONTROL,614.0,616.0,,,,0.420702779058,,,,
E009,BSF3C79,H2,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF3C79,H3,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF3C79,H5,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF3C79,S1,OK,614.0,616.0,STATIONARY_LOCK,0,0.21100186108,1.10895071758,0.0,0,0.0976091709603,0
E009,BSFC2CC,B0,INPUT_RESPONSE,614.0,616.0,,,0.161335241197,,,,,
E009,BSFC2CC,I0,LOCAL_FRAME_CONTROL,614.0,616.0,,,,84.3633074173,,,,
E009,BSFC2CC,I1,LOCAL_FRAME_CONTROL,614.0,616.0,,,,0.143103220525,,,,
E009,BSFC2CC,H2,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSFC2CC,H3,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSFC2CC,H5,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSFC2CC,S1,OK,614.0,616.0,STATIONARY_LOCK,0,0.111808468334,0.712376975862,0.0,0,0.0203676842522,0
E009,BSF44AD,B0,INPUT_RESPONSE,614.0,616.0,,,0.284230745966,,,,,
E009,BSF44AD,I0,LOCAL_FRAME_CONTROL,614.0,616.0,,,,43.1355564908,,,,
E009,BSF44AD,I1,LOCAL_FRAME_CONTROL,614.0,616.0,,,,0.0499086438668,,,,
E009,BSF44AD,H2,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF44AD,H3,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF44AD,H5,BLOCKED_FRAME_BINDING,614.0,616.0,,,,,,,,
E009,BSF44AD,S1,OK,614.0,616.0,STATIONARY_LOCK,0,0.0093970448673,1.04873626515e-05,0.0,0,0.0278007469484,0
