host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-02T01:35:51.381+02:00,BSF66F,4626,1,B,3248,4070319919,6000,47891,10481,563,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004626_B.bin
2026-06-02T01:35:52.307+02:00,BSF66F,4627,5,F,2856,2720955690,437,47894,20354,1703,68,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004627_F.bin
2026-06-02T01:35:53.238+02:00,BSF66F,4628,2,C,2648,2075469354,6626,47630,11097,590,32,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004628_C.bin
2026-06-02T01:35:54.174+02:00,BSF66F,4629,6,G,2504,904775373,11696,47761,14611,2106,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004629_G.bin
2026-06-02T01:35:55.105+02:00,BSF66F,4630,3,D,2664,731052719,6560,47763,11801,666,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004630_D.bin
2026-06-02T01:35:56.059+02:00,BSF66F,4632,0,A,2771,2676498067,5529,47727,16873,2024,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004632_A.bin
2026-06-02T01:35:56.972+02:00,BSF66F,4633,4,E,2657,597705029,8432,47905,12039,628,20,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004633_E.bin
2026-06-02T01:35:57.906+02:00,BSF66F,4634,1,B,3230,121054433,5997,47821,10134,486,24,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004634_B.bin
2026-06-02T01:35:58.828+02:00,BSF66F,4635,5,F,2996,2728249333,171,48097,20108,2077,72,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004635_F.bin
2026-06-02T01:35:59.758+02:00,BSF66F,4636,2,C,2584,2070377688,6681,47812,11561,685,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004636_C.bin
2026-06-02T01:36:00.732+02:00,BSF66F,4638,3,D,2680,3768841134,6579,48018,12469,750,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004638_D.bin
2026-06-02T01:36:01.674+02:00,BSF66F,4639,7,H,2146,3011777097,7669,47661,19247,1933,56,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004639_H.bin
2026-06-02T01:36:02.578+02:00,BSF66F,4640,0,A,2765,2643258344,5584,48068,15566,1969,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004640_A.bin
2026-06-02T01:36:03.543+02:00,BSF66F,4642,1,B,3221,3762786010,6064,47806,8723,497,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004642_B.bin
2026-06-02T01:36:04.465+02:00,BSF66F,4643,5,F,2760,2116679721,501,47645,19710,2007,72,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004643_F.bin
2026-06-02T01:36:05.394+02:00,BSF66F,4644,2,C,2578,1468220129,6750,47821,11828,703,36,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004644_C.bin
2026-06-02T01:36:06.369+02:00,BSF66F,4646,3,D,2634,3163593573,6716,47945,12633,783,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004646_D.bin
2026-06-02T01:36:07.322+02:00,BSF66F,4648,0,A,2777,833814235,5492,47799,16721,1987,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004648_A.bin
