link_id,position_id,anchor_id,anchor_label,model,best_loglik,bic,mu_los,sigma,pi,lambda_or_equiv,n_inits_tried,adam_steps,lbfgs_steps,device
ID03_E,ID03,4,E,M1,-5540.1325668101745,11108.61876873505,1554.9998394064864,24.881931519928347,0.026912826117365285,12.679329729256471,100,500,200,cuda:0
ID03_F,ID03,5,F,M1,-6210.165888317907,12448.651882635504,1590.6851129626743,34.7234268881387,0.06742343144141573,241.21305285986435,100,500,200,cuda:0
ID03_G,ID03,6,G,M1,-5659.681046745704,11347.572977688338,2238.2161396938245,24.623598082138393,0.05860672567034974,448.4375903038739,100,500,200,cuda:0
ID03_H,ID03,7,H,M1,-5768.195131586794,11564.6595425682,2138.488684762432,31.906240196434418,0.01407676697990031,77.3282916621429,100,500,200,cuda:0
ID04_A,ID04,0,A,M1,-5182.373300914298,10393.103574448705,2462.9157568261257,18.307259278796888,0.026666327235124646,13.930872110149227,100,500,200,cuda:0
ID04_B,ID04,1,B,M1,-5541.920675368931,11112.201658080967,1336.7144543916675,24.19535871677224,0.010425314817219991,37.26997646168574,100,500,200,cuda:0
ID04_C,ID04,2,C,M1,-5252.316220171233,10532.986075457167,1451.661101821693,19.400497592890495,6.2614576786002945e-28,20.492094522378736,100,500,200,cuda:0
ID04_D,ID04,3,D,M1,-5351.21152973268,10730.78669875368,2570.773438626598,20.65083370116149,0.0015325366862239031,128.89531385061628,100,500,200,cuda:0
ID04_E,ID04,4,E,M1,-5584.313009895325,11196.986327133754,2810.9999999754045,25.538594015698028,0.013250925069692523,8.883087800620025,100,500,200,cuda:0
ID04_F,ID04,5,F,M1,-6280.324275474945,12588.934844406736,2274.3967544425054,40.715121911074654,0.053959841046198255,220.84698714889478,100,500,200,cuda:0
ID04_G,ID04,6,G,M1,-5729.800660792222,11487.863775038833,2203.102711682544,22.555245475235917,0.06988458656908224,243.37229235358825,100,500,200,cuda:0
ID04_H,ID04,7,H,M1,-5659.920859201591,11348.15845598162,3091.97352341468,25.955680584672614,0.04097373557758535,68.53919948207911,100,500,200,cuda:0
ID05_A,ID05,0,A,M1,-6520.451839048961,13069.250629835964,3067.2315055377253,58.25702275131141,0.08734823117071845,54.460555303070045,100,500,200,cuda:0
ID05_B,ID05,1,B,M1,-5692.669007268083,11413.688309358398,1615.3565027848676,25.133911639877056,0.07884537038132176,45.56863318987864,100,500,200,cuda:0
ID05_C,ID05,2,C,M1,-5391.4171224221955,10811.1912174645,1741.9481099549653,21.76345559375149,0.010230202114026355,11.320338891311069,100,500,200,cuda:0
ID05_D,ID05,3,D,M1,-5384.788834794503,10797.93797693211,2588.938994050944,21.589259344893435,0.007182273381570277,4.859682961045429,100,500,200,cuda:0
ID05_E,ID05,4,E,M1,-5569.534357414501,11167.429022172106,2478.481886109456,24.715086347752873,0.007563681261779313,48.74602162074225,100,500,200,cuda:0
ID05_F,ID05,5,F,M1,-6612.1151578971085,13252.55378738098,1476.5442733996438,44.33567250577566,0.10978846779426932,229.11517285725998,100,500,200,cuda:0
ID05_G,ID05,6,G,M1,-5669.966106281199,11368.020118254688,1583.3926725685278,29.208666661004038,0.05563072333783958,233.2407584605665,100,500,200,cuda:0
ID05_H,ID05,7,H,M1,-6309.098248117216,12646.533401922823,2563.2784532428586,47.49904965936744,0.0012999870769752984,192.91048089500302,100,500,200,cuda:0
ID06_A,ID06,0,A,M1,-5407.535506010148,10843.424647134998,3017.985808591767,22.08423652940678,2.5269120045612827e-58,13.541856332743988,100,500,200,cuda:0
