layout,tag_method,kind,keep_k,drop_category,dropped_lower_count,dropped_upper_count,drop_sets,d3_std_mm_median,d3_std_mm_p95_over_drop_sets,z_std_mm_median,residual_rms_median_mm
v3-lite,T1,static,4,lower_heavy,3,1,16,123.05322647094727,172.9000186920166,83.15851402282715,32.72436499595642
v3-lite,T1,static,4,lower_heavy,4,0,1,147.5455551147461,147.5455551147461,85.52587890625,22.52340841293335
v3-lite,T1,static,4,upper_heavy,0,4,1,46.25452423095703,46.25452423095703,28.404747009277344,49.08930683135986
v3-lite,T1,static,4,upper_heavy,1,3,16,69.03352355957031,103.92442798614502,39.571495056152344,34.137610912323
v3-lite,T2,static,7,lower_heavy,1,0,4,70.03862953186035,71.63149433135986,49.2154598236084,78.13211250305176
v3-lite,T2,static,7,upper_heavy,0,1,4,60.994601249694824,71.24923934936523,42.59471607208252,77.02477645874023
v3-lite,T2,static,6,balanced,1,1,16,74.50881385803223,96.84956359863281,51.888901710510254,71.73507881164551
v3-lite,T2,static,6,lower_heavy,2,0,6,89.70524787902832,94.6021318435669,66.77824974060059,72.75222587585449
v3-lite,T2,static,6,upper_heavy,0,2,6,66.74922370910645,79.24807071685791,47.509270668029785,71.9807243347168
v3-lite,T2,static,5,lower_heavy,2,1,24,98.71027565002441,141.95351181030273,67.09232139587402,56.37254333496094
v3-lite,T2,static,5,lower_heavy,3,0,4,112.46433448791504,117.66391487121582,74.26973724365234,50.69068145751953
v3-lite,T2,static,5,upper_heavy,0,3,4,68.04790687561035,80.86052627563477,38.682923316955566,66.35520458221436
v3-lite,T2,static,5,upper_heavy,1,2,24,78.36136817932129,111.53521633148192,52.45868396759033,59.65410232543945
v3-lite,T2,static,4,balanced,2,2,36,110.6809196472168,158.09554290771484,70.2912826538086,34.58774137496948
v3-lite,T2,static,4,lower_heavy,3,1,16,123.03736305236816,172.72693634033203,83.00881767272949,32.80163264274597
v3-lite,T2,static,4,lower_heavy,4,0,1,146.3763885498047,146.3763885498047,92.11410140991211,22.530829906463623
v3-lite,T2,static,4,upper_heavy,0,4,1,46.24550247192383,46.24550247192383,28.402687072753906,49.08930683135986
