capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R04,BSDC91,1200,1200,0.0004328377075266175,0.0007911419798738102,0.0011039780564728405,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R05,BS2DCE,1200,1200,0.00033419339391311696,0.0005564520288281256,0.0006995137277936815,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R05,BSDC91,1201,1201,0.00037452462430653566,0.0006089587324314033,0.000823815541944816,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R06,BS2DCE,1200,1200,0.0004319408828654575,0.0007978312562275161,0.001208429594019898,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R06,BSDC91,1201,1201,0.00036635567890246,0.0006787333984487448,0.001025187522318732,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R07,BS2DCE,1200,1200,0.0003860021646194569,0.000572958512548041,0.0007556538752435707,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R07,BSDC91,1201,1201,0.0004485348223738494,0.0007600312030898406,0.0012197606455510944,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R08,BS2DCE,1201,1201,0.0003340047927998148,0.0004943160336681671,0.0006374046266529481,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R08,BSDC91,1200,1200,0.0004147701060803693,0.0006835569332326645,0.0010166277285969204,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R09,BS2DCE,1200,1200,0.0002876833852578891,0.0004769903168809017,0.0007296769686842933,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R09,BSDC91,1200,1200,0.0004075401551697379,0.0006865637370033854,0.0010044164065046684,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R10,BS2DCE,1200,1200,0.00039539474734583114,0.0007325538912093712,0.0009973147406922142,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R10,BSDC91,1200,1200,0.0003666128429259244,0.0006761564374978136,0.000959716696920536,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R11,BS2DCE,1201,1201,0.0003315533834957368,0.0004959211373503512,0.0006950940720619342,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R11,BSDC91,1200,1200,0.0003529734638409782,0.0005647942561550645,0.0009399857789710556,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R12,BS2DCE,1200,1200,0.0002810884785779675,0.0004143747856893178,0.0005917208350142597,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R12,BSDC91,1200,1200,0.0003177464693822235,0.0004785558912410782,0.0006879740921275927,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R13,BS2DCE,1201,1201,22.146917379863957,0.01634373857060206,601.184174030083,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R13,BSDC91,1200,1200,0.0002663819486520699,0.0004057874231975333,0.0006917812793435275,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R14,BS2DCE,1201,1201,0.0002902062955681124,0.0005202369939296154,0.0007873172740443873,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
