s,delta_c_mm,d_tag_mm,median_3d_mm,rmse_mm,vert_slope
0.93,0.0,30.0,318.7574462890625,302.4448296797285,476.38535686497005
0.93,0.0,35.0,310.028564453125,294.51407277496946,463.4580526967366
0.93,0.0,40.0,301.44293212890625,286.67479397393834,450.5851509663213
0.93,0.0,45.0,292.9951171875,278.92334856551537,437.7662296655123
0.93,0.0,50.0,284.6799011230469,271.25655234021536,425.00074282680805
0.93,0.0,55.0,276.42138671875,263.67186342592566,412.2883440941879
0.93,0.0,60.0,267.63983154296875,256.1671969876315,399.62899428810084
0.93,0.0,65.0,259.4311828613281,248.74118231858995,387.0226792867887
0.93,0.0,70.0,251.34417724609375,241.39283336503593,374.4695923457737
0.93,0.0,75.0,243.32989501953125,234.1218049034519,361.9701263857262
0.93,0.0,80.0,235.38775634765625,226.92826509714473,349.5248963561666
0.93,0.0,85.0,227.51727294921875,219.81288207245726,337.13456811021337
0.93,0.0,90.0,219.71783447265625,212.77681418859999,324.79990487566033
0.93,0.0,95.0,211.9888916015625,205.82193267178792,312.5220659753889
0.93,0.0,100.0,204.33004760742188,198.95047868439522,300.3020936181745
0.93,0.0,105.0,196.7410888671875,192.1653849064654,288.14135449623035
0.93,0.0,110.0,189.2215576171875,185.47012689042404,276.0411485770184
0.93,0.0,115.0,180.95767211914062,178.86877063751234,264.00288203578106
0.93,0.0,120.0,172.25082397460938,172.36622983490705,252.02831376877927
0.93,0.0,125.0,163.58522033691406,165.96802332264187,240.11893798114946
0.93,0.0,130.0,154.96432495117188,159.6805404549972,228.2764767290666
0.93,0.0,135.0,146.39283752441406,153.5110121762442,216.50273050929692
0.93,0.0,140.0,137.8748779296875,147.46774673848176,204.7994633229517
0.93,10.0,0.0,353.5930480957031,335.175187402051,528.6550478722058
0.93,10.0,5.0,345.13372802734375,326.83107974533266,515.5019968998412
0.93,10.0,10.0,336.66790771484375,318.5983340155752,502.406566371834
0.93,10.0,15.0,327.6351623535156,310.47135284515383,489.3680007368493
0.93,10.0,20.0,318.7574462890625,302.4448296797285,476.38535686497005
0.93,10.0,25.0,310.028564453125,294.51407277496946,463.4580526967366
0.93,10.0,30.0,301.44293212890625,286.67479397393834,450.5851509663213
0.93,10.0,35.0,292.9951171875,278.92334856551537,437.7662296655123
0.93,10.0,40.0,284.6799011230469,271.25655234021536,425.00074282680805
0.93,10.0,45.0,276.42138671875,263.67186342592566,412.2883440941879
0.93,10.0,50.0,267.6398620605469,256.1671969876315,399.62899428810084
0.93,10.0,55.0,259.4311828613281,248.74118231858995,387.0226792867887
0.93,10.0,60.0,251.34417724609375,241.39283336503593,374.4695923457737
0.93,10.0,65.0,243.32989501953125,234.1218049034519,361.9701263857262
0.93,10.0,70.0,235.38775634765625,226.92826509714473,349.5248963561666
0.93,10.0,75.0,227.517333984375,219.81288207245726,337.13457868578246
0.93,10.0,80.0,219.71783447265625,212.77681418859999,324.79990487566033
0.93,10.0,85.0,211.9888916015625,205.82191369300307,312.52205158696563
0.93,10.0,90.0,204.33004760742188,198.95047868439522,300.30209649585913
0.93,10.0,95.0,196.7410888671875,192.16540523400667,288.14136418151725
0.93,10.0,100.0,189.2215576171875,185.47012689042404,276.0411605284911
0.93,10.0,105.0,180.95767211914062,178.86877063751234,264.00287832623053
0.93,10.0,110.0,172.25082397460938,172.36622983490705,252.02831376877927
0.93,10.0,115.0,163.5851593017578,165.96801743860172,240.11892441771215
0.93,10.0,120.0,154.96432495117188,159.6805404549972,228.2764767290666
0.93,10.0,125.0,146.39283752441406,153.5110121762442,216.50273050929692
0.93,10.0,130.0,137.8748779296875,147.46774673848176,204.7994633229517
0.93,10.0,135.0,129.4156951904297,141.56023039019468,193.1686458217934
0.93,10.0,140.0,121.02096557617188,135.7990027232343,181.61197761021202
0.93,20.0,0.0,336.66790771484375,318.59835853704584,502.4065834514174
0.93,20.0,5.0,327.63519287109375,310.4713276818006,489.36797194480977
0.93,20.0,10.0,318.75732421875,302.4448296797285,476.3853871869545
0.93,20.0,15.0,310.028564453125,294.51407277496946,463.4580519214751
0.93,20.0,20.0,301.4429931640625,286.67479397393834,450.5851718973889
0.93,20.0,25.0,292.9951477050781,278.92334856551537,437.76623314719086
0.93,20.0,30.0,284.679931640625,271.25655234021536,425.0007374313258
0.93,20.0,35.0,276.42144775390625,263.67186342592566,412.2883627073539
0.93,20.0,40.0,267.6398010253906,256.1672274852894,399.6289964991041
0.93,20.0,45.0,259.4311828613281,248.74117446655268,387.02266507896934
0.93,20.0,50.0,251.34408569335938,241.39283336503593,374.46956850417
0.93,20.0,55.0,243.32989501953125,234.1217882187602,361.9701111129045
0.93,20.0,60.0,235.38771057128906,226.92825649034984,349.52489314391227
0.93,20.0,65.0,227.51727294921875,219.81285541626085,337.1345719012574
0.93,20.0,70.0,219.7177734375,212.77680500938067,324.7998668982719
0.93,20.0,75.0,211.9888153076172,205.82191369300307,312.5220435524622
