position_id,error_3d_mm,d_tag_train_mm,range_method,e_setting,layout_label
ID11,82.3814962551305,16.08926717257895,p20,E1_e_reg5,p20__E1_e_reg5
ID12,126.20095057279312,17.538930967895958,p20,E1_e_reg5,p20__E1_e_reg5
ID13,37.69586148022383,18.69184695518735,p20,E1_e_reg5,p20__E1_e_reg5
ID14,65.62691535037578,18.69184695518735,p20,E1_e_reg5,p20__E1_e_reg5
ID15,31.91782890647946,18.43638133889754,p20,E1_e_reg5,p20__E1_e_reg5
ID16,41.75336967476144,18.69184695518735,p20,E1_e_reg5,p20__E1_e_reg5
ID17,101.06081082173762,19.03952716981056,p20,E1_e_reg5,p20__E1_e_reg5
ID18,36.02029913488104,18.978016142139907,p20,E1_e_reg5,p20__E1_e_reg5
ID19,37.62369520721063,19.03952716981056,p20,E1_e_reg5,p20__E1_e_reg5
ID20,35.43968922960535,19.03952716981056,p20,E1_e_reg5,p20__E1_e_reg5
ID21,26.56315586208387,18.69184695518735,p20,E1_e_reg5,p20__E1_e_reg5
ID22,25.185699189128417,18.43638133889754,p20,E1_e_reg5,p20__E1_e_reg5
ID23,44.469813294825116,18.69184695518735,p20,E1_e_reg5,p20__E1_e_reg5
ID24,26.498897270298382,17.538930967895958,p20,E1_e_reg5,p20__E1_e_reg5
ID01,159.19248661242523,17.558183148170855,p20,E2_e_zero,p20__E2_e_zero
ID02,45.94688638338994,19.110541585440018,p20,E2_e_zero,p20__E2_e_zero
ID03,42.240255155424705,18.6831900972023,p20,E2_e_zero,p20__E2_e_zero
ID04,167.69866491328213,16.22579912988178,p20,E2_e_zero,p20__E2_e_zero
ID05,32.73844350783516,16.600682377673905,p20,E2_e_zero,p20__E2_e_zero
ID06,197.2323894279357,16.600682377673905,p20,E2_e_zero,p20__E2_e_zero
ID07,89.36197336096804,18.6831900972023,p20,E2_e_zero,p20__E2_e_zero
ID08,72.04346512963107,18.506502473830864,p20,E2_e_zero,p20__E2_e_zero
ID09,59.940376709289275,18.506502473830864,p20,E2_e_zero,p20__E2_e_zero
ID10,62.78470652656485,16.600682377673905,p20,E2_e_zero,p20__E2_e_zero
ID11,82.17484301251403,16.22579912988178,p20,E2_e_zero,p20__E2_e_zero
ID12,126.17989139719961,17.558183148170855,p20,E2_e_zero,p20__E2_e_zero
ID13,37.69469645888446,18.6831900972023,p20,E2_e_zero,p20__E2_e_zero
ID14,65.77292297660279,18.6831900972023,p20,E2_e_zero,p20__E2_e_zero
ID15,31.881107640688256,18.506502473830864,p20,E2_e_zero,p20__E2_e_zero
ID16,41.685506389083635,18.6831900972023,p20,E2_e_zero,p20__E2_e_zero
ID17,101.25884089501103,19.110541585440018,p20,E2_e_zero,p20__E2_e_zero
ID18,36.07273375031894,19.054891182176306,p20,E2_e_zero,p20__E2_e_zero
ID19,37.615808356235334,19.110541585440018,p20,E2_e_zero,p20__E2_e_zero
ID20,35.41131142034548,19.110541585440018,p20,E2_e_zero,p20__E2_e_zero
ID21,26.328670729622626,18.6831900972023,p20,E2_e_zero,p20__E2_e_zero
ID22,25.38109658602592,18.506502473830864,p20,E2_e_zero,p20__E2_e_zero
ID23,44.41762863128823,18.6831900972023,p20,E2_e_zero,p20__E2_e_zero
ID24,26.691616986703956,17.558183148170855,p20,E2_e_zero,p20__E2_e_zero
ID01,159.72504522701743,22.853454078631998,p10,E0_e_reg20,p10__E0_e_reg20
ID02,47.56540335698399,23.634113926094315,p10,E0_e_reg20,p10__E0_e_reg20
ID03,42.80434007389252,23.451731212118126,p10,E0_e_reg20,p10__E0_e_reg20
ID04,172.92221666243807,22.028083975404684,p10,E0_e_reg20,p10__E0_e_reg20
ID05,32.50732589337248,22.37010066908327,p10,E0_e_reg20,p10__E0_e_reg20
ID06,194.70374537710995,22.37010066908327,p10,E0_e_reg20,p10__E0_e_reg20
ID07,82.61707263951463,23.451731212118126,p10,E0_e_reg20,p10__E0_e_reg20
ID08,73.06994339874166,23.31407861987531,p10,E0_e_reg20,p10__E0_e_reg20
ID09,62.22380235376349,23.31407861987531,p10,E0_e_reg20,p10__E0_e_reg20
ID10,67.39712803802946,22.37010066908327,p10,E0_e_reg20,p10__E0_e_reg20
ID11,85.99343866026426,22.028083975404684,p10,E0_e_reg20,p10__E0_e_reg20
ID12,128.0627178579926,22.853454078631998,p10,E0_e_reg20,p10__E0_e_reg20
ID13,39.170726672399745,23.451731212118126,p10,E0_e_reg20,p10__E0_e_reg20
ID14,60.83818005535022,23.31407861987531,p10,E0_e_reg20,p10__E0_e_reg20
ID15,29.22538019914558,23.31407861987531,p10,E0_e_reg20,p10__E0_e_reg20
ID16,46.44199746599549,23.389246049997936,p10,E0_e_reg20,p10__E0_e_reg20
ID17,102.23738674900106,23.634113926094315,p10,E0_e_reg20,p10__E0_e_reg20
ID18,32.91956293136011,23.451731212118126,p10,E0_e_reg20,p10__E0_e_reg20
ID19,40.051026967699784,23.55894649597169,p10,E0_e_reg20,p10__E0_e_reg20
ID20,38.67104753430486,23.634113926094315,p10,E0_e_reg20,p10__E0_e_reg20
ID21,26.927181931234504,23.451731212118126,p10,E0_e_reg20,p10__E0_e_reg20
ID22,19.763658910419924,23.451731212118126,p10,E0_e_reg20,p10__E0_e_reg20
ID23,45.82828873313914,23.451731212118126,p10,E0_e_reg20,p10__E0_e_reg20
ID24,28.268996303745173,23.31407861987531,p10,E0_e_reg20,p10__E0_e_reg20
ID01,159.07641464589173,23.134369034388357,p10,E1_e_reg5,p10__E1_e_reg5
ID02,46.19851215141644,23.808183460417865,p10,E1_e_reg5,p10__E1_e_reg5
ID03,45.22246439431986,23.67270365579754,p10,E1_e_reg5,p10__E1_e_reg5
ID04,168.06791633637508,22.091041095286812,p10,E1_e_reg5,p10__E1_e_reg5
ID05,31.50671277280528,22.63120513894834,p10,E1_e_reg5,p10__E1_e_reg5
ID06,196.89181832148137,22.63120513894834,p10,E1_e_reg5,p10__E1_e_reg5
ID07,85.21837933990281,23.67270365579754,p10,E1_e_reg5,p10__E1_e_reg5
ID08,73.78607215425389,23.414135715329223,p10,E1_e_reg5,p10__E1_e_reg5
ID09,61.05478413240455,23.414135715329223,p10,E1_e_reg5,p10__E1_e_reg5
ID10,65.46929431185717,22.63120513894834,p10,E1_e_reg5,p10__E1_e_reg5
ID11,85.91679725229788,22.091041095286812,p10,E1_e_reg5,p10__E1_e_reg5
ID12,127.7958548751682,23.134369034388357,p10,E1_e_reg5,p10__E1_e_reg5
ID13,39.26928210958817,23.414135715329223,p10,E1_e_reg5,p10__E1_e_reg5
ID14,62.43930518163745,23.414135715329223,p10,E1_e_reg5,p10__E1_e_reg5
ID15,29.813405230975572,23.414135715329223,p10,E1_e_reg5,p10__E1_e_reg5
ID16,45.33541051499166,23.522579338957776,p10,E1_e_reg5,p10__E1_e_reg5
ID17,103.50498506157649,23.808183460417865,p10,E1_e_reg5,p10__E1_e_reg5
ID18,32.99116319830068,23.699739836789313,p10,E1_e_reg5,p10__E1_e_reg5
ID19,39.78898382552283,23.808183460417865,p10,E1_e_reg5,p10__E1_e_reg5
ID20,37.29617720173342,23.808183460417865,p10,E1_e_reg5,p10__E1_e_reg5
ID21,24.386316909883845,23.67270365579754,p10,E1_e_reg5,p10__E1_e_reg5
ID22,21.233247956389206,23.67270365579754,p10,E1_e_reg5,p10__E1_e_reg5
ID23,45.2323724685267,23.67270365579754,p10,E1_e_reg5,p10__E1_e_reg5
ID24,30.66621310520038,23.414135715329223,p10,E1_e_reg5,p10__E1_e_reg5
ID01,159.0466855250169,23.245788152455304,p10,E2_e_zero,p10__E2_e_zero
ID02,46.092020474726056,23.840155455655747,p10,E2_e_zero,p10__E2_e_zero
ID03,45.282737815926666,23.738118540821063,p10,E2_e_zero,p10__E2_e_zero
ID04,168.033172978152,21.97828588532974,p10,E2_e_zero,p10__E2_e_zero
ID05,31.4708389077044,22.57452661938538,p10,E2_e_zero,p10__E2_e_zero
ID06,197.16296259485816,22.57452661938538,p10,E2_e_zero,p10__E2_e_zero
ID07,85.44094333393005,23.738118540821063,p10,E2_e_zero,p10__E2_e_zero
ID08,74.06823806770849,23.59890203468848,p10,E2_e_zero,p10__E2_e_zero
ID09,61.161869079033316,23.59890203468848,p10,E2_e_zero,p10__E2_e_zero
ID10,65.42230225554293,22.57452661938538,p10,E2_e_zero,p10__E2_e_zero
ID11,86.12043644163984,21.97828588532974,p10,E2_e_zero,p10__E2_e_zero
ID12,127.61280380998488,23.245788152455304,p10,E2_e_zero,p10__E2_e_zero
